"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
1,-0.191019873246607,-0.544945332421183,-0.378763887979094,-0.236442457290704,-0.0936358891095238,-0.283941470097508,0.144338842121644,-0.358797944437074,-0.502023035491429,-0.228004840979286,-0.413973442620465,-0.340091394641176,-0.317425439544121,-0.494481917640769,-0.56023108533057,0.163413507183529,-0.679949933963245,-0.32006313976306,-0.39034983646313,0.00562280377044223,-0.446284424943835,-0.671639345837529,-0.77347094853775,-0.586707254529264,-0.250968064524991,-0.464934655921843,-0.367564187870275,-0.478755650533175,-0.575484229502385,-0.14172024867156,-0.610927193069472,-0.758722923474778,-0.510091577635548,-0.226311653433992,0.244165301053362,-0.388363775487045,-0.708705984712703,-0.680416541733153,-0.864642675793861,-0.220689876666057,-0.200578273462452,-0.282844124809749,-0.656281805150932,-0.501204383294266,0.298263760557567,0.0729070263932355,-0.356892370038663,-0.441866739572812,-0.0764950193987862,-0.775286938846416,-0.0995080132758868,-0.29805875655997,-0.753917257672338,-0.497105513138045,-0.640004042260192,-0.199795122060747,0.185948691003585,-0.16874378285644,-0.314467058215628,-0.72832444864734,-0.133284159728691,-0.885276816419799,-0.670047269777036,-0.573064044763531,0.077977398269418,-0.298260580661183,0.162452924509394,-0.400043334153307,-0.503506077036988,-0.177880781143268,-0.205961419480754,-0.30936996771755,-0.33264822874701,-0.0948371346793584,-0.302942888546481,-0.652832165807704,-0.743217666078015,-0.769993167835267,-0.204488237504711,-0.422807659554175,-0.467633678965485,-0.272735493716773,-0.0454195631385256,-0.323386869279436,-0.502304580764177,-0.460139253743602,-0.343193450219648,-0.0701663370783781,-0.390564569090714,-0.730446598789176,-0.782391377346134,-0.65664114952823,-0.323002951721748,-0.318480238406504,0.0031198681942087,-0.266093322107453,-0.434372697066025,-0.255702080584108,-0.477517736809144,-0.610296066399063
2,-0.387695851583339,-0.705210124216633,-0.608993788593427,-0.110257180941222,-0.477394913250313,-0.517789589756932,-0.0971839610424149,-0.35643190043495,-0.738423161976142,-0.159930465065529,-0.402712913866053,-0.304488572902833,-0.57578509932852,-0.097261883894812,-0.48096858675131,-0.522753502612184,-1.06403877155699,-0.0233722702368779,-0.371909688310176,-0.472388303272559,-0.327206088856109,-0.807459143663638,-0.116835443266105,-0.71462443683095,-0.346120996159899,-0.0441672128399251,-0.565737164170974,-0.0842065848943718,-0.391357916700166,-0.238159874417552,-0.559600568013658,-0.541741968235243,-0.196046256360731,-0.219663963933825,-0.0700661824293403,-0.152824578304098,-0.278967612918546,-0.868995173556935,-0.928408835887498,-0.494201672230879,-0.192360860564268,-0.832573383565455,-0.439027379688088,-0.318266339640983,-0.564533653066702,-0.324734778726621,-0.4737296302163,-0.515536996169339,0.0347254911687743,-0.416237444784207,-0.265480597298409,-0.58665249617484,-0.31142386258531,-0.00384520636924151,-0.292453455811581,-0.196279192828835,0.092642980566776,-0.443973874241417,-0.563157769611399,-0.457509637106258,-0.0296544617812201,-0.664870114918431,-0.613089515227682,-1.03956075080139,-0.112255822758976,-0.468663307778853,-0.0498306687665742,0.061230292057032,-0.734107975913616,-0.307554112498982,-0.437053687916502,-0.570717598129078,-0.334425999008308,-0.378975328476257,-0.413882689864597,-0.670062189213621,-0.205036734073486,-0.436407315652816,-0.315953188638955,-0.584047956336117,-0.552905659429,-0.265612688328122,-0.572259287803284,-0.43458662409886,-0.0574512064185015,-0.00511011219993505,-0.441671127953253,-0.665975580039389,-0.41589495511116,-0.0680579687077087,-0.444403809621951,-0.485670270443164,-0.280782017560995,0.135263157899963,-0.314564328415351,-0.420336733815467,-0.358580594418435,-0.444862461865536,0.020941410225248,-0.250170225153402
3,0.0929558951267239,-0.727740214621196,-0.536257945825876,-0.333870282269505,0.0599266228679479,-0.507637488749282,-0.238210470433225,-0.366162372730431,-0.345416790560097,0.00695956902089645,-0.644182708065337,-0.561704652771729,-0.881906993679683,-0.818144959796191,-0.729938973127991,-0.580418994907525,-0.246243083275457,-0.415340163651885,-0.413324504814292,-0.222560429377822,-0.584267747383204,-0.311529514052312,-0.0770494291369679,-0.567513312089354,-0.683221179216294,-0.487406296666765,-0.505786525034899,-1.05287556664144,-0.383550782397276,-0.413191711234643,-0.772746605226619,-0.714440094332176,-0.364637723061351,-0.434691744267115,-0.496726816497335,-0.495834888520016,-0.376478179273876,-0.660587504450898,-0.513613274695026,-0.653381240404233,-0.390678562205334,-0.555534721238788,-0.0693704211112759,-0.275671002943172,-0.798410496087345,-0.207269152053498,-0.171443425629045,-0.574279043247146,-0.102610800217885,-0.462096575666567,-0.449563885927969,-0.303945523655687,-0.731209952572157,-0.246023051407704,-0.126503802218679,-0.404330211488258,-0.727230801858633,-0.739383414147615,-0.765231042971431,-0.557549961785065,-0.649345004419732,-0.735826452857547,-0.463485689475179,-0.334442025343675,-0.334439746970032,-0.815298450967066,-0.170475226139696,-0.285410457543253,-0.606195607630381,-0.670806809480787,-0.995541963280401,-0.619100286519811,-0.587590561599508,-0.634548201937892,-0.0729507248540831,-0.203860489993971,-0.360181837118798,-0.867896902460478,-0.253148050375687,-0.211033511544893,-0.830893016988498,-0.528025022008466,-0.427533165345876,-0.801935797428566,-0.133832126462048,-0.417647754853834,-0.241337695606357,-0.931802691656672,-0.656953428443502,-0.0886077721263735,-0.563044489999979,-0.556686315274002,0.142256543912702,-0.409715083829035,-0.280615980057202,-0.626987089143874,-0.556592005119834,-0.14854232805526,-0.827373714596633,-0.502682598714987
4,-0.419521080544632,-0.929778475218198,-0.736245447560297,-0.29229445855887,-0.0592710711148695,-0.501574574814963,0.110102994798264,-0.363891733261665,-0.704294694794203,0.327104186089419,0.0387182570532527,-0.162909135424737,-0.231821566845608,-0.517105902147638,-0.297518699129357,-0.402280636520597,-0.55987721488653,-0.791180497068942,-0.0542479399892501,-0.0386461842397242,0.0130120521577697,-0.0834307350706695,0.163703745153226,0.0691080719921974,-0.270994178120738,-0.168209773621275,-0.333039250235493,-0.568219109182531,-0.544020651952465,-0.654879278861518,-0.458492357138279,-0.594110195553658,-0.234471640626548,-0.195996249045602,-0.654737834461167,-0.166780735203792,0.182123801827274,-0.654998556693467,-0.281962277050838,-0.477499588530993,-0.120027688453372,-0.305918871948202,-0.506991109913075,0.230033609462755,-0.503388229780311,-0.606172677423249,-0.320825075031293,-0.299553282714934,-0.365711814194547,-0.0997753309154088,-0.189960492075789,-0.0530839253034145,-0.554536177959427,-0.312692446239953,0.0142737560407736,-0.313325468750158,-0.589125070592501,-0.594701743601504,-0.606870574898529,-0.501879659451051,-0.547292147907507,-0.522108125636805,-0.636725023993351,-0.25532410043948,-0.191600755287428,-0.574844180344104,-0.576212137422804,-0.28909905683743,-0.495975446229862,-0.436275511389658,-0.756676066667542,-0.313702263412845,-0.0574364324985174,-0.367729790696311,-0.254800116796125,-0.671937759424063,-0.579853889799833,-0.877782273597679,0.113221597027055,-0.692668979407906,0.140918403185785,-0.38794414846386,-0.0591628207041838,-0.618836828563871,-0.4134458580922,-0.281229449163232,-0.274323403392674,-0.59208346817832,-0.260494708391951,-0.372869798327416,-0.211339591856028,-0.428868352473471,-0.59322881731359,-0.402156108268563,-0.280244367842121,-0.397944149113663,-0.540300396349104,-0.503699701359842,-0.348416990960355,-0.50985193273225
5,-0.613164688632078,-0.566009030284513,-0.508061300322777,-0.667836173913745,0.265918378343942,-0.334782913982207,-0.17385830153437,-0.589942219507288,-0.231774940260167,-0.376044228309816,0.128338224944815,-0.189422761500813,-0.203530541715189,-0.839852438002859,-0.425431370712699,-0.490862055446416,-0.419024824556278,-0.337397256337517,-0.235352575047843,-0.12537593948389,-0.675769775898928,-0.321886722324304,-0.486767586526002,-0.240536370658509,-0.411763778204474,0.0710950272856824,-0.790004996473518,-0.445937320179672,-0.617758766503768,-0.633375407194174,0.140265292643577,-0.705579149607198,-0.260379802569906,-0.575696551166999,-0.0616023241085553,-0.367166970179591,-0.707605646131272,-0.00118323598113839,-0.481677777533438,-0.771627364163851,-0.429916995980652,-0.163745030494869,-0.215061486195454,-0.140779767078457,-0.192385048235429,-1.2140874257712,-0.364755502880524,-0.272664113773663,-0.230071958801524,-0.41717136196661,-0.427088174500686,-0.701588952167887,-0.280393821128304,-0.261653889823957,-0.421729214557638,-0.0211167649141306,-0.372236163472506,-0.259001185004255,-0.293237342478187,-0.706188963274564,0.0146737228166886,-0.484687582555059,-0.159240715166586,-0.447288870353004,-0.284299537816768,-0.770099704702942,-0.433559519229837,-0.116334740241876,-0.217284340105953,0.250745269905355,-0.628141547406069,-0.721901298352457,-0.116766391989638,-0.524992424631144,-0.336284303635827,-0.0752879984993701,-0.661160947899944,-0.359586723955043,-0.211069294444258,-0.436279232372564,0.106062621964281,-0.344108739506101,-0.0885821685580724,-0.333057862944174,-0.712539582832101,-0.0357605622181183,-0.278986621226536,-0.869806345585608,-0.178311185880375,-0.318599293456876,-0.304773093769592,-0.390687290890779,-0.584998372859152,0.0391947509003351,-0.372287157337235,-0.313512516272025,-0.495088357465197,-0.476612980333061,-0.727427176437677,-0.224315580624268
6,-0.337354664032605,-0.663550860044784,-0.239804177346247,-1.17594625038218,0.0582165871677528,-0.479041354627855,-0.137014130220359,-0.080648013531601,-0.32213001608626,-0.330767123370323,0.0965111524860574,-0.251049287485666,-0.139247437763627,-0.38506585461635,-0.323445455571901,-0.0702448050108204,0.0776648259976392,0.129776667092967,-0.59615838793712,-0.18144002204002,-0.688057126388093,-0.591827179728616,-0.401876912581719,0.0381029370358623,-0.402996710320236,-0.476660982850886,-0.681551277860826,-0.041986020448168,-0.690039943205339,-0.595872745171715,0.104776866793379,-0.591381542305021,-0.150749018434332,-0.35432366614648,-0.159601872400007,-0.447177479817474,-0.777783649569753,-0.415591751057802,-0.0245232596672661,-0.386616911068305,-0.390894316267044,-0.245271963021406,-0.417966217794777,-0.677627823295073,0.372966862299925,-0.675458800782891,-0.642952099000864,0.0185412889405733,-0.258145640015892,0.0465595728340465,-0.397766681338012,-0.150052140218649,-0.107294248823173,-0.192788726685063,-0.310368294784914,-0.170208300048082,-0.256440733355502,-0.129162755154044,-0.935675411774901,-0.350245397654873,-0.955082682387924,-0.00145914368061025,-0.979181612661061,-0.208454257792575,-0.381311953757753,-0.65583990366017,-0.153515919599468,-0.305364169105981,-0.140413931687731,-0.0823671021052835,-0.536938258334671,-0.384845748005319,-0.207421245477589,-0.641037287601419,-0.255536381102058,-0.0962206461281043,-0.326387708637056,-0.496310143486642,0.00805414147728793,-0.666744174897889,0.119310239852295,-0.355705857241616,-0.116718465970686,-0.671504402479736,-0.433935013973607,0.0691481872178264,-0.626512268811273,-0.628325879235638,-0.331680692770234,-0.210898917512725,-0.53480196438805,-0.482307742900436,-0.523736796151028,-0.19479682304958,-0.856701171202113,-0.0849880726890745,-0.29244028277061,-0.177470877536815,-0.516151780552812,-0.733614835327635
7,-0.37187097527,-0.253166900133434,-0.0120297082467074,-0.300568432326749,-0.056543547643365,-0.178136737430175,-0.441059411400875,-0.0456023286736393,-0.32563553271295,0.00361512697676351,0.105527038041982,-0.59998359145403,-0.177652292954508,-0.312939627694749,0.158121191577159,0.143991678924574,0.257213337418362,-0.108351464312759,-0.114323701866475,0.172938795378576,-0.236712360986049,-0.175700736637962,-0.106947971170136,-0.107066264558958,0.341007176068818,-0.209506671543683,-0.390805019340968,0.131797556155696,0.139654396104459,-0.119029001834275,-0.0832264600883998,-0.332125403437485,0.661735115592469,-0.323822729229114,-0.411186064728515,0.0724657291265152,0.0768567757508629,0.0397204613562787,0.112312906009579,-0.351239962184459,0.0188083978770635,-0.302261917542055,-0.248305373243922,-0.196971979760843,0.188394041009654,-0.258067924966496,-0.165859072568459,-0.140968775267258,0.244894785410794,-0.725337870505134,-0.30605119520683,-0.451525135696833,0.297534955822488,-0.363772306675912,-0.346144411412678,-0.0787058778462593,0.112252089949901,-0.235415842489025,-0.173089012901791,0.0543129860217874,-0.59975757183983,-0.397815983895418,-0.238844502370037,0.267602024643315,-0.412273217283496,-0.036708696494526,0.0678759913626781,-0.0610918240055517,0.230422205321824,0.244065721063912,0.040614526341776,-0.378030902026064,-0.395014314766515,0.0453684851697299,0.105138011974911,-0.379565789610416,0.00947532059144163,-0.298317239075714,0.191283922981481,-0.263011234378945,-0.0174091130345241,-0.137096081231037,-0.676841735261133,-0.10046803498667,-0.508997183760027,0.0819931038090266,-0.189145416832548,-0.319931753485229,0.304872432803964,-0.198816917143408,0.0484796308270715,-0.505722871789575,-0.555272982849167,-0.33931154157572,-0.228805769490185,0.16586269706685,0.0153977696341538,-0.124626746740491,-0.441415810347385,-0.285103202269207
8,-0.401238297631438,-0.425216097873561,-0.356152798175463,-0.295531252485908,0.10695356206169,-0.150546918059185,-0.518678857285746,-0.680456301830589,-0.0385229265738191,-0.0178334224666384,-0.170650543787269,-0.271771812312951,-0.261610337747787,-0.310416567506563,0.281357098705429,-0.0845419366868737,-0.26821437398996,-0.134144452206811,-0.366066794998234,-0.0667135918522097,-0.10332284457659,0.101117979382099,-0.311991629715181,-0.0196533526441707,-0.281203070941313,-0.0925023197505695,-0.475100526689579,-0.471202936489232,-0.433185343355924,-0.157224794215608,-0.439627430515574,-0.344910602622689,0.144846366534015,-0.290804224014164,-0.233050405914427,-0.00447708840369824,-0.273334018183442,-0.309748950133634,-0.106522538325979,-0.395979136718845,0.269320347724745,-0.797956293896609,-0.305720978249893,-0.463363140588808,0.0473672911951482,-0.31069496365191,0.40621826648058,-0.655537505304834,-0.0236599753786302,-0.345422532452677,0.102362018872095,-0.212581237603919,0.311240724794403,-0.136551327003993,-0.0267912855693008,0.499974303941369,-0.0293011530706708,-0.325881468413299,-0.387069986950697,0.0629498872041437,-0.361278194477667,0.135715641493199,-0.211758936076004,-0.463810981669321,-0.0112508329066845,-0.524897030392891,-0.0157336562791888,-0.245833633779205,0.0979638723442494,-0.121625539392409,0.198798255574494,-0.308588921278507,-0.050606799587903,-0.196933389879915,0.346213418025228,-0.193517555672755,-0.239324508244265,-0.199819435608838,0.0856001452664091,-0.302628567248341,-0.208037453013055,0.133368239429398,-0.418620128273885,-0.144796842119784,-0.796682441273277,-0.230622461139285,-0.49430051809528,-0.650155307479224,0.0297063760028683,0.364191636885988,-0.0161162070007448,-0.322693846913981,-0.0783691164020946,-0.174837232828476,-0.286740510489576,-0.441692905549225,-0.498997038844754,-0.384727902190349,-0.360281460557163,0.0224703191415679
9,-0.565986930726208,-0.140740907591075,-0.236107481569741,-0.0559675723311689,-0.176647003922986,-0.557349598146573,-0.514909528584517,-0.338139125318279,-0.342516571968694,-0.686980462144652,-0.224038977684277,-0.160707912459564,-0.559051400925319,-0.0173589458511394,0.45282237974092,-0.285577984523138,-0.411519679424029,-0.461561816195309,-0.164878030425067,-0.381647775363997,-0.0576105347542313,-0.530707717631805,-0.490504737530816,-0.513695743234582,-0.207126508010462,-0.276168602078566,-0.478656984167696,-0.0370757035628757,-0.5483992836566,-0.139933827933311,-0.486680334783606,-0.760382612987288,-0.380103921376514,-0.259883021150401,-0.308886986887029,-0.226490774538291,-0.409256436359965,-0.120272041699034,-0.331818322192342,-0.333341412168456,-0.129366739595589,-0.382670824909156,-0.601929552185273,-0.217568836702336,-0.251784051519209,-0.386855043776676,-0.461857351393619,-0.142662797064442,-0.572148673614219,-0.169486419806252,-0.210130419246131,-0.372778647922573,-0.331778340874546,-0.407648255796642,-0.269930716880617,-0.269494132171451,-0.218166898841882,-0.171883854258831,-0.622362267150286,-0.339872239575796,-0.471870595202154,-0.445947170589673,-0.542169252224194,-0.278535547909705,-0.117567448319825,-0.261790009492003,-0.15961633635261,-0.185015878467001,-0.368511734188778,0.0681322519670672,-0.53885413753005,-0.241839870389411,-0.67310722712052,-0.18251071804247,-0.6700880078862,-0.459424489735707,-1.0860965630601,-0.648743723603162,-0.14255034395083,-0.427235720326633,-0.141150931520741,-0.2755200158086,-0.384175582991775,-0.397516520789197,-0.654367603138237,-0.379766170593036,-0.257294442743129,-0.29424658582692,-0.249860035542327,-0.0381116733157534,-0.521903186629835,-0.410237768384548,-0.590274665492136,-0.014285442620438,-0.619045355686697,-0.635897560843856,-0.150532518425133,-0.534426935730289,-0.521521702099674,-0.465023430999457
10,-0.638596109838915,-0.413635909306111,-0.0825970514274266,-0.298276185053234,0.0241608614979721,-0.299517044684458,-0.468308607714657,-0.52961682387894,-0.109863853309957,-0.147530236415534,-0.519098423240354,0.0667648566434064,-0.347868570020859,0.198395405364855,-0.0411934254166898,-0.310312567610305,-0.419983789056247,-0.37837381455051,-0.43372702428851,-0.675175221785592,-0.457033297368766,-0.359098647151617,-0.213075301694811,-0.579941435921269,-0.262462433150348,-0.491329654671632,-0.246459664069051,-0.449778013222307,-0.0346215178414793,-0.681468316305998,-0.811341881667245,-0.211947579207261,-0.277973994283844,-0.166516005285571,-0.150075492237564,0.0151683529630619,-0.110163988118289,0.0318025111579553,-0.389947519823055,-0.399689596678707,-0.510963912266449,-0.833639968120077,-0.569665121800221,-0.424870637378004,-0.599141762768783,-0.411491114661556,-0.159312800450639,-0.980216171303674,-0.693978382345215,-0.233978494019161,-0.55681990295485,0.199185107145263,-0.265783858541521,-0.493669033250148,-0.342889165211101,-0.180203303217795,-0.243568903826779,-0.218134714552955,-0.38054828325813,-0.142677485794846,-0.188650899017216,0.190532733792201,-0.658160599783728,-0.505866105824049,0.355100952900723,-0.896495713122666,-0.25207940398496,-0.626312940578954,-0.731546979945805,-0.109160616001579,-0.277950894649082,-0.247724432512264,-0.441179233558542,0.0405707285391267,-0.548740995520809,-0.0610950285114861,-0.764813112265954,-0.54442040502781,-0.215812062069496,-0.56812432980391,-0.437021834625971,-0.430884735779816,-0.635779137449431,-0.333487679142803,-0.700196461953614,-0.438110991529884,-0.00517985132134433,-0.4496002416935,-0.25928865788328,-0.251446988658283,-0.72023257334406,-0.496682965470335,-0.608429348341858,0.00468434545366845,-0.637576943472015,-0.348490915251119,-0.332516871373562,-0.805502829170158,-0.184681829501052,-0.225634151591926
