"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
1,-0.175465891203303,-0.89713313602485,-0.458947865412198,-0.315600792188001,0.0434620371629793,-0.440573614461694,0.00907084835048464,-0.178461345448077,-0.322475495006435,0.0497198930125198,-0.314929719956684,-0.33317572777642,-0.426942409133269,-0.481193081993262,-0.774132777831855,-0.0313385479818177,-0.483617344702105,-0.342330249723604,-0.373786164743591,0.238849195208748,-0.66207013708569,-0.662484142900075,-0.426166023883263,-0.482585587631631,-0.0939943651119452,-0.288780766044248,-0.15179939405136,-0.455049841505386,-0.487343307541766,-0.25063525223785,-0.480218600298994,-0.641289329016791,-0.597316097279628,-0.2761624099689,0.14429726070542,-0.358520186249302,-0.770765950736489,-0.381373136651084,-0.795090893053573,-0.307059015956446,-0.475536411380166,-0.380996645127709,-0.437893792025708,-0.735568257373588,0.149994129640977,0.00533599272640382,-0.299003143412074,-0.483461936536159,-0.0732208917331087,-0.755467874570809,-0.0526882546945008,-0.188728823594833,-0.613497996867828,-0.141497362486115,-0.664384910838168,-0.0933006884914216,0.0931334563349905,-0.343438187555866,0.0126842661456415,-0.909312128939192,-0.0635811615842188,-0.660417107792977,-0.668056130877662,-0.351555382267305,0.238436113402118,-0.166441803026597,-0.274760839510903,-0.120962453243074,-0.53951471165992,-0.0292026746532219,-0.469889399563205,-0.269389453985994,-0.232543472460217,-0.357016123995769,-0.328606569783598,-0.775723920821721,-0.74554239908151,-0.463715636121283,-0.596596961673519,-0.445045733951805,-0.217575826977395,-0.193250998880574,-0.157756723691174,-0.334440744838934,-0.386227749587935,-0.14778273053026,-0.413863591256346,-0.10958833069678,-0.221344876996807,-0.670182257868034,-0.784182305895131,-0.479495486949457,-0.140201120470105,-0.537438748284314,-0.0493849318632316,-0.461321489825576,-0.447591655847667,-0.2663084407403,-0.29243498731343,-0.659869893607794
2,-0.365055157739874,-0.159576870129689,-0.517777220145267,-0.118483301013212,-0.0491707105842925,-0.322162617432398,0.116516037984486,-0.487120353004278,-0.946627054540166,-0.0662132581361425,-0.16618327328106,-0.279850025323323,-0.70372360048139,-0.0269187905939935,-0.290589233333588,-0.392118945933318,-0.780019527256547,0.0312812693160963,-0.190403716358188,-0.241199987074221,-0.341236158279689,-0.780843033467859,-0.013741494748723,-0.354053963979686,-0.547544575667849,0.00830613835358915,-0.21988613323486,-0.197186604899514,-0.314854795592496,-0.145811486641102,-0.239496119245687,-0.36018340929306,-0.0834686811333136,-0.0431290020394956,-0.0402236308375108,-0.342700348217818,-0.464850549302089,-0.810810405033064,-0.779361693200796,-0.427233483559232,-0.0180023233200874,-0.451208036179958,-0.336327899874358,-0.302218998468482,-0.505282486371764,-0.287831909417008,-0.469142586220934,-0.138649659262943,0.0886878836936183,-0.472503663597098,-0.262770559120462,-0.376132938372733,-0.199216006404123,-0.121425123185734,-0.221522903088476,-0.440039746119381,0.103760705401628,-0.648853291095773,-0.134827900722797,-0.487780230818969,0.00759804276437361,-0.28905014235945,-0.453211642560868,-0.801850388113711,0.0261965385953935,-0.348037928752981,-0.16491165106729,0.188752403949763,-0.418118229641949,-0.20914069972023,-0.46858390106689,-0.426025423836315,-0.0159349357952692,-0.508820725021447,-0.230028885742442,-0.45195740385129,-0.340313736076657,-0.346799072133648,-0.265005987051207,-0.1524050960719,-0.191744142261073,-0.1951941531777,-0.770324425601751,-0.30287500872955,0.0536368177483304,0.31088895344581,-0.311121012143771,-0.31038219254754,-0.366051423911961,-0.153156886610986,-0.311643197927683,-0.117404964266615,-0.283584769939835,0.109727870943798,-0.420807086668016,-0.256504989928578,-0.30897760620972,-0.30115377496856,0.0879127496517113,-0.389597609259859
3,0.160520173937283,-0.366531424235673,-0.309761764445123,-0.112000821751484,-0.0548280999001957,-0.653177923274256,-0.18526808386993,-0.45084899377029,-0.351671013352538,-0.115684599979138,-0.488522492634648,-0.523389243085381,-0.732822331835874,-0.503260430431788,-0.603902982592391,-0.4234504801894,-0.269233312042171,-0.359529303016645,-0.125089055605581,-0.130011028808529,-0.460709366383893,0.00807119475796231,-0.153797435827654,-0.673978334258662,-0.391371847269009,-0.274072890997252,-0.51465921411425,-0.803086575293392,-0.134494994226516,-0.112803363188362,-0.60759989343588,-0.613168355065904,-0.366851430353074,-0.0872546972410929,-0.39387678797438,-0.563665981212081,-0.276461398789428,-0.587255288721204,-0.342013890458043,-0.682768907684835,-0.46825702228867,-0.474204145824279,-0.0950104985247244,-0.622421685660531,-0.868700073260854,-0.292609187768826,-0.0777172086432047,-0.586158725419333,-0.177503306694571,-0.459949927229623,-0.265065646000027,-0.54555547616558,-0.73890048507553,-0.331347411734979,-0.0303344750909344,-0.625807236204022,-0.592961080379246,-0.903895328686118,-0.488038656354553,-0.465791743938029,-0.310932106611416,-0.561341180297662,-0.507829641023672,-0.308620641019349,0.0328395048757281,-0.687837272333691,-0.115263254173324,-0.277225225608573,-0.475144551498364,-0.319179574902603,-0.929837894091508,-0.346520644230971,-0.506046721912465,-0.73393093810646,-0.116998689466296,-0.364870253963754,-0.320865114325334,-0.534331684946666,-0.0968739150278607,-0.0708334037730246,-0.625536302197517,-0.416396058923148,-0.169177635290136,-0.797149723103281,0.00127832776214071,-0.21956087386877,-0.0652103211710713,-0.47353914903904,-0.479459191389197,-0.0140236276551612,-0.627902220449716,-0.352766933448889,-0.14358904619754,-0.393749564011145,-0.504081883159645,-0.668094151084713,-0.547701352728803,-0.110509003338744,-0.661154991559027,-0.643580828842303
4,-0.36626676965477,-1.02706868526304,-0.325815989445791,-0.471185424591109,0.0130257100737694,-0.478879184426731,-0.0227738576100546,-0.406077083315627,-0.549798245976608,0.309678829753167,0.125357236760569,-0.160375341729697,-0.267952222426214,-0.40912190741275,-0.523163854047793,-0.48327560414291,-0.536712242504461,-0.672282270063409,0.306486707424547,0.13684849906789,-0.0708083998859951,0.0238945831438699,-0.167952218675418,0.153957964288363,-0.123424112739289,-0.277803309398554,-0.242006771640616,-0.563316686596388,-0.380906663844956,-0.345156243162539,-0.473428762692599,-0.299913281880695,-0.390612910176805,-0.15781090031314,-0.580587347203507,-0.15218359864718,0.427629793375871,-0.662667212810162,-0.0988574237672461,-0.566804967287716,-0.31347523808737,-0.379014183851543,-0.539794428484887,0.00354967215538969,-0.577198720090092,-0.487630572702978,-0.145946387781645,-0.429144152918457,-0.418923407341165,0.0533128064604224,-0.252554817024663,-0.105299019138453,-0.474086779966462,-0.140978713921178,-0.0928344397841162,-0.206278631954808,-0.641199642691425,-0.314625116538048,-0.159591507316658,-0.265764464964683,-0.197149841514403,-0.246945508270509,-0.71854677652454,-0.467886931458835,-0.0908681828974075,-0.622197207754201,-0.67672746980913,-0.17422936114563,-0.567480243999096,-0.238847539743395,-0.699322653680586,-0.474584303365474,-0.0922546282551345,-0.387266722071256,-0.361841754553605,-0.65035260487403,-0.284192295677796,-0.540574047056451,-0.0556627453686012,-0.712855006886058,0.00639859020779514,-0.182136474644238,-0.116425093535955,-0.332509192875054,-0.320554616487968,-0.208275182962521,-0.266737680190286,-0.272729536773317,-0.349147420163931,-0.34078357755394,-0.0884451134006266,-0.565002512460114,-0.489921892957014,-0.21173991040741,-0.100552786202917,-0.430356999398784,-0.547417990636934,-0.416521903727718,-0.177896734911144,-0.286933518488885
5,-0.353452372961119,-0.498706110007928,-0.24450020612851,-0.761665668474915,0.130321280703479,-0.395002082323353,-0.149395147284373,-0.4860107982621,-0.237794130944409,-0.492853333681719,0.365749507134865,-0.210136465774856,-0.192442650795075,-0.942318857030447,-0.460904326339065,-0.666286759691878,-0.532042405683182,-0.1168554028761,-0.264675172198446,-0.125531414053332,-0.458741245568579,-0.399488586805993,-0.489959402808178,-0.0450919643426732,-0.265767741752466,-0.155037091429425,-0.773984585800029,-0.580306866732642,-0.582277042565936,-0.418024364613085,-0.117562068144193,-0.404204504988186,-0.335564953369125,-0.42619753230017,-0.0487839837823973,-0.540604301241467,-0.479316353294873,-0.093722480516105,-0.347071072600549,-0.914812421774609,-0.355478699382535,-0.238474212061298,-0.126857576432689,-0.174744302004773,-0.49247929281786,-0.943534295435892,-0.215619031758482,-0.192620555454439,-0.566192965488479,-0.434959155182186,-0.267862344311794,-0.45997880827889,-0.391026317060433,0.0091522684179081,-0.261247531732941,0.0407965052254955,-0.280086038836056,0.0761165013908218,0.00548885005325126,-0.576564804278734,-0.0417070492533177,-0.263265563492213,-0.321881509694137,-0.6492845691384,-0.173637167996568,-0.596079009264086,-0.404584479825592,-0.0713914406900998,-0.354322914460109,0.180091897692153,-0.581742590647205,-0.742502355224101,-0.0715265818773555,-0.529174441299896,-0.284677398815062,-0.443107334543375,-0.563597304990978,-0.314197750964849,-0.266248549694989,-0.380798402210373,0.137631510419904,-0.334402801217065,-0.0254316834171066,-0.242895800022335,-0.744777753911687,-0.120926498519991,-0.373302166271495,-0.63479981885153,-0.0996257268075393,-0.485162869771053,-0.251550973742511,-0.304363104817907,-0.711373572677102,0.332010165989887,-0.080668103150616,-0.330933624246886,-0.343767353968066,-0.457582123684517,-0.618409686234057,-0.276160822219921
6,-0.43658245240495,-0.755547983318636,-0.175754997614504,-0.889631103219069,0.178807476885998,-0.456772150933342,0.000640975573905963,-0.11016908503975,-0.364197682793954,-0.11521797779109,0.190355350522677,-0.0932187560033844,-0.0448271004886205,-0.400955274086104,-0.487917930482446,0.0758491724165859,0.00656010798438729,0.179015875084481,-0.331623909896796,-0.0255653356403202,-0.566698389567615,-0.170868136703688,-0.511396911800321,0.194701140043597,-0.238503339042548,-0.266816574892549,-0.378409055957955,0.126317994708733,-0.542661896016029,-0.318472450034581,-0.0568633354119115,-0.347990233958429,-0.0483676617973593,-0.187225495349558,-0.184273650168298,-0.283417945065255,-0.646272558795403,-0.300305865680969,0.100727572590837,-0.377113827332001,-0.216048754915753,-0.0228961284515124,-0.504666248564757,-0.0139068414198436,0.31019170443873,-0.287599223893384,-0.361667242407274,0.0191210588066224,-0.184106051158893,-0.161262069181987,-0.175826297086441,-0.0986707258626511,-0.213162135801759,-0.157698283209527,-0.132156574206215,-0.0521154027531128,-0.0850922059387595,0.103088362706307,-0.636165717249331,-0.327114234957513,-0.591778902946782,0.0499727058885593,-0.838013375076039,-0.245282493312061,-0.0494607631068238,-0.346395256677475,-0.0720118377471381,-0.151312164165827,-0.41995814523045,0.0112344547929093,-0.145823575359527,-0.279133328002792,-0.28257780010943,-0.78180839771308,-0.262612827567268,0.144296251280108,-0.145791027466039,-0.25624346147626,0.0794872307848801,-0.45588835154018,0.026557596378773,-0.0464057175754747,-0.185415233095434,-0.215151595380814,-0.231960889056496,0.0598288607228286,-0.529417550342546,-0.2615720513699,-0.404130541009512,-0.235447755924298,-0.315438245934408,-0.143913872406247,-0.389638939474026,-0.0150269858264432,-0.480393376280306,0.0948525636654808,-0.156664376610855,-0.161772576279628,-0.467114790474972,-0.451929027181539
7,-0.224680361627197,-0.229295388764891,0.147483979022619,-0.281910856552222,0.266514645743409,-0.403569601184493,-0.144044793207745,0.0873896192641105,-0.14049424772855,0.173484869755016,0.151187455433457,-0.29012725048396,-0.0111315730560164,-0.0310262713727508,0.121526996565244,0.663244691163842,0.386850444274166,0.184809323400177,-0.0523433761668827,0.250434109449281,-0.177607492383621,-0.0507847741613289,-0.0940290876636342,-0.196564397410979,0.312017837307788,-0.145934820548869,-0.0292664264854428,0.237948253217005,0.31518135984268,0.139171634992604,-0.0418156005922414,-0.577548084494586,0.786970703373246,-0.136549966527116,-0.0655031399847396,0.221547901094679,0.183033518957251,-0.0299773292865171,0.233247492902625,0.0013215198676691,0.102179542662852,-0.226505739176475,-0.188550368448644,0.0538188350709483,0.150350509368009,-0.208669764285306,-0.221544044274978,-0.101453900743473,0.220797644619018,-0.407984680669468,-0.025079004838202,-0.328611556769362,0.457543274109251,-0.39535965270726,-0.194082552178259,0.165780025506682,0.417594523039505,-0.240159415668237,0.178279418172527,0.230932728629514,-0.381047039012224,-0.442262189895097,-0.0415798652217361,0.152633021495867,-0.258368294017456,0.133078856370067,0.129315232254665,0.0550845548069764,0.267111126190764,0.286097363446112,0.354720284963758,-0.0361823195479867,-0.406246452460533,0.0878025837910174,0.36530292308814,-0.0872824881355353,0.113148624270237,-0.0550926400334386,0.287808112360877,-0.167713961649205,0.109000811083505,0.138870059775661,-0.569996140755958,0.0778124204260207,-0.211887075876168,0.000166262594891798,-0.132459765734246,-0.0245488790963354,0.204158631994015,-0.15610371224723,0.19051564476006,-0.071574450042966,-0.258063019813344,0.0942691971122385,-0.0516726335588395,0.168051082953893,0.0884401919455607,0.00415335825180123,-0.586072289621573,-0.0591631613413345
8,-0.221606840631969,-0.0561810319094032,-0.222303776352485,-0.311409693931613,0.465724095990339,0.0183360202925049,-0.239746598781359,-0.482443410355623,-0.0397355028991275,0.10692267948141,-0.0997231850945358,-0.217914959760385,-0.246225327091546,-0.230004118353433,0.341048943230989,0.100994417931291,-0.209024869185517,-0.37543808017087,-0.106426322731475,0.101516136095003,0.156341487668049,0.193532604624525,-0.181164827481921,0.00262685475295384,-0.336458351105606,0.0746357302900362,-0.564526251377477,-0.151904282368372,-0.07286013623682,-0.049305133677479,-0.465911825843749,-0.101730854035462,0.285571582659031,0.0427210622537735,-0.324902928757062,0.122949109456201,-0.239301089058671,-0.17597957217995,-0.106443252994781,-0.249123612967502,0.0559780445570977,-0.687404241986178,-0.34324680024503,0.0168561828277193,0.00718415612476658,-0.283292551566636,0.171202135822204,-0.489195893024998,-0.0409614371943922,-0.134316132166254,0.167747771465375,-0.0111610778194036,0.646657455020112,-0.140248046842823,0.161862894152679,0.486713045818275,0.0574980970550454,-0.0874859859618545,-0.228269924292939,0.0947902194725292,-0.152798058969941,0.0580162591282088,-0.0551687304228398,-0.468359421954805,-0.0168284603340846,-0.158932803405563,0.0141205519673148,-0.291494260825653,0.125661503429588,-0.0418825932565925,0.329745072481981,-0.165054546753248,-0.110093412652693,-0.264207166659724,0.3987799152081,0.0838025904510324,-0.060030893678494,-0.234265378645825,-0.0471199563451011,-0.0999975659232742,-0.136313307691928,0.0793855753457594,-0.383498489896289,0.0694180149206941,-0.597218466884814,-0.122521109536674,-0.0713742889150726,-0.308267082237623,0.144684953038023,0.116568130546234,0.18379172751206,-0.0413204629588015,-0.0225913154819385,0.12149873373132,-0.258251150724076,-0.287914780913326,-0.402836701705927,0.0373770867554263,-0.452468014179262,-0.137622784406575
9,-0.724663703126272,-0.112788002184378,-0.221143562061475,-0.0550562436354052,-0.115417501580899,-0.521065046371357,-0.470353876388713,-0.0338380371352782,-0.518412124121492,-0.575691850146689,-0.408013630719449,0.0171176981308105,-0.645070742338118,0.310060121549525,0.338612987973705,-0.194386115181636,-0.325573059094197,-0.677233163263895,-0.378565328902578,-0.0997873077477328,0.014748670145518,-0.384327216293571,-0.15119435125958,-0.556952114735377,-0.215474266017255,-0.165139213117452,-0.37425341566886,0.225381022260245,-0.324921665762226,-0.00343508492478499,-0.660200181581063,-0.505034230653801,-0.412462447996151,-0.0616474350651392,-0.308082080663125,-0.319727706372255,-0.248589344926516,-0.266740202713085,-0.175499624834312,-0.455913949345259,-0.145455308891054,-0.246324257419783,-0.717109739821942,0.00676070342493542,-0.327815823264509,-0.267185052238374,-0.523794829488392,-0.443516201512312,-0.366996914958882,0.0181120720657526,-0.0973020592334262,-0.10311606652382,-0.130828905174388,-0.243368396955139,-0.220543409461433,-0.123978519915239,-0.0649466490731125,0.0736560044858135,-0.454759792591266,-0.428512783964918,-0.364842827492996,-0.199541068218007,-0.241790551756012,-0.207132532205885,-0.114812136921118,-0.0245897122800844,-0.0134738972708446,-0.0187439060303401,-0.153926926844656,0.0339508446876921,-0.560021626340095,-0.277668747447622,-0.637401637177122,0.0362648924392918,-0.321625927128716,-0.268617390564091,-0.946670301825833,-0.337503310902018,-0.300926750770668,-0.358785895673643,-0.0477403626212764,-0.130275200711809,-0.62827183465011,-0.210264109946491,-0.358137090437084,-0.296396937501795,-0.000294890098399518,-0.257768247403076,-0.191785304564423,-0.12292148241586,-0.30452177807734,-0.282705078802935,-0.510092650627165,0.478318867073996,-0.237761330047122,-0.485556609249776,-0.054702569123745,-0.518866457009846,-0.322343929385834,-0.511727945250132
10,-0.255382688629971,-0.350105280731026,-0.102214897031673,0.0152072261986472,-0.054364130929195,-0.166601222322873,-0.359968120785302,-0.530794065272524,-0.225758326373302,-0.295086292285151,-0.36730823350232,0.0600453086995278,-0.254912201922616,0.313556125846857,-0.368366651929227,-0.0710673814652712,-0.351651149274767,-0.303292610633772,-0.325552017155448,-0.446113913694242,-0.436953237222429,-0.564325451078668,-0.256997012299499,-0.650940196081856,-0.0835769758138652,-0.349242759846874,-0.131850139522021,-0.024200327755281,-0.150480962192517,-0.40021480483238,-0.430394427614457,-0.11947102696765,-0.0253554228603926,-0.0125556508667732,0.0164402848683692,0.141822039813844,-0.290103222245698,-0.0180973239937081,-0.275401408742035,-0.361091746481613,-0.377982915125362,-0.506083574123099,-0.504956928469258,-0.363209883030074,-0.463189388692458,-0.0835613071303372,-0.385677150743915,-0.599234447202166,-0.635797934328486,-0.123199921051296,-0.435588848896784,0.267345094585357,0.124127075745332,-0.0922891469301491,-0.25269710666427,-0.373123329369134,-0.173400246508598,0.131964350506599,-0.358640148723395,-0.289547699987746,-0.106681864050635,0.227957569386751,-0.319002286975367,-0.298460158356909,0.391775164634764,-0.556354235742199,-0.025671189344321,-0.554551714589277,-0.574835436972887,-0.0539152985283029,-0.317243206469349,-0.382123584942469,-0.155867928135021,0.179637524241346,-0.259535945406236,0.00733305487967922,-0.610100419144686,-0.299004303090545,-0.232073664718438,-0.434051492584789,-0.307447644017796,-0.228073085243702,-0.914066073202769,-0.222323397785083,-0.473052457257652,-0.235902238116278,0.0257506652563043,-0.299567818163123,0.0233051454610531,-0.220782094700047,-0.387590527916859,-0.546411978980639,-0.662547227478464,0.28144491120813,-0.355149113280827,-0.221649967554438,-0.398910893857669,-0.582943251907518,-0.164666267870905,-0.338288683830098
