"binAges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
0.5,1.54841522035553,2.66867173640431,0.985242756348986,2.93732806538909,1.94472718151046,2.16367495980669,3.7445458942612,1.30930627619526,1.44006576210685,1.46611927424318,1.34407504590944,3.57903681181324,2.95200619760311,0.984724322373047,1.17609221648224,1.11932013115451,3.30166633942845,1.02529589251377,2.6286161626225,1.83588197480649,3.75753496032419,2.55697466057503,3.13600920612209,3.63230338268949,2.42914467160648,2.99962657214274,3.37105247483495,1.11629876316116,1.502995632624,3.75597818276278,3.1028572513587,2.36903916281584,1.3612797834064,2.15724241384614,2.7804692671993,1.34692006993892,2.01971569991832,1.85396424347599,3.4094883354863,1.3762154862348,1.08429609349701,2.45857675619807,1.19483681213556,1.78754744609925,1.36693658012409,3.24733432869677,2.90604845230525,2.48394832294541,2.40875241430325,3.7342593669728
1.5,1.54841522035553,2.66867173640431,0.985242756348986,2.93732806538909,1.94472718151046,2.16367495980669,3.7445458942612,1.30930627619526,1.44006576210685,1.46611927424318,1.34407504590944,3.57903681181324,2.95200619760311,0.984724322373047,1.17609221648224,1.11932013115451,3.30166633942845,1.02529589251377,2.6286161626225,1.83588197480649,3.75753496032419,2.55697466057503,3.13600920612209,3.63230338268949,2.42914467160648,2.99962657214274,3.37105247483495,1.11629876316116,1.502995632624,3.75597818276278,3.1028572513587,2.36903916281584,1.3612797834064,2.15724241384614,2.7804692671993,1.34692006993892,2.01971569991832,1.85396424347599,3.4094883354863,1.3762154862348,1.08429609349701,2.45857675619807,1.19483681213556,1.78754744609925,1.36693658012409,3.24733432869677,2.90604845230525,2.48394832294541,2.40875241430325,3.7342593669728
2.5,1.54841522035553,2.66867173640431,0.985242756348986,2.93732806538909,1.94472718151046,2.16367495980669,3.7445458942612,1.30930627619526,1.44006576210685,1.46611927424318,1.34407504590944,3.57903681181324,2.95200619760311,0.984724322373047,1.17609221648224,1.11932013115451,3.30166633942845,1.02529589251377,2.6286161626225,1.83588197480649,3.75753496032419,2.55697466057503,3.13600920612209,3.63230338268949,2.42914467160648,2.99962657214274,3.37105247483495,1.11629876316116,1.502995632624,3.75597818276278,3.1028572513587,2.36903916281584,1.3612797834064,2.15724241384614,2.7804692671993,1.34692006993892,2.01971569991832,1.85396424347599,3.4094883354863,1.3762154862348,1.08429609349701,2.45857675619807,1.19483681213556,1.78754744609925,1.36693658012409,3.24733432869677,2.90604845230525,2.48394832294541,2.40875241430325,3.7342593669728
3.5,1.51011543854863,2.64471017971708,0.966941010539884,2.9187775873668,1.91490007522796,2.10240588847193,3.68352475681464,1.28587762651592,1.41464677840037,1.44658935072707,1.33426386507694,3.51367903880948,2.9322459939493,0.974491962037545,1.15370784246619,1.10012764794069,3.27706815633551,1.01066140573551,2.61058715254643,1.78310181925284,3.68896982721629,2.50876935161546,3.11445049546661,3.57589071795162,2.36829390667358,2.96161676217885,3.32106329421839,1.09999210607316,1.48710198797458,3.69337135690957,3.03329454952318,2.30731800678731,1.33974849242046,2.13762386040422,2.7540733198407,1.33778258059868,2.00070302288671,1.82900668731137,3.34681629982206,1.35004605537483,1.06511740485863,2.44373511143443,1.17668672711495,1.76867156955734,1.35005559994537,3.17899111481967,2.84578699075251,2.43475142265789,2.34677561165775,3.61816800169994
4.5,1.16541740228649,2.42905616953206,0.80222529825796,2.75182328516617,1.64645611868547,1.55098424645901,3.13433451979563,1.07501977940182,1.18587592504202,1.2708200390821,1.24596323758441,2.92545908177562,2.75440416106503,0.882400719018022,0.952248476321758,0.92739529901635,3.05568450849901,0.878951024731129,2.44832606186178,1.30808041926996,3.07188362924517,2.07492157097936,2.9204220995673,3.06817673531086,1.82063702227747,2.61952847250384,2.87116066866937,0.953232192281185,1.34405918612979,3.12990992423063,2.4072302330035,1.75182760253054,1.14596687354698,1.9610568794269,2.51650979361325,1.25554517653646,1.82958892960219,1.60438868182984,2.78276797884389,1.1145211776351,0.892509207113255,2.31016030856169,1.01333596192949,1.59878868068016,1.19812677833689,2.56390218992579,2.30343383677788,1.99197932007021,1.78898438784822,2.5733457142442
5.5,1.16541740228649,2.42905616953206,0.80222529825796,2.75182328516617,1.64645611868547,1.55098424645901,3.13433451979563,1.07501977940182,1.18587592504202,1.2708200390821,1.24596323758441,2.92545908177562,2.75440416106503,0.882400719018022,0.952248476321758,0.92739529901635,3.05568450849901,0.878951024731129,2.44832606186178,1.30808041926996,3.07188362924517,2.07492157097936,2.9204220995673,3.06817673531086,1.82063702227747,2.61952847250384,2.87116066866937,0.953232192281185,1.34405918612979,3.12990992423063,2.4072302330035,1.75182760253054,1.14596687354698,1.9610568794269,2.51650979361325,1.25554517653646,1.82958892960219,1.60438868182984,2.78276797884389,1.1145211776351,0.892509207113255,2.31016030856169,1.01333596192949,1.59878868068016,1.19812677833689,2.56390218992579,2.30343383677788,1.99197932007021,1.78898438784822,2.5733457142442
6.5,1.17636982368117,2.46781352205961,0.812248249906713,2.80137221657378,1.66706009658745,1.56152485116687,3.17638369407238,1.08920065540644,1.20106393642325,1.28602243535438,1.26643121542865,2.96334799252437,2.80357162799273,0.894607186575277,0.964352766297759,0.939111315654274,3.11025599636824,0.892662016803583,2.49115175973275,1.31872399050503,3.11222841674457,2.09920599498048,2.9701203180067,3.11190684862214,1.83726208478223,2.65700867519791,2.91295226144829,0.963890752233101,1.36638334292897,3.17290682099327,2.43206209639614,1.76558705841848,1.15967844465542,1.99429479451847,2.55671801879224,1.27620369295937,1.85993649976024,1.62612078207743,2.81569832388043,1.12510488786954,0.903118293007139,2.35165950944329,1.02523794858882,1.62333016765539,1.21793616112729,2.59262620875384,2.33011386259294,2.01511751391879,1.80323308523915,2.58646558566809
7.5,1.27494161623329,2.81662969480761,0.902454814745492,3.24731259924237,1.85249589770532,1.65639029353756,3.55482626256317,1.21682853944794,1.33775603885439,1.42284400180497,1.45064301602679,3.30434818926314,3.24607883034208,1.00446539459058,1.07329137608177,1.0445554653956,3.60139938719128,1.01606094545567,2.8765830405715,1.41451613162069,3.47533150423921,2.31776581099065,3.41740428396138,3.50547786842366,1.98688764732508,2.99433049944455,3.28907659645856,1.05981779180035,1.56730075412158,3.559878891857,2.6555488669299,1.88942216140995,1.28308258463141,2.29343603034258,2.91859204540315,1.46213034076549,2.13306463118271,1.82170968430566,3.11207142920927,1.22035827997957,0.998600066052095,2.72515231737771,1.1323558285228,1.84420355043247,1.39622060624096,2.85114237820621,2.57023409492853,2.22336125855601,1.93147136175751,2.70454442848307
8.5,1.27494161623329,2.81662969480761,0.902454814745492,3.24731259924237,1.85249589770532,1.65639029353756,3.55482626256317,1.21682853944794,1.33775603885439,1.42284400180497,1.45064301602679,3.30434818926314,3.24607883034208,1.00446539459058,1.07329137608177,1.0445554653956,3.60139938719128,1.01606094545567,2.8765830405715,1.41451613162069,3.47533150423921,2.31776581099065,3.41740428396138,3.50547786842366,1.98688764732508,2.99433049944455,3.28907659645856,1.05981779180035,1.56730075412158,3.559878891857,2.6555488669299,1.88942216140995,1.28308258463141,2.29343603034258,2.91859204540315,1.46213034076549,2.13306463118271,1.82170968430566,3.11207142920927,1.22035827997957,0.998600066052095,2.72515231737771,1.1323558285228,1.84420355043247,1.39622060624096,2.85114237820621,2.57023409492853,2.22336125855601,1.93147136175751,2.70454442848307
9.5,1.27494161623329,2.81662969480761,0.902454814745492,3.24731259924237,1.85249589770532,1.65639029353756,3.55482626256317,1.21682853944794,1.33775603885439,1.42284400180497,1.45064301602679,3.30434818926314,3.24607883034208,1.00446539459058,1.07329137608177,1.0445554653956,3.60139938719128,1.01606094545567,2.8765830405715,1.41451613162069,3.47533150423921,2.31776581099065,3.41740428396138,3.50547786842366,1.98688764732508,2.99433049944455,3.28907659645856,1.05981779180035,1.56730075412158,3.559878891857,2.6555488669299,1.88942216140995,1.28308258463141,2.29343603034258,2.91859204540315,1.46213034076549,2.13306463118271,1.82170968430566,3.11207142920927,1.22035827997957,0.998600066052095,2.72515231737771,1.1323558285228,1.84420355043247,1.39622060624096,2.85114237820621,2.57023409492853,2.22336125855601,1.93147136175751,2.70454442848307
