"years",""
1900,0.593141213936385
1901,0.412966695801448
1902,-0.350637960965329
1903,-0.201745129583528
1904,-0.649670539447473
1905,-0.156746745853143
1906,0.282021471414557
1907,0.463609967495436
1908,-0.166660290944736
1909,-0.128206643136503
1910,-0.288187017753878
1911,-0.342466533507968
1912,-0.377073951504311
1913,0.0412574204803955
1914,-0.0502289299455008
1915,0.114238258959339
1916,0.175334233857989
1917,-0.169189516566204
1918,0.043092922848454
1919,-0.0305645786984431
1920,0.364960539101722
1921,0.332757387319031
1922,0.498224903964686
1923,0.233156781183308
1924,0.540191971763775
1925,0.185234250340112
1926,0.232098358864634
1927,0.116064716264744
1928,0.405633765888539
1929,-0.13108114243738
1930,0.594407173569607
1931,0.537669399432427
1932,0.603028582562673
1933,0.244281723757632
1934,0.733495954876363
1935,0.244096636397417
1936,0.203826756779957
1937,0.45644840407573
1938,0.76839897557723
1939,-0.0721973173080966
1940,0.633772195523854
1941,-0.168582246027977
1942,0.317713732174636
1943,0.29863684370823
1944,0.579224569591928
1945,0.473854876118045
1946,-0.108302312223092
1947,0.543890875354889
1948,-0.0486227585654325
1949,-0.11698493127543
1950,-0.109266417728473
1951,-0.517663715854594
1952,-0.664406969041816
1953,0.0571172282347919
1954,0.197721802289368
1955,-0.367403068330305
1956,-0.180725492504285
1957,-0.22469355903922
1958,-0.670408156655465
1959,-0.0637306561562195
1960,-0.065786779063994
1961,-0.8057852435627
1962,-0.312317173476521
1963,-0.495429238168759
1964,-0.84925695041599
1965,-0.23577042999919
1966,-0.749826721661235
1967,0.0658784419993401
1968,-0.760531904454474
1969,-0.391840225430578
1970,-0.0608647253822729
1971,-0.0768722271225007
1972,-0.220995940259573
1973,0.0788720143787359
1974,-0.70639488295055
1975,-0.132025364763379
1976,-0.546497784740371
1977,-0.488032407367632
1978,-0.764426637595797
1979,-1.14408497999535
1980,-0.115744504790309
1981,0.298798341575359
1982,-0.822428838182857
1983,-0.498788686367004
1984,-0.478537260993238
1985,-0.0220307572373694
1986,-0.451773691129162
1987,-0.974667893857026
1988,-0.0925650992179852
1989,-0.0844855652889053
1990,0.61541678280226
1991,0.564083637867031
1992,-0.120467723039784
1993,0.401683024821344
1994,0.171139099205362
1995,1.53280009204154
1996,0.768722333855486
1997,0.534712926035976
1998,0.395169077176146
1999,0.522124680459019
2000,0.945846389778761
2001,0.751827909657198
2002,1.01670702186573
2003,1.1424418749056
2004,0.42716464039732
2005,2.37011886021358
2006,1.91272102492438
2007,1.95987081884718
2008,1.40605486031648
2009,1.28215872460583
2010,1.86594933226412
