"binAges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10.5,0.199671490875944,-0.316288064953034,-0.170304074752721,-0.0357583513407314,-0.408955549294835,-0.496930872126646,-0.149362983056599,-0.0738002171169139,-0.184381424463781,-0.378202201787824,0.0835626314953152,-0.442872354513371,0.360414526215613,0.416865216302451,0.483089008293579,0.127278068627852,-0.106603205350167,0.216533144570871,0.384813898664326,0.16359275285404,0.230601746753213,-0.342465960199043,-0.19595101686212,-0.575488284592025,0.111195894780376,-0.2519444517598,-0.592479558450467,0.137121064029408,-0.299000067519957,0.0493019083437918,-0.0721607717850075,0.205554458631102,0.0682961444405428,0.0637416888915931,-0.225774285633634,-0.11677030881906,-0.243057218382373,0.172347590756916,0.111486604475145,-0.445381769507938,-0.0447905070867554,-0.617341448575023,-0.181509753558761,0.11171372279469,-0.0160099531247559,-0.0352274785497934,0.702098253097494,-0.155573658942055,0.242102859186143,0.0740935491494326
11.5,0.253446817930612,-0.236398452253005,-0.108662542269517,0.0514368498358633,-0.384583438631763,-0.413062931666003,-0.0800430061860954,0.000683313890192387,-0.0726231060704961,-0.309598704892465,0.114815847860292,-0.340578345902309,0.451005775077684,0.513521145960031,0.660131469812151,0.175532168107657,-0.0521994081108804,0.382071763388074,0.538665684692504,0.215391353002307,0.272006976243639,-0.309571116291626,-0.102406807959425,-0.404707759908572,0.172291376068519,-0.209369563585559,-0.462828983165829,0.236621991395222,-0.190765217226028,0.137272402116574,0.0114791714263544,0.297806789512411,0.0981264552296117,0.194203400456416,-0.0921434243852366,-0.086992316704539,-0.168723246017992,0.290313460319287,0.148052018109363,-0.409261947319402,0.0140351170467648,-0.469352938791002,-0.0969126926180552,0.149377962262722,0.0425507937657274,0.0517202428014615,0.741379475979298,-0.0510246443535717,0.361002240163603,0.119127818342773
12.5,0.143579894874095,-0.357296290070503,-0.245607787446354,-0.0776802240569402,-0.595582952103176,-0.489313084571279,-0.195097671201427,-0.194492412983439,-0.192364559272197,-0.461929482565515,-0.123274159360215,-0.464749131715194,0.177238323572598,0.307271017395606,0.489730406740673,-0.0291475912146013,-0.227912728682448,0.155726936412802,0.396840030548532,-0.00463860498195031,0.0545938517795528,-0.435712234781624,-0.21520580075123,-0.453588308431728,-0.040107582490872,-0.368792990243102,-0.547622002594129,0.0374713945356975,-0.404369958777921,0.0232421220688947,-0.137436648471015,0.205180684590027,-0.100319995467576,0.0707802590091428,-0.311719107127439,-0.239793477468466,-0.276701646780519,0.0903057263275157,-0.0178483335273232,-0.528128525185185,-0.146164955119032,-0.542694665675049,-0.236312639984904,-0.0860738959022106,-0.125405742455591,-0.074712092123787,0.526598751554367,-0.236331496642944,0.167801829007881,-0.0648626501584186
13.5,0.182364115108076,-0.31376244043344,-0.126051771037427,-0.0434018319116871,-0.505093225887269,-0.456070135915814,-0.142170994922795,-0.18522874166592,-0.172221164985848,-0.411970983730287,-0.0618099626474254,-0.439589239961939,0.275068889531393,0.423034355638123,0.546342433700778,0.0283223616945419,-0.175376314712271,0.183533923018425,0.429985926122289,0.0378293013714938,0.111084382163655,-0.359849389377955,-0.171759758123716,-0.420344445385192,0.0566066603801813,-0.326441786131693,-0.490757395288673,0.0880568833457635,-0.369723746367423,0.118773909504167,-0.092393575157426,0.281420676430734,-0.0202129125145168,0.0975217992925842,-0.290360579590858,-0.139728031538497,-0.230603607940774,0.126850469081303,0.0737884599106625,-0.466740488397196,0.00100913674953643,-0.525624204885852,-0.178888377558725,0.000279323438754921,-0.0360655640628357,-0.0261134894818561,0.692136252187376,-0.196765930771255,0.211552937610862,0.0140915299047575
14.5,0.492809478020554,0.281887390021145,0.840481682619069,0.302103156248909,-0.130773550670072,-0.142146340470707,0.14996611141093,0.0019624196961948,0.0374947776450329,-0.0420057488324035,0.30232104935099,-0.107669185383997,0.88194997068184,1.7348755592356,0.913594300880691,0.317440113749143,0.153910390608838,0.545592078066714,0.907866760266173,0.278264028335848,0.348502554430928,-0.141071810710443,0.231683011262757,-0.171328068129129,0.435997149443008,-0.0202245576855858,-0.169250418277755,0.650737745850657,0.231412874898338,0.674006424290958,0.37071952932242,0.794184485945102,0.569148683365114,0.465662579788594,-0.024647064423053,0.384176792766718,0.0413764002866574,0.357946819198364,0.55094703402679,-0.0836802729277307,1.03887053073767,-0.217075966139548,0.171981997790791,0.72410009998696,0.483835196123864,0.357979827878023,1.727839375567,0.0656426327449861,0.557264106029826,0.394980934741987
15.5,0.478822414491855,0.619944514603361,1.2111965954788,0.257862187441442,0.232025791921724,0.0692490456533018,0.122869878435469,0.0705304155514145,0.134256633384353,0.192904274974351,0.338151984183953,0.246284786875518,0.810711221375769,2.15745571073917,0.875463973178748,0.309003178775757,0.257744615017422,0.594656311872838,1.04820563977547,0.197363493171367,0.284550111501559,-0.100866967664129,0.261864288987152,0.0182266044867528,0.408605910032322,0.0510551057354236,0.14398289649647,0.800416796805932,0.679752033794409,0.831980270461848,0.42106414098362,0.807562152762797,0.644232682129462,0.470347716864485,0.336009096460425,0.465751702214147,0.150230635641074,0.308813122743428,0.499723263457766,0.124652720189173,1.41536111169282,0.17268486995576,0.298458744452281,1.12092763557973,0.574220019168285,0.368407005664637,1.69073248049594,0.150025349995552,0.518479288826,0.377942169870461
16.5,0.691615202111704,0.952207616665524,1.41783525106152,0.514067067300801,0.55554650251943,0.345754362109032,0.303188862714745,0.325742619266888,0.43731947196644,0.460160341486335,0.676610062028103,0.537990491974148,1.06438220127834,2.5319296253335,1.08253802406621,0.616540486719416,0.443668436773926,0.893031269444967,1.34085387014539,0.436188980530484,0.605996756391372,0.0865824901089852,0.380145963195038,0.192897976468934,0.620617984636357,0.216804057155776,0.394668427492847,1.09318598408649,1.00642016609624,1.0332826642572,0.618263981755615,0.983609197783253,0.991831173851475,0.632080251600447,0.637464506116417,0.6748473214002,0.370025007035066,0.597078280224617,0.783292865560513,0.367930929793284,1.65130499935361,0.392440436411603,0.545903355892924,1.42636603126,0.803628448144445,0.559029321671728,1.99907360830952,0.445507964278751,0.714137170380995,0.556639609976931
17.5,0.609757904584322,0.86322406199249,1.36921423025202,0.46577422194941,0.539391207705729,0.272776564950482,0.318212656415125,0.343529300194716,0.383587348899024,0.497798960319207,0.688428812815136,0.547889998953012,1.17144388809996,2.45175863110555,0.996949217116346,0.660286077520271,0.362009568201628,0.971988128863029,1.30572695203081,0.660930237776859,0.589220341332519,0.0213624379913962,0.484107151615911,0.0942987390270582,0.551761648394611,0.347401632681814,0.315124699426563,1.15635482752348,1.19049853028593,1.01517152285922,0.579581839958271,0.907935917520273,0.895867902203732,0.650569919491849,0.63668265842893,0.638087741984362,0.373005635640298,0.784108252654443,0.851361399457782,0.546579052789586,1.55564557027062,0.324222383303563,0.453341327345908,1.45628811487977,0.744700887322767,0.516908409349427,1.93617695369316,0.605116198173089,0.713772768755765,0.525139657910942
18.5,0.669109393916951,0.936874739328776,1.50662553807947,0.570452348833511,0.726771502009123,0.341610757152378,0.472985308693391,0.541984422816892,0.549009174326207,0.758590043621663,0.832583554773484,0.675626524627353,1.50182305969901,2.53395364222896,1.13492656393855,0.869477482289509,0.471833991650834,1.26994660304465,1.4777406136854,0.965324729680318,0.755364503902876,0.150440636379388,0.716699029984442,0.201213663816655,0.719022586394208,0.540284072313026,0.435207297680934,1.33874748038324,1.44467436224639,1.18002951979988,0.718285344991798,1.03598929455885,0.995146900931894,0.795438242379402,0.872320763503642,0.740301395628085,0.611175707841606,1.11722958994939,1.07004865909175,0.777417475949071,1.72639432294676,0.468987159260753,0.618936503123131,1.62016800526194,0.894745306639537,0.669127915276011,2.0462165017284,0.838553798618634,0.855962267792301,0.704438321711677
19.5,0.541987583672847,0.787610207071522,1.40403088749159,0.49445823885262,0.599011065456713,0.316052083684513,0.403178863235722,0.441921249937232,0.489420244098904,0.645673278588658,0.728478697592727,0.588358852945965,1.38681156166184,2.3431570881928,1.06657425315425,0.771253712884237,0.299642094273538,1.16925426530983,1.35305081817267,0.873733939159721,0.633439683239211,0.0829333753275571,0.620803132915649,0.095873109452487,0.606489501907356,0.406246601077602,0.387035170825313,1.20890127835858,1.22232382031608,1.10535511311062,0.60360549965518,0.948071666193811,0.870863821082544,0.631679102779849,0.769524745244716,0.648756040441582,0.532081167822284,1.02277609222797,1.02669304292439,0.716820050939424,1.6326804588944,0.384266816084125,0.520016284922457,1.39837637579781,0.777304413917583,0.56476111181659,1.91162764454798,0.74397188341999,0.752668997249623,0.594792164544277
