"binAges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
0.5,2.47047050092308,1.69851272290798,2.65945300470338,1.80418625459909,3.64663081551124,1.88144948978625,2.13813839095536,2.37722481230121,2.7058980333081,1.93307408671711,3.25873678992897,1.71085356449487,1.98520728048124,3.3044470326739,1.98155429403726,0.906303424516925,2.47557492024172,3.01639664037028,2.88474123782201,2.50046914335771,2.39895164961292,1.77228422470922,3.250883896677,3.52718628419853,1.51876567715646,1.51182705665028,2.55357647833595,2.93616352441013,2.35059383765309,1.87197665727782,2.4787619635674,1.98054366110989,1.80379602053639,3.26536872716344,1.05356637174836,1.51852121505829,2.01875185542389,1.73563544784207,3.08171057141865,2.55434529293018,2.14850066853499,1.87965671953069,2.54619689787212,1.96093258061714,3.22264680235028,1.70819344086098,1.7886682211284,2.54023670137122,2.39063331757495,1.66056023452345
1.5,2.5561746789827,1.77109852822105,2.72696352851595,1.87903076444276,3.6999722903551,1.96610890400705,2.26335710523928,2.28820443944459,2.74541736225216,2.06841358282754,3.27012481768036,1.82099301793826,2.00941307816596,3.41240896595753,2.07246188161977,0.982177384290217,2.49453001882231,2.95478012826382,2.99250177476463,2.45632269204437,2.44390983563058,1.89016170930045,3.21900086154744,3.53865181382769,1.60380428901342,1.61014073175477,2.40398201547636,2.9957479308902,2.29570263370553,1.95459642068376,2.52685482681657,2.01773831686162,1.91997550661819,3.38867804066983,1.17146586689346,1.58452584375747,2.0701365034722,1.80087483237986,3.17318025628739,2.63291706641583,2.12328930545945,1.93689883312879,2.44904739351654,1.90295511589436,3.32383920742447,1.75635090587599,1.89765026696244,2.50815828784287,2.43880207445872,1.69195765474956
2.5,2.69557506154648,1.89845499481164,2.84717532769444,2.01504509692959,3.80967940276811,2.12152737303234,2.4519699409366,2.25472680249904,2.84269799718563,2.27277028564426,3.33749652378169,1.99328549110213,2.09150763625186,3.57722859896428,2.21523805253519,1.10619705145574,2.56619933967657,2.94465944699746,3.15623114934398,2.45927722523918,2.54626294069383,2.07417388632233,3.23295492498283,3.59419012143485,1.74138893211052,1.77256135635502,2.30624415581934,3.09900204306602,2.29318852176908,2.08990360281656,2.63763855481037,2.10991004628074,2.08811746426787,3.58119045786868,1.36178348827432,1.70262345784395,2.19026751609213,1.92171958414181,3.32404757408638,2.76219473939895,2.15823141606118,2.05882210823205,2.38574759509526,1.88986971638586,3.48429052113408,1.862240755761,2.07474690941141,2.53466433629438,2.54824278775735,1.76890648105626
3.5,2.63084239314651,1.81796982110955,2.76745746184351,1.91909224838396,3.70603385116535,2.00866316615533,2.39897241934644,2.0146011345911,2.72172709437288,2.21411069488067,3.19401590046249,1.92901792226629,1.95525955291726,3.52545994798166,2.16062321680121,1.0472092209627,2.43912141724258,2.74241697168724,3.1067204990879,2.28619673449694,2.43160464644494,2.0064541152252,3.07531670460328,3.48367293994176,1.67918338559228,1.6913727371247,2.01725825010592,3.03649663709622,2.09506753187356,2.02495014395497,2.51141250351161,1.99436112378925,2.05787452053294,3.5102924170018,1.27673560181483,1.62311746480173,2.05052958117888,1.83176950040035,3.24919167103746,2.69876721911788,1.96756590196415,1.93601780074857,2.19759684158076,1.70940807617864,3.41929385986793,1.74976882593404,1.99289040957721,2.34163817778363,2.42600853913926,1.67373309021683
4.5,2.62154378898206,1.79496143562643,2.74319156106368,1.88772307918426,3.66288298174037,1.97062774668804,2.40990812576859,1.84299710315754,2.66370175960863,2.225117298321,3.11323749513753,1.92822661979104,1.88306513369133,3.53130600607689,2.15904463500948,1.03798643135219,2.37056582653568,2.60238717124743,3.11383032003181,2.16925096154483,2.37913459401191,2.00623411924255,2.97160969500796,3.4223603075415,1.6711508606538,1.67661803855703,1.79643035289641,3.01971094844565,1.95973428013562,2.01448209536625,2.45317672410203,1.93875005890459,2.07918377185905,3.51002824236343,1.26630404431259,1.59846912893978,1.98543449189932,1.80070409493781,3.23586563341615,2.68783517252073,1.84662947386172,1.88288261142407,2.05390521929995,1.58344928331808,3.41505804342952,1.6996660850098,1.98133635049083,2.21699587120339,2.3701524321766,1.62818489578395
5.5,2.69806009554596,1.86100394583099,2.80485083150305,1.95644620030276,3.71356319150286,2.04857188903817,2.51969642014004,1.778351479046,2.70338139270797,2.34384573350826,3.12991307893773,2.02564561778477,1.91036821157127,3.62625716847843,2.23952865677526,1.10580742713516,2.3929299782028,2.55938082826941,3.20850006018871,2.13979792521793,2.42316718334785,2.11044615689239,2.95191328341952,3.43751165618507,1.74697526731933,1.76472653915144,1.68226982239129,3.07375213013676,1.92228827456851,2.08836771912839,2.50045187810715,1.97617732951778,2.1801333386295,3.61904518648061,1.37137107416675,1.65882860333721,2.03618056060265,1.86091221762651,3.31780771069124,2.75818067043354,1.83424002976094,1.9378276093851,1.97979024273901,1.54250823337666,3.50485042296732,1.7463328751962,2.07861293190345,2.19883974188937,2.41729995891052,1.65966451485613
6.5,2.72730500249853,1.88024565946954,2.82170033671665,1.97349468466507,3.7181193011895,2.06692382794504,2.57138048015947,1.68177555136135,2.69724091545101,2.39941023821426,3.10474892821817,2.06730380477152,1.89322075994363,3.66951008734402,2.27357476327484,1.13133613303284,2.37511171885005,2.48477312883442,3.25213781909145,2.08027438047915,2.42112698541485,2.15526006177932,2.90189529538325,3.41948617971368,1.77642907878555,1.79678120063324,1.54464673327454,3.09031480474875,1.85195718515568,2.11601081424777,2.49749981861752,1.97003321167229,2.23216331733615,3.66591169690518,1.41246396480839,1.67496491025916,2.03197708387693,1.87441347881203,3.3477775688952,2.78411260943474,1.78047057147005,1.94022289209805,1.89031227355257,1.47442540171072,3.54184309828541,1.74637571264974,2.11589961340671,2.14110149613434,2.41524589169832,1.65498758298291
7.5,2.63132840229935,1.77259822514215,2.71658670900892,1.84918037151325,3.59329778472464,1.9218607197603,2.47386919859852,1.4657097920549,2.55937481965654,2.2926014269648,2.95343367905643,1.96340095676987,1.74492711713887,3.57919637347222,2.18620266312292,1.04464215757173,2.23804451841607,2.298199977519,3.164213030116,1.91765102613712,2.28787528112395,2.04514939608755,2.75091811487426,3.3020078280172,1.6832775157341,1.6795625014964,1.29921984638207,3.00560968327786,1.66730502029513,2.0208682202769,2.35128637164994,1.83853667769943,2.16113682822254,3.55066780043859,1.28454444624244,1.57058686477145,1.87075064653269,1.7595693438918,3.23941836931733,2.69192985086965,1.59326964822519,1.79437791385845,1.73043653323582,1.30897625934408,3.4402684158742,1.61426974331763,1.99432561338665,1.95383725911988,2.27310714676062,1.54641681058221
8.5,2.47518313579387,1.60382739825718,2.55269829614588,1.65670582600518,3.40593178159985,1.69798453038497,2.30491848853309,1.19039167491482,2.35767002104406,2.10803305041194,2.74069664297323,1.78966947397345,1.53291268533651,3.42488220776724,2.04057336849703,0.904015379165421,2.04300424908305,2.05634017995377,3.01326333905867,1.70425420481469,2.09109420943075,1.8607252409002,2.55034374182064,3.13613356970131,1.53122643667033,1.49057682519079,0.999590022532634,2.8721409619339,1.42628935144792,1.86671211595652,2.13569860687148,1.64628567122726,2.03132581368288,3.35766316262363,1.07543875501437,1.40812463621371,1.63347156202173,1.58281232421128,3.06455786289307,2.54296882628946,1.34070133146087,1.576828056867,1.53517111612535,1.09540199027821,3.27218078125274,1.41821155620391,1.79642213430281,1.70303707409682,2.06314469630989,1.38749801190419
9.5,2.38640121725283,1.50375553332816,2.4549112721745,1.54095155655272,3.28924758170101,1.56285400884915,2.21551739198689,0.984605847135742,2.22838459794457,2.0100695524719,2.59812788980982,1.69391972879573,1.39346463496268,3.34191186855327,1.96002136663805,0.823787892594791,1.91404126133278,1.87896384761133,2.9325433840015,1.54984773262941,1.96627787439081,1.75927908867239,2.40718600084718,3.02550090178609,1.44509675398823,1.38201173097234,0.764822705759285,2.79344867002073,1.25086713190085,1.77865258580473,1.99871506906328,1.52296290547204,1.96673074478946,3.25148637695435,0.957185493003967,1.31100023583479,1.48238819958744,1.47579421886049,2.96421053155651,2.4576177707779,1.16349648976011,1.4403842693039,1.3822455006333,0.938038360939004,3.17844054838297,1.29454367585323,1.6839704878886,1.52562837240701,1.93000835797985,1.28569037877366
