"years",""
1900,-0.413914611479552
1901,-0.300869225220255
1902,-0.358562262008582
1903,-0.33870991603368
1904,-0.314021496111882
1905,-0.339291617275064
1906,-0.326354529068723
1907,-0.40947082737685
1908,-0.325745497891366
1909,-0.391174122587556
1910,-0.446163480745193
1911,-0.513921733496895
1912,-0.374148776650046
1913,-0.503634229273778
1914,-0.377957519508728
1915,-0.27978236588114
1916,-0.349363003540565
1917,-0.34329061573049
1918,-0.349146615342333
1919,-0.315735831290103
1920,-0.394024022297142
1921,-0.456688251128425
1922,-0.473207913846718
1923,-0.459725064495575
1924,-0.464644888584138
1925,-0.369541237810655
1926,-0.458916895978697
1927,-0.366272933618287
1928,-0.39486504283623
1929,-0.419531799317851
1930,-0.360426332803943
1931,-0.318028341825955
1932,-0.419696934376082
1933,-0.503570439365338
1934,-0.354735298278457
1935,-0.373617524251742
1936,-0.344052290473822
1937,-0.348561800461173
1938,-0.219858703193232
1939,-0.236596598313972
1940,-0.0990998615725721
1941,-0.135680256400586
1942,-0.0780535354266607
1943,-0.181359180138034
1944,-0.0850579349172517
1945,-0.108217363501758
1946,-0.0102854943650802
1947,0.0792861907826526
1948,-0.00465778647849189
1949,0.0647059122745349
1950,0.123135591617331
1951,0.167012470002418
1952,0.0998707277431693
1953,0.0375016815054815
1954,-0.0299306249284847
1955,-0.0503084630826997
1956,0.0356802699999367
1957,0.0565213318646229
1958,0.126772434550503
1959,-0.0387623108382828
1960,0.147458393906465
1961,0.17221642838323
1962,0.0670065451013694
1963,-0.134727404190757
1964,-0.177486968424449
1965,-0.101140217379977
1966,-0.0141734119124038
1967,0.120815275657371
1968,0.176681169587837
1969,0.236945684953512
1970,0.359454478153507
1971,0.189606935321155
1972,0.286663819472534
1973,0.233692484494511
1974,0.27889252677005
1975,0.290021038539414
1976,0.29077638171271
1977,0.389850818755675
1978,0.467366034460782
1979,0.643778606675761
1980,0.56881659741239
1981,0.558329934079072
1982,0.523703011139346
1983,0.573640612875825
1984,0.39244641607633
1985,0.51952186850716
1986,0.506793494481254
1987,0.510865924678162
1988,0.442100905711461
1989,0.463168842206408
1990,0.650663518989999
1991,0.580348681569182
1992,0.405234858506466
1993,0.438123149424453
1994,0.375096143179384
1995,0.43879679247391
1996,0.524220566242554
1997,0.586822236154565
1998,0.601378484605211
1999,0.579432619878667
2000,0.561628901369819
2001,0.681222587508432
2002,0.619915702328437
2003,0.616618620032751
2004,0.657356342365336
2005,0.608671799044645
2006,0.622246036994554
2007,0.597099060583099
2008,0.610223545780228
2009,0.665126442834317
2010,0.794099543800021
