# Archive/proxy
#	Lake sediment
#--------------------
# Contribution Date
#	Date: 2012-03-13 17:35:42
#--------------------
# Title
#	Study Name: Lake Nautajärvi Finland Lake sediment Organic matter
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Ojala, Antti E.K. and Alenius, Teija
#	Journal Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#	Published Title: 10000 years of interannual sedimentation recorded in the Lake Nautajärvi (Finland) clastic-organic varves
#	Published Date: 2005
#	DOI: 10.1016/j.palaeo.2005.01.002
#	Abstract: Physical properties of varves formed over the last ca. 10 000 years from Lake Nautajärvi, central southern Finland provide a potential proxy record of winter precipitation and temperature via catchment runoff and erosion. The seasonal-scale varved data indicate that the winter severity and duration of summer growing season has changed considerably during the Holocene in southern central Finland. Periods of increased catchment erosion occurred at 7590–7530 BC, 7450–7400 BC, 7220–7110 BC, 7000–6000 BC, 5400–5200 BC, 4400–4000 BC, 2700–2400 BC, ca. 1500 BC to AD 500, and 1400 AD onwards. The observed changes are likely related to severe winters conditions with high net accumulation of snow between ca. 7500 BC and AD 300, whereas AD 300 onwards an increasing agricultural input is seen in the varve and pollen data. Periods that can be interpreted as indicating attenuated spring floods caused by milder and wetter winters appeared around 7000 BC and AD 1000–AD 1200, the latter corresponding with the last historically recorded warm interval in Europe, known as the Medieval Climate Anomaly.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: Scandinavia
#	Country: Finland
#	Northmost Latitude: 61.81
# 	Southmost Latitude: 61.81
# 	Eastmost Longitute: 24.68
# 	Westmost Longitute: 24.68
# 	Elevation: 103
#------------------
# Data Collection  
#	Core Name: Lake Nautajärvi
#	First Year: 0
#	Last Year: 1995
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>paleolimnology>organic matter
#----------------
# Variables 
#	age_AD	Age (years AD)
#	oma	Organic matter accumulation
# 
age_AD	oma
1995	37496
1994	27430
1993	29621
1992	33347
1991	35013
1990	25703
1989	28120
1988	13549
1987	23874
1986	19950
1985	22015
1984	16391
1983	20719
1982	13576
1981	15675
1980	11769
1979	12583
1978	17520
1977	9968
1976	11125
1975	16053
1974	14627
1973	13907
1972	12935
1971	13250
1970	10088
1969	7023
1968	7062
1967	10829
1966	12411
1965	10836
1964	14355
1963	14666
1962	10120
1961	11387
1960	11500
1959	7309
1958	11162
1957	10461
1956	12640
1955	9129
1954	11731
1953	20654
1952	8759
1951	9897
1950	10755
1949	10850
1948	13270
1947	9042
1946	7232
1945	10602
1944	9557
1943	12489
1942	11966
1941	4331
1940	4533
1939	14748
1938	10394
1937	7657
1936	12467
1935	6313
1934	9161
1933	4320
1932	8141
1931	6778
1930	9719
1929	7024
1928	11366
1927	5551
1926	3993
1925	4640
1924	5903
1923	5781
1922	5072
1921	5654
1920	7024
1919	5230
1918	5623
1917	4345
1916	4810
1915	6176
1914	6363
1913	4120
1912	6828
1911	5706
1910	4689
1909	4870
1908	4507
1907	8605
1906	5028
1905	5511
1904	4677
1903	5323
1902	4876
1901	4437
1900	5953
1899	4378
1898	5051
1897	6090
1896	3621
1895	3581
1894	3215
1893	6077
1892	4921
1891	3969
1890	4728
1889	4436
1888	2967
1887	4407
1886	5760
1885	5285
1884	4150
1883	6207
1882	4049
1881	6204
1880	4676
1879	4616
1878	3523
1877	5760
1876	2937
1875	4823
1874	4457
1873	5476
1872	5412
1871	2990
1870	4125
1869	3761
1868	5180
1867	4288
1866	3547
1865	3740
1864	2962
1863	3604
1862	4343
1861	2155
1860	2650
1859	2402
1858	2338
1857	2742
1856	3112
1855	3558
1854	2521
1853	3245
1852	3302
1851	2783
1850	5159
1849	4362
1848	3485
1847	4011
1846	2110
1845	3705
1844	4842
1843	3862
1842	4287
1841	4230
1840	3753
1839	4260
1838	6108
1837	3996
1836	5187
1835	3731
1834	3790
1833	4909
1832	2848
1831	3083
1830	3279
1829	3744
1828	3958
