# Archive/proxy
#	Lake sediment
#--------------------
# Contribution Date
#	Date: 2012-03-13 17:35:42
#--------------------
# Title
#	Study Name: Lake Nautajärvi Finland Lake sediment Organic matter
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Ojala, Antti E.K. and Alenius, Teija
#	Journal Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#	Published Title: 10000 years of interannual sedimentation recorded in the Lake Nautajärvi (Finland) clastic-organic varves
#	Published Date: 2005
#	DOI: 10.1016/j.palaeo.2005.01.002
#	Abstract: Physical properties of varves formed over the last ca. 10 000 years from Lake Nautajärvi, central southern Finland provide a potential proxy record of winter precipitation and temperature via catchment runoff and erosion. The seasonal-scale varved data indicate that the winter severity and duration of summer growing season has changed considerably during the Holocene in southern central Finland. Periods of increased catchment erosion occurred at 7590–7530 BC, 7450–7400 BC, 7220–7110 BC, 7000–6000 BC, 5400–5200 BC, 4400–4000 BC, 2700–2400 BC, ca. 1500 BC to AD 500, and 1400 AD onwards. The observed changes are likely related to severe winters conditions with high net accumulation of snow between ca. 7500 BC and AD 300, whereas AD 300 onwards an increasing agricultural input is seen in the varve and pollen data. Periods that can be interpreted as indicating attenuated spring floods caused by milder and wetter winters appeared around 7000 BC and AD 1000–AD 1200, the latter corresponding with the last historically recorded warm interval in Europe, known as the Medieval Climate Anomaly.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: Scandinavia
#	Country: Finland
#	Northmost Latitude: 61.81
# 	Southmost Latitude: 61.81
# 	Eastmost Longitute: 24.68
# 	Westmost Longitute: 24.68
# 	Elevation: 103
#------------------
# Data Collection  
#	Core Name: Lake Nautajärvi
#	First Year: 0
#	Last Year: 1995
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>paleolimnology>organic matter
#----------------
# Variables 
#	age_AD	Age (years AD)
#	oma	Organic matter accumulation
# 
age_AD	oma
1827	5185
1826	4536
1825	3976
1824	4813
1823	4552
1822	4187
1821	4961
1820	7959
1819	3391
1818	3770
1817	4183
1816	3441
1815	4279
1814	3858
1813	3187
1812	2172
1811	3674
1810	3564
1809	4183
1808	3394
1807	3334
1806	2670
1805	7181
1804	2881
1803	3928
1802	5465
1801	4558
1800	5216
1799	4242
1798	2864
1797	4324
1796	3043
1795	4129
1794	6003
1793	6658
1792	4061
1791	4813
1790	7065
1789	6236
1788	6836
1787	3499
1786	4156
1785	5187
1784	5982
1783	5571
1782	4826
1781	5396
1780	3408
1779	4393
1778	3115
1777	3289
1776	3141
1775	3894
1774	5137
1773	3769
1772	4910
1771	3630
1770	3257
1769	3902
1768	3517
1767	2967
1766	3610
1765	2585
1764	4020
1763	2536
1762	3887
1761	3616
1760	4723
1759	4533
1758	3182
1757	4400
1756	3755
1755	5180
1754	4550
1753	4619
1752	2774
1751	3311
1750	4054
1749	5491
1748	3586
1747	2711
1746	3313
1745	2850
1744	3231
1743	4257
1742	3078
1741	2966
1740	3817
1739	3176
1738	3768
1737	3141
1736	3665
1735	3711
1734	4949
1733	3020
1732	2403
1731	3333
1730	5251
1729	4452
1728	3806
1727	5519
1726	2779
1725	3930
1724	5713
1723	4060
1722	4043
1721	3658
1720	4359
1719	3410
1718	2805
1717	2382
1716	3690
1715	3624
1714	2836
1713	2976
1712	4139
1711	3789
1710	2719
1709	4339
1708	4360
1707	3321
1706	5742
1705	4180
1704	5342
1703	4275
1702	3071
1701	4820
1700	4065
1699	4959
1698	3964
1697	8163
1696	4169
1695	4365
1694	4243
1693	2698
1692	2497
1691	4280
1690	4431
1689	3918
1688	4195
1687	4135
1686	4625
1685	4594
1684	2885
1683	3302
1682	3771
1681	4014
1680	3270
1679	4336
1678	3736
1677	4223
1676	4125
1675	5354
1674	4277
1673	3392
1672	4894
1671	4684
1670	2330
1669	3703
1668	3346
1667	4530
1666	9495
1665	4323
1664	4847
1663	3513
1662	6621
1661	3393
1660	3375
1659	4909
1658	3690
1657	2878
1656	2933
1655	4347
1654	5035
1653	3326
1652	3665
1651	3563
1650	3087
1649	3868
1648	4039
1647	4642
1646	3178
1645	4529
1644	4604
1643	3832
1642	4303
1641	5342
1640	3388
1639	3946
1638	4524
1637	5205
1636	4434
1635	3589
1634	2878
1633	4486
1632	3568
1631	3788
1630	3992
1629	5426
1628	5278
1627	5613
1626	4584
1625	4729
1624	6202
1623	4305
1622	5910
1621	3076
1620	3482
1619	3109
1618	2879
1617	2768
1616	4361
1615	4116
1614	6104
1613	5470
1612	4276
1611	3965
1610	6581
1609	4229
1608	3112
1607	2943
1606	3912
1605	5154
1604	4881
1603	5697
1602	4879
1601	3341
1600	5562
1599	3558
1598	3153
1597	3519
1596	4599
1595	5241
1594	4310
1593	3283
1592	3602
1591	3095
1590	4706
1589	4491
1588	5075
1587	4760
1586	4941
1585	4686
1584	5161
1583	4690
1582	5399
1581	5703
1580	5376
1579	7295
1578	5392
1577	7117
1576	7548
1575	7298
1574	8390
1573	4444
1572	4592
1571	5089
1570	8640
1569	5459
1568	7251
1567	7603
1566	5997
1565	5903
1564	6847
1563	6441
1562	6098
1561	6702
1560	7446
1559	7335
1558	7106
1557	7463
1556	6079
1555	7109
1554	7486
1553	7244
1552	7430
1551	5168
1550	5557
1549	5798
1548	6993
1547	6611
1546	7837
1545	7329
1544	5424
1543	6277
1542	6076
1541	5215
1540	5124
1539	4951
1538	5439
1537	4569
1536	4129
1535	3692
1534	3396
1533	4176
1532	3439
1531	3485
1530	3897
1529	3593
1528	3447
1527	3893
1526	4085
1525	4323
1524	3138
1523	4906
1522	3300
1521	2155
1520	4145
1519	4114
1518	4360
1517	4071
1516	3345
1515	4739
1514	5706
1513	3806
1512	4012
1511	2920
1510	2466
1509	3343
1508	3456
1507	3310
1506	3295
1505	3868
1504	3977
1503	4689
1502	2820
1501	3702
1500	3746
1499	4184
1498	4727
1497	3527
1496	3544
1495	4519
1494	4685
1493	4677
1492	3142
1491	3224
1490	3511
1489	4396
1488	3046
1487	4634
1486	3856
1485	3272
1484	4020
1483	3729
1482	3382
1481	3631
1480	3127
1479	4561
1478	3707
1477	4064
1476	3942
1475	5112
1474	4189
1473	4032
1472	3807
1471	4260
1470	2378
1469	3096
1468	8252
1467	4109
1466	3750
1465	3759
1464	4395
1463	4160
1462	3748
1461	4282
1460	3555
1459	4827
1458	5289
1457	4899
1456	3956
1455	3572
1454	3639
1453	3699
1452	2953
1451	4374
1450	3376
1449	3063
1448	3173
1447	3446
1446	3537
1445	3938
1444	3767
1443	3761
1442	5014
1441	4012
1440	4171
1439	7350
1438	4789
1437	4661
1436	4017
1435	3920
1434	5645
1433	4249
1432	3646
1431	5184
1430	4666
1429	4508
1428	5070
1427	3658
1426	4297
1425	5601
1424	4492
1423	4515
1422	4741
1421	4209
1420	4223
1419	4163
1418	4789
1417	3082
1416	2904
1415	2684
1414	4136
1413	2935
1412	4005
1411	2968
1410	3417
1409	2528
1408	2364
1407	3092
1406	3451
1405	3662
1404	2843
1403	4199
1402	2896
1401	3465
1400	3296
1399	3066
1398	3527
1397	5464
1396	4690
1395	2974
1394	2716
1393	2297
1392	3264
1391	3161
1390	4120
1389	3007
1388	3409
1387	3402
1386	2884
1385	2095
1384	3360
1383	3614
1382	2689
1381	2851
1380	3043
1379	4347
1378	6151
1377	2956
1376	3124
1375	2661
1374	2684
1373	2992
1372	3429
1371	1881
1370	3217
1369	3299
1368	2286
1367	2636
1366	3988
1365	3567
1364	2939
1363	4087
1362	3704
1361	2726
1360	3234
1359	3443
1358	3494
1357	3806
1356	3337
1355	4173
1354	3849
1353	3457
1352	3308
1351	4142
1350	2995
1349	3546
1348	5208
1347	5426
1346	3036
1345	3889
1344	3871
1343	3603
1342	3017
1341	2987
1340	5466
1339	3195
1338	3178
1337	3643
1336	2749
1335	4525
1334	6020
1333	6266
1332	3505
1331	4141
1330	3813
1329	4160
1328	3093
1327	3624
1326	2582
1325	3884
1324	6311
1323	3193
1322	2625
1321	3233
1320	2579
1319	2672
1318	3929
1317	5305
1316	3095
1315	2884
1314	3749
1313	2878
1312	2922
1311	3511
1310	3448
1309	3269
1308	3223
1307	3964
1306	5734
1305	4117
1304	3293
1303	3732
1302	2717
1301	3378
1300	3156
1299	3268
1298	2873
1297	3751
1296	3550
1295	3440
1294	2855
1293	3672
1292	3230
1291	4474
1290	3024
1289	3247
1288	4150
1287	5802
1286	4328
1285	3254
1284	4104
1283	2444
1282	4021
1281	3094
1280	3755
1279	3379
1278	4626
1277	5069
1276	4259
1275	4023
1274	2401
1273	3555
1272	3658
1271	2435
1270	3367
1269	3039
1268	3994
1267	3781
1266	2133
1265	3327
1264	3244
1263	3593
1262	3988
1261	4157
1260	2582
1259	4085
1258	2971
1257	4264
1256	2965
1255	3766
1254	3689
1253	3416
1252	3192
1251	4457
1250	3183
1249	4033
1248	4426
1247	3391
1246	3430
1245	3351
1244	3635
1243	2198
1242	3776
1241	3296
1240	4247
1239	3872
1238	4003
1237	2569
1236	2688
1235	4233
1234	3182
1233	4022
1232	2600
1231	3609
1230	4046
1229	2976
1228	3629
1227	3079
1226	4607
1225	3179
1224	3169
1223	3749
1222	4644
1221	4015
1220	4766
1219	3627
1218	4259
1217	2988
1216	3287
1215	3476
1214	3660
1213	3665
1212	3077
1211	3252
1210	3890
1209	3842
1208	3697
1207	4486
1206	2829
1205	4103
1204	3664
1203	4347
1202	4774
1201	4095
1200	3639
1199	4133
1198	3479
1197	3710
1196	3730
1195	4109
1194	3660
1193	5548
1192	2976
1191	3844
1190	3285
1189	3447
1188	4237
1187	4098
1186	5285
1185	3063
1184	4137
1183	2622
1182	4071
1181	3912
1180	4344
1179	3773
1178	3738
1177	3688
1176	4079
1175	6659
1174	3930
1173	3542
1172	3734
1171	4415
1170	4767
1169	3860
1168	3702
1167	4340
1166	5069
1165	3702
1164	3670
1163	4114
1162	4773
1161	4362
1160	6055
1159	4598
1158	5514
1157	3505
1156	4257
1155	4421
1154	8847
1153	8409
1152	3837
1151	4150
1150	6147
1149	5345
1148	4342
1147	4134
1146	6744
1145	6965
1144	3975
1143	4118
1142	5989
1141	4707
1140	4139
1139	6135
1138	6903
1137	5209
1136	7371
1135	5236
1134	4080
1133	5671
1132	4038
1131	4413
1130	3849
1129	3913
1128	4076
1127	3448
1126	4489
1125	3637
1124	5188
1123	4378
1122	5223
1121	4183
1120	4055
1119	4128
1118	4917
1117	4037
1116	4065
1115	4006
1114	4436
1113	3994
1112	3760
1111	4598
1110	3947
1109	4757
1108	4775
1107	5354
1106	4573
1105	4601
1104	4400
1103	3871
1102	4989
1101	4070
1100	5951
1099	4732
1098	3476
1097	2429
1096	3803
1095	3388
1094	2855
1093	3789
1092	2905
1091	4273
1090	3813
1089	3545
1088	4121
1087	3986
1086	3724
1085	4134
1084	3890
1083	4745
1082	4910
1081	4455
1080	3984
1079	5577
1078	4803
1077	4428
1076	4338
1075	4855
1074	4138
1073	4327
1072	4253
1071	3793
1070	4507
1069	3916
1068	3479
1067	4222
1066	4937
1065	3666
1064	4227
1063	4435
1062	3871
1061	3456
1060	4853
1059	3899
1058	3757
1057	3638
1056	2486
1055	3925
1054	3723
1053	6134
1052	3290
1051	4220
1050	3755
1049	4780
1048	3395
1047	4517
1046	3525
1045	2665
1044	4536
1043	4791
1042	3565
1041	4699
1040	5149
1039	3384
1038	4482
1037	4262
1036	5866
1035	4155
1034	5732
1033	5142
1032	3737
1031	4363
1030	3932
1029	6243
1028	5660
1027	4446
1026	5851
1025	5464
1024	4290
1023	3814
1022	4580
1021	4004
1020	3347
1019	3293
1018	4039
1017	3581
1016	4366
1015	4995
1014	4263
1013	4498
1012	3412
1011	4233
1010	4105
1009	4909
1008	3193
1007	5127
1006	8468
1005	6074
1004	5781
1003	5484
1002	4465
1001	5653
1000	4206
999	4088
998	3287
997	5077
996	4548
995	4961
994	5035
993	4294
992	4352
991	4538
990	5695
989	5611
988	3992
987	4322
986	6066
985	4658
984	5716
983	3774
982	4732
981	3734
980	4784
979	4398
978	5151
977	3747
976	4451
975	4070
974	4931
973	4409
972	4285
971	5493
970	3439
969	3573
968	5266
967	4757
966	3898
965	5379
964	4045
963	3707
962	4809
961	4474
960	4255
959	4584
958	5401
957	5143
956	3821
955	4013
954	4523
953	4314
952	4064
951	4242
950	4283
949	4502
948	4372
947	5017
946	5138
945	3915
944	4881
943	3822
942	4076
941	4385
940	4281
939	4379
938	3719
937	3732
936	4017
935	3730
934	4278
933	4247
932	4206
931	3742
930	5041
929	3358
928	3572
927	3530
926	4065
925	4968
924	3258
923	3377
922	4319
921	3375
920	5584
919	2767
918	5394
917	4565
916	3621
915	4970
914	4685
913	2952
912	3989
911	3437
910	3671
909	3858
908	4313
907	3473
906	3642
905	3657
904	3832
903	3620
902	4600
901	3510
900	4617
899	4350
898	4497
897	4904
896	3441
895	4249
894	3815
893	5079
892	3962
891	3752
890	5112
889	4174
888	2822
887	3889
886	3372
885	3666
884	3517
883	4182
882	4256
881	3557
880	4317
879	3525
878	5043
877	4295
876	3637
875	3330
874	4047
873	3661
872	3913
871	5030
870	5076
869	4072
868	3451
867	4363
866	4537
865	2332
864	4630
863	3901
862	3629
861	4069
860	4107
859	4368
858	7091
857	3869
856	6139
855	6615
854	3421
853	6281
852	5392
851	5256
850	3149
849	4897
848	4667
847	4429
846	4709
845	4244
844	6565
843	4362
842	5034
841	4235
840	4703
839	2599
838	4209
837	4634
836	4401
835	5679
834	6649
833	5879
832	5104
831	4051
830	3383
829	4797
828	3693
827	4575
826	4305
825	4563
824	4401
823	4083
822	4534
821	3110
820	3612
819	4604
818	4008
817	4220
816	4252
815	5257
814	4879
813	4475
812	4416
811	5550
810	4314
809	4261
808	3734
807	3419
806	3745
805	3106
804	2266
803	2677
802	4736
801	3950
800	3869
799	4794
798	2985
797	3650
796	3218
795	4118
794	3428
793	3169
792	4413
791	4279
790	4151
789	4597
788	3295
787	2830
786	5042
785	4585
784	4505
783	4390
782	3278
781	3959
780	3616
779	3997
778	5357
777	3233
776	3768
775	4066
774	4590
773	5613
772	3710
771	4270
770	4625
769	4078
768	4725
767	3496
766	3239
765	4495
764	3305
763	4137
762	2925
761	4089
760	3153
759	6291
758	3685
757	3488
756	4827
755	3383
754	4660
753	4706
752	3858
751	4041
750	3624
749	4913
748	4735
747	3625
746	3242
745	3921
744	3974
743	3208
742	5726
741	3223
740	3237
739	4163
738	3186
737	3670
736	3754
735	3962
734	3147
733	6737
732	5078
731	4564
730	4623
729	3273
728	3495
727	3803
726	2597
725	3076
724	3590
723	3587
722	3403
721	3101
720	3751
719	3874
718	4085
717	4687
716	4608
715	5285
714	5360
713	4846
712	3286
711	2577
710	6188
709	3742
708	4528
707	3017
706	5057
705	3354
704	3433
703	3682
702	3488
701	3751
700	5101
699	3517
698	4137
697	3797
696	3503
695	3284
694	4167
693	2491
692	3772
691	3953
690	4035
689	4355
688	3300
687	3057
686	4478
685	3777
684	3136
683	4005
682	2615
681	4349
680	3032
679	3640
678	3298
677	3363
676	3393
675	3759
674	3381
673	3989
672	3927
671	4102
670	2954
669	3749
668	5067
667	4763
666	3819
665	4965
664	6622
663	3613
662	4094
661	4695
660	4193
659	3612
658	6937
657	3502
656	3819
655	3567
654	4195
653	4045
652	4216
651	3596
650	4209
649	6126
648	5405
647	5698
646	3671
645	4844
644	4339
643	4168
642	3641
641	4883
640	6588
639	4424
638	4117
637	5777
636	3410
635	4616
634	5573
633	4264
632	4534
631	5428
630	5551
629	5379
628	4064
627	1894
626	4392
625	6604
624	4980
623	3553
622	5246
621	3853
620	3390
619	3867
618	4689
617	4339
616	3258
615	3526
614	5615
613	2469
612	3785
611	5628
610	5437
609	7373
608	3789
607	4275
606	4388
605	4975
604	3869
603	5410
602	3780
601	4523
600	4579
599	4180
598	5624
597	4525
596	2950
595	5790
594	4732
593	3762
592	4630
591	4334
590	3519
589	4601
588	4459
587	7983
586	4611
585	4700
584	5318
583	4855
582	2819
581	4259
580	4013
579	3532
578	8510
577	5677
576	3071
575	4843
574	5399
573	3377
572	4723
571	4972
570	4652
569	4670
568	4237
567	5044
566	4147
565	4983
564	5371
563	4532
562	3412
561	3564
560	3745
559	3829
558	5958
557	4666
556	5295
555	5255
554	5367
553	4172
552	3777
551	5587
550	4567
549	5417
548	4797
547	7124
546	4878
545	4108
544	5604
543	5350
542	4524
541	5019
540	6556
539	5037
538	5015
537	4849
536	6726
535	6569
534	3606
533	5687
532	5897
531	4382
530	5895
529	5105
528	5198
527	6271
526	5555
525	6197
524	5160
523	5039
522	6498
521	4700
520	6866
519	3935
518	5301
517	5497
516	5896
515	6382
514	6338
513	8501
512	5118
511	6981
510	5567
509	5321
508	5639
507	6712
506	6029
505	6781
504	7115
503	6368
502	4983
501	3594
500	4781
499	3632
498	4564
497	3515
496	3928
495	3999
494	3919
493	4349
492	5096
491	6799
490	4253
489	3989
488	7724
487	4377
486	4162
485	4450
484	5013
483	3378
482	4058
481	4313
480	5192
479	4185
478	4622
477	4541
476	3864
475	4481
474	5198
473	4231
472	2816
471	5201
470	5917
469	3555
468	4752
467	5184
466	3961
465	4872
464	4289
463	4468
462	5047
461	5296
460	7085
459	4511
458	7062
457	5014
456	4608
455	5230
454	5725
453	6005
452	3927
451	4347
450	3347
449	3756
448	4186
447	3744
446	3257
445	6539
444	6642
443	4469
442	4406
441	2845
440	2828
439	2944
438	4065
437	2761
436	3681
435	3376
434	3578
433	5231
432	5122
431	4185
430	8907
429	9044
428	8347
427	4678
426	8036
425	6494
424	5483
423	6401
422	5360
421	4902
420	3786
419	4654
418	5649
417	4627
416	8289
415	3603
414	4776
413	4070
412	4005
411	3405
410	4153
409	4540
408	5876
407	4243
406	4617
405	4140
404	4538
403	4105
402	5670
401	4565
400	4349
399	6094
398	5281
397	5163
396	5526
395	6005
394	7572
393	4583
392	5042
391	5684
390	5448
389	5701
388	5976
387	5977
386	6856
385	5491
384	5916
383	6269
382	5712
381	6364
380	7315
379	5198
378	5030
377	4254
376	4664
375	6576
374	4100
373	4778
372	6708
371	4783
370	5340
369	6674
368	3736
367	5747
366	4971
365	5604
364	4438
363	5909
362	5055
361	4402
360	5331
359	5591
358	4775
357	4321
356	5485
355	4475
354	6244
353	4662
352	5837
351	3633
350	4177
349	5332
348	5389
347	6159
346	5699
345	7269
344	4898
343	3801
342	7127
341	3488
340	4172
339	4130
338	5144
337	3876
336	4397
335	4133
334	5028
333	4971
332	5084
331	3888
330	4407
329	3964
328	5380
327	5449
326	3406
325	5019
324	6322
323	4064
322	5789
321	9001
320	5189
319	3004
318	5907
317	3642
316	4156
315	4948
314	3484
313	4429
312	4947
311	3421
310	4675
309	5636
308	2921
307	4504
306	4779
305	6206
304	3692
303	3552
302	3916
301	4033
300	3595
299	3006
298	4896
297	3720
296	5198
295	4655
294	3482
293	3947
292	3895
291	3110
290	5564
289	3246
288	4085
287	3521
286	3181
285	4475
284	3739
283	4007
282	3449
281	3591
280	4603
279	3482
278	3884
277	5246
276	3620
275	3601
274	4304
273	3558
272	4264
271	3775
270	4398
269	2944
268	3665
267	3846
266	4190
265	4023
264	3460
263	3505
262	4849
261	3619
260	5235
259	3833
258	3657
257	4177
256	3919
255	4219
254	3529
253	3793
252	3256
251	4129
250	3772
249	4714
248	3232
247	2970
246	4039
245	1739
244	4262
243	4248
242	4396
241	5209
240	4283
239	4595
238	4275
237	4296
236	4235
235	3820
234	3668
233	4119
232	4050
231	5127
230	3529
229	3292
228	3797
227	3688
226	3462
225	4173
224	4772
223	3767
222	3716
221	4489
220	2929
219	2948
218	3660
217	4422
216	4847
215	3496
214	3267
213	3718
212	3748
211	3230
210	3338
209	4262
208	3698
207	3582
206	4205
205	4686
204	3657
203	4350
202	3446
201	3558
200	4291
199	4337
198	3303
197	3723
196	7646
195	2428
194	3983
193	3709
192	5382
191	2809
190	3167
189	3411
188	3809
187	5031
186	3494
185	3592
184	4309
183	3756
182	3327
181	3327
180	5506
179	6097
178	3037
177	2232
176	3185
175	4234
174	3974
173	4062
172	4001
171	3465
170	4008
169	3711
168	4124
167	4294
166	4150
165	5590
164	3837
163	3156
162	4383
161	4328
160	3240
159	4431
158	3894
157	5444
156	4625
155	4908
154	4636
153	5284
152	5558
151	3404
150	3514
149	4166
148	4072
147	4392
146	4179
145	3604
144	5392
143	5047
142	4518
141	4828
140	4527
139	4044
138	4635
137	5137
136	4229
135	4406
134	5176
133	4266
132	4358
131	4744
130	4295
129	4121
128	4073
127	6060
126	4584
125	5779
124	5459
123	5325
122	5142
121	3890
120	3961
119	3851
118	3383
117	3868
116	5111
115	3906
114	4410
113	3816
112	4912
111	4107
110	4004
109	3980
108	5355
107	3475
106	3363
105	4434
104	5131
103	4512
102	4876
101	4682
100	3731
99	4923
98	3691
97	5561
96	4707
95	4804
94	4570
93	4050
92	5420
91	3667
90	3165
89	3919
88	5167
87	4434
86	4939
85	4982
84	4834
83	3778
82	4332
81	3862
80	3370
79	3888
78	4673
77	5292
76	3897
75	5325
74	4110
73	3242
72	5580
71	4299
70	3948
69	3934
68	5320
67	3996
66	4812
65	4831
64	3694
63	3885
62	6565
61	4632
60	4890
59	4856
58	3567
57	3714
56	3613
55	4526
54	4732
53	3874
52	3561
51	3109
50	3237
49	3351
48	4125
47	3814
46	3629
45	4670
44	3809
43	3604
42	4641
41	3799
40	2734
39	3963
38	3382
37	5097
36	4658
35	5207
34	4776
33	3986
32	3390
31	3702
30	3316
29	4525
28	4233
27	4067
26	4154
25	4773
24	3267
23	5325
22	3580
21	4820
20	3215
19	3387
18	2962
17	5943
16	3463
15	4001
14	3758
13	3912
12	3694
11	4373
10	3863
9	3764
8	4426
7	3253
6	4240
5	3337
4	3812
3	3366
2	4101
1	3127
0	3550
