# Archive/proxy
#	Tree ring
#--------------------
# Contribution Date
#	Date: 2012-07-25 19:40:10
#--------------------
# Title
#	Study Name:  Finnish Lapland Tree ring Ring width
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Helama, Samuli and Timonen, Mauri and Holopainen, Jari and Ogurtsov, Maxim G and Mielikäinen, Kari and Eronen, Matti and Lindholm, Markus and Meriläinen, Jouko
#	Journal Name: Journal of Quaternary Science
#	Published Title: Summer temperature variations in Lapland during the Medieval Warm Period and the Little Ice Age relative to natural instability of thermohaline circulation on multi-decadal and multi-centennial scales
#	Published Date: 2009
#	DOI: 10.1002/jqs.1291
#	Abstract: New tree ring-based analysis for climate variability at a regional scale is presented for high latitudes of Europe. Our absolutely dated temperature reconstruction seeks to characterise the summer temperatures since AD 750. The warmest and coolest reconstructed 250-year periods occurred at AD 931–1180 and AD 1601–1850, respectively. These periods share significant temporal overlap with the general hemispheric climate variability due to the Medieval Warm Period (MWP) and the Little Ice Age (LIA). Further, we detect a multi-decadal (ca. 50- to 60-year) rhythm, attributable to instability of the North Atlantic Deep Water, in the regional climate during the MWP but not during the LIA. Intensified formation of the North Atlantic Deep Water further appeared coincident to the initiation and continuation of MWP, the mid-LIA transient warmth occurring during the period AD 1391–1440, and to recent warming. Our results support the view that the internal climate variability (i.e. thermohaline circulation) could have played a role in the earlier start of the MWP in several proxy reconstructions compared to the externally forced model simulations. Copyright © 2009 John Wiley & Sons, Ltd.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: Scandinavia
#	Country: Finnish Lapland
#	Northmost Latitude: 69
# 	Southmost Latitude: 69
# 	Eastmost Longitute: 25
# 	Westmost Longitute: 25
# 	Elevation: 
#------------------
# Data Collection  
#	Core Name: 
#	First Year: 0
#	Last Year: 2005
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>tree-ring>width>reconstruction
#----------------
# Variables 
#	age_AD	Age (years AD)
#	ts	Surface temperature (degrees C)
# 
age_AD	ts
1871	11.8745
1870	12.9207
1869	12.8042
1868	11.8325
1867	11.8149
1866	12.3352
1865	13.5795
1864	13.3358
1863	12.0517
1862	12.0692
1861	13.2035
1860	12.8315
1859	12.6232
1858	13.2213
1857	12.3391
1856	12.6292
1855	13.6713
1854	14.2637
1853	12.8583
1852	13.6048
1851	13.1981
1850	12.5418
1849	12.8041
1848	12.202
1847	12.4477
1846	12.3444
1845	13.2728
1844	12.3291
1843	11.9666
1842	10.9145
1841	11.9964
1840	12.9713
1839	11.6524
1838	12.3731
1837	10.4159
1836	13.0013
1835	12.8896
1834	13.2664
1833	12.7577
1832	13.5986
1831	14.2079
1830	13.593
1829	13.9371
1828	12.1589
1827	14.4189
1826	14.8757
1825	10.8778
1824	12.6773
1823	13.6738
1822	11.3945
1821	11.089
1820	11.7191
1819	13.0519
1818	12.9288
1817	11.8221
1816	11.7419
1815	11.8305
1814	12.0356
1813	11.4701
1812	11.5864
1811	12.2052
1810	12.6356
1809	13.2835
1808	13.1578
1807	12.2027
1806	10.4002
1805	13.6848
1804	13.3448
1803	11.9423
1802	12.8441
1801	12.3039
1800	12.5242
1799	13.8831
1798	12.2918
1797	12.2658
1796	11.9806
1795	11.6094
1794	11.4964
1793	11.7438
1792	12.5869
1791	11.7045
1790	11.3865
1789	12.9562
1788	12.7165
1787	11.8523
1786	11.8192
1785	13.3977
1784	12.0975
1783	11.8123
1782	12.1716
1781	12.0999
1780	13.2721
1779	12.0268
1778	12.5267
1777	13.055
1776	11.9376
1775	12.3642
1774	12.9308
1773	11.9545
1772	12.3488
1771	12.251
1770	11.8384
1769	11.4879
1768	12.9429
1767	12.3579
1766	13.3641
1765	13.6645
1764	12.1591
1763	13.0919
1762	13.8067
1761	13.7092
1760	14.0443
1759	13.0264
1758	12.3305
1757	13.4166
1756	13.6025
1755	13.6842
1754	13.2037
1753	12.4799
1752	13.0586
1751	12.5548
1750	13.0968
1749	12.7725
1748	12.3994
1747	12.0158
1746	13.7096
1745	12.5764
1744	13.1044
1743	12.7749
1742	13.0194
1741	11.8367
1740	12.6275
1739	14.8556
1738	14.1226
1737	11.7983
1736	13.64
1735	12.2974
1734	10.8459
1733	13.7491
1732	13.7907
1731	12.9413
1730	14.3536
1729	13.7011
1728	11.6391
1727	13.5862
1726	13.2304
1725	13.5092
1724	12.4598
1723	11.9275
1722	12.5801
1721	12.6213
1720	12.0561
1719	11.7284
1718	13.6923
1717	13.1769
1716	12.7837
1715	13.906
1714	12.995
1713	12.5403
1712	13.3317
1711	13.9012
1710	12.9794
1709	10.0955
1708	13.0156
1707	15.9611
1706	13.5324
1705	11.8323
1704	13.8661
1703	13.9008
1702	12.8786
1701	12.4876
1700	13.3549
1699	12.4992
1698	12.4208
1697	12.0225
1696	11.1302
1695	12.098
1694	15.384
1693	14.7471
1692	13.6616
1691	12.9672
1690	13.1422
1689	14.263
1688	12.3479
1687	12.7061
1686	13.161
1685	13.1034
1684	12.8742
1683	12.4008
1682	12.9379
1681	11.9993
1680	10.5528
1679	12.895
1678	12.3779
1677	12.2252
1676	12.2288
1675	11.2458
1674	12.6992
1673	13.0905
1672	11.8173
1671	13.4885
1670	11.9328
1669	12.0764
1668	13.5052
1667	11.3778
1666	12.2763
1665	14.74
1664	13.6856
1663	11.8641
1662	13.1563
1661	12.9785
1660	14.3597
1659	11.8104
1658	13.1778
1657	13.6012
1656	13.1219
1655	14.1424
1654	12.4013
1653	12.3955
1652	12.7348
1651	12.7865
1650	11.7655
1649	12.7346
1648	13.5249
1647	12.45
1646	12.2119
1645	11.2855
1644	11.2517
1643	12.9485
1642	11.6197
1641	10.8923
1640	13.6804
1639	12.7763
1638	12.2123
1637	13.2545
1636	12.5904
1635	11.6774
1634	12.2385
1633	11.4726
1632	12.8055
1631	12.3501
1630	11.7416
1629	13.4015
1628	13.0358
1627	12.1068
1626	13.036
1625	12.3671
1624	11.9153
1623	11.9375
1622	12.0099
1621	12.4654
1620	10.8367
1619	11.5174
1618	12.0844
1617	12.7831
1616	12.1874
1615	11.5247
1614	12.4796
1613	13.063
1612	13.3711
1611	13.0643
1610	11.819
1609	11.5929
1608	12.0143
1607	11.0225
1606	12.421
1605	11.2572
1604	11.8821
1603	13.9057
1602	11.9363
1601	9.5811
1600	14.1635
1599	14.9959
1598	13.1655
1597	12.7127
1596	12.2929
1595	13.0454
1594	14.1102
1593	12.4076
1592	13.123
1591	12.7224
1590	12.1265
1589	12.7147
1588	11.3887
1587	11.8093
1586	14.6369
1585	14.177
1584	12.0752
1583	12.8502
1582	13.3908
1581	12.6327
1580	11.8409
1579	13.5751
1578	11.6719
1577	12.5538
1576	13.2241
1575	14.1659
1574	10.6562
1573	12.9809
1572	13.3375
1571	12.0463
1570	13.6155
1569	14.1742
1568	13.3194
1567	12.2736
1566	13.2675
1565	13.6738
1564	13.1895
1563	12.7568
1562	14.3692
1561	12.7308
1560	13.6121
1559	12.8915
1558	13.2902
1557	12.3438
1556	13.4331
1555	14.0987
1554	12.3922
1553	13.1821
1552	12.7004
1551	14.1597
1550	12.995
1549	11.696
1548	13.9396
1547	14.1927
1546	13.8902
1545	13.244
1544	12.7159
1543	12.4492
1542	13.5939
1541	13.648
1540	13.1742
1539	13.3056
1538	13.2585
1537	13.8087
1536	12.8843
1535	13.1747
1534	13.2409
1533	13.9319
1532	13.4595
1531	12.2931
1530	12.5858
1529	11.6365
1528	12.5924
1527	12.0731
1526	14.1919
1525	12.687
1524	11.5928
1523	14.5422
1522	13.1975
1521	12.8656
1520	13.879
1519	13.7192
1518	13.4715
1517	13.7263
1516	11.6533
1515	14.6706
1514	11.9229
1513	13.0438
1512	14.9819
1511	13.5982
1510	11.9772
1509	12.9253
1508	13.6664
1507	14.0597
1506	13.0524
1505	13.3679
1504	13.4198
1503	11.4574
1502	12.7422
1501	13.6716
1500	13.6303
1499	12.6099
1498	13.1271
1497	13.2273
1496	12.8036
1495	11.4086
1494	14.447
1493	14.2412
1492	13.2946
1491	13.3141
1490	12.7047
1489	13.3857
1488	12.9785
1487	11.6595
1486	12.4457
1485	13.7858
1484	11.7194
1483	11.8125
1482	12.1175
1481	13.0934
1480	13.9317
1479	13.3712
1478	11.4797
1477	11.9883
1476	13.135
1475	12.4669
1474	12.8608
1473	11.2496
1472	11.5569
1471	13.6812
1470	13.8105
1469	12.3429
1468	12.8426
1467	12.9949
1466	11.9331
1465	11.7806
1464	12.341
1463	11.698
1462	12.7066
1461	12.2205
1460	11.2462
1459	11.8803
1458	12.7862
1457	11.5006
1456	11.5615
1455	13.7734
1454	11.2753
1453	11.4658
1452	14.0211
1451	13.7163
1450	14.626
1449	12.8138
1448	12.7881
1447	13.3156
1446	13.1903
1445	13.5652
1444	12.0909
1443	12.7873
1442	14.0976
1441	12.4955
1440	12.72
1439	13.2388
1438	13.5906
1437	12.624
1436	13.5144
1435	14.781
1434	16.1822
1433	15.7918
1432	13.7695
1431	13.2621
1430	13.0664
1429	13.4063
1428	13.8371
1427	12.6531
1426	12.8065
1425	14.6122
1424	14.2724
1423	11.1964
1422	12.506
1421	12.9265
1420	13.9861
1419	14.6262
1418	13.2079
1417	13.8557
1416	12.0625
1415	12.54
1414	13.8849
1413	13.4388
1412	11.9571
1411	14.6601
1410	13.5719
1409	15.5178
1408	14.5257
1407	12.6348
1406	14.1739
1405	16.8245
1404	14.0437
1403	12.9684
1402	12.4036
1401	11.6265
1400	11.8144
1399	13.1785
1398	11.8361
1397	12.1463
1396	13.2406
1395	11.9442
1394	11.8371
1393	12.3622
1392	12.6287
1391	13.3115
1390	12.4249
1389	11.2487
1388	11.9826
1387	13.4613
1386	13.2548
1385	12.7254
1384	13.4663
1383	14.0122
1382	11.8258
1381	12.5396
1380	13.1867
1379	13.7758
1378	13.7031
1377	13.329
1376	12.4703
1375	13.2511
1374	14.3767
1373	13.0819
1372	12.9887
1371	12.8526
1370	12.0073
1369	11.9371
1368	12.835
1367	13.1603
1366	13.2633
1365	12.8971
1364	11.0694
1363	11.6722
1362	11.9814
1361	12.4228
1360	13.4596
1359	12.9866
1358	12.0104
1357	12.6361
1356	14.3719
1355	12.9498
1354	13.0703
1353	12.4615
1352	12.7492
1351	12.5139
1350	11.6029
1349	11.4467
1348	10.8861
1347	13.3127
1346	12.4921
1345	12.3516
1344	12.668
1343	13.7775
1342	12.0846
1341	13.3169
1340	12.9255
1339	14.0174
1338	11.1235
1337	13.3528
1336	13.3827
1335	12.9154
1334	13.5458
1333	11.6861
1332	12.344
1331	13.8777
1330	11.167
1329	12.5462
1328	12.924
1327	13.3147
1326	11.8281
1325	12.0439
1324	12.6403
1323	13.3091
1322	13.1646
1321	13.6071
1320	11.1402
1319	12.9103
1318	13.2379
1317	11.4201
1316	12.7758
1315	13.5495
1314	11.4455
1313	10.7504
1312	12.781
1311	13.9466
1310	12.9548
1309	13.0371
1308	13.1823
1307	14.1236
1306	15.02
1305	13.4983
1304	13.3179
1303	12.5345
1302	13.104
1301	13.693
1300	11.3755
1299	12.8309
1298	14.6634
1297	11.7703
1296	12.2099
1295	13.861
1294	13.3555
1293	14.2108
1292	13.9507
1291	13.27
1290	12.5402
1289	12.677
1288	14.0636
1287	14.3827
1286	15.0521
1285	13.4939
1284	12.7285
1283	14.6607
1282	12.0516
1281	12.68
1280	13.1021
1279	12.5465
1278	14.0166
1277	13.436
1276	14.1612
1275	14.1094
1274	12.2197
1273	14.0586
1272	16.0478
1271	13.2968
1270	13.8829
1269	14.6335
1268	13.3148
1267	13.0556
1266	13.2615
1265	12.8834
1264	12.427
1263	11.2023
1262	12.6835
1261	12.9901
1260	13.0638
1259	12.9268
1258	14.5259
1257	14.0443
1256	12.6997
1255	13.4107
1254	14.0577
1253	14.2111
1252	11.3007
1251	13.341
1250	13.7025
1249	12.8471
1248	12.3394
1247	11.9635
1246	13.7371
1245	13.9814
1244	13.2101
1243	12.327
1242	12.5474
1241	12.8783
1240	11.9193
1239	11.6511
1238	12.2075
1237	13.2105
1236	12.0431
1235	13.459
1234	12.5216
1233	11.9442
1232	11.91
1231	12.0468
1230	12.8398
1229	10.7367
1228	14.0459
1227	15.2803
1226	11.9544
1225	13.9978
1224	14.5489
1223	14.0429
1222	12.4595
1221	14.8663
1220	13.0577
1219	11.9989
1218	13.5641
1217	14.7183
1216	12.4134
1215	11.107
1214	13.5339
1213	12.6144
1212	14.315
1211	12.5001
1210	10.4788
1209	12.5424
1208	12.6063
1207	11.7746
1206	12.4082
1205	12.3908
1204	13.3125
1203	12.407
1202	12.4085
1201	11.1222
1200	13.0612
1199	14.1612
1198	10.8949
1197	12.2517
1196	13.83
1195	11.8192
1194	12.8763
1193	12.8627
1192	13.0934
1191	13.2663
1190	11.7599
1189	12.6916
1188	14.6981
1187	13.5133
1186	12.3383
1185	12.8239
1184	13.8232
1183	13.655
1182	11.0631
1181	13.8906
1180	15.4396
1179	12.8782
1178	13.3956
1177	13.3168
1176	14.0629
1175	14.4759
1174	12.6208
1173	14.6742
1172	12.2522
1171	13.6341
1170	14.3342
1169	15.0678
1168	15.4977
1167	13.9634
1166	13.9488
1165	15.3781
1164	14.6944
1163	14.815
1162	14.878
1161	14.3914
1160	14.2265
1159	13.2448
1158	14.0789
1157	14.5503
1156	13.7216
1155	13.859
1154	12.0603
1153	13.9747
1152	14.9158
1151	14.2799
1150	12.8459
1149	13.83
1148	14.6558
1147	14.1978
1146	12.9224
1145	13.1629
1144	12.5781
1143	13.3608
1142	12.4432
1141	13.0988
1140	13.0213
1139	12.2316
1138	11.0822
1137	12.7362
1136	14.172
1135	13.9761
1134	13.3388
1133	11.5506
1132	11.9349
1131	12.1708
1130	11.9915
1129	12.927
1128	11.0921
1127	12.8685
1126	15.8541
1125	10.9835
1124	12.9687
1123	15.6417
1122	13.262
1121	12.6514
1120	12.4068
1119	11.5962
1118	13.5865
1117	12.4527
1116	12.5466
1115	12.7583
1114	13.2911
1113	13.7685
1112	12.5979
1111	15.1776
1110	11.4786
1109	14.7683
1108	14.3189
1107	13.4935
1106	15.1448
1105	14.9966
1104	13.765
1103	12.1039
1102	13.9699
1101	13.0722
1100	12.6465
1099	11.3079
1098	13.7572
1097	15.6359
1096	12.0545
1095	12.5252
1094	14.0568
1093	15.1941
1092	17.862
1091	15.8912
1090	11.9115
1089	17.5594
1088	15.4776
1087	13.4607
1086	14.6337
1085	14.4938
1084	12.95
1083	14.0011
1082	13.7457
1081	12.2992
1080	12.0833
1079	13.6089
1078	13.035
1077	12.299
1076	13.7109
1075	12.8828
1074	11.9224
1073	12.2402
1072	12.0223
1071	13.7393
1070	14.007
1069	12.8963
1068	12.873
1067	12.5388
1066	14.1119
1065	13.4552
1064	11.5275
1063	12.813
1062	15.7443
1061	13.7599
1060	11.2365
1059	13.3859
1058	13.8276
1057	12.7216
1056	12.4556
1055	12.846
1054	11.4415
1053	11.3889
1052	13.4804
1051	12.493
1050	12.4385
1049	12.1421
1048	11.8211
1047	12.7392
1046	11.7653
1045	12.0098
1044	12.8492
1043	13.3678
1042	12.6065
1041	12.5172
1040	13.5297
1039	13.3378
1038	11.25
1037	14.0822
1036	14.5105
1035	12.8919
1034	12.9417
1033	12.5661
1032	11.9084
1031	14.8047
1030	15.2467
1029	12.7659
1028	11.65
1027	14.5592
1026	13.3119
1025	14.9107
1024	13.9883
1023	12.1629
1022	14.3255
1021	13.3975
1020	13.3615
1019	13.9763
1018	13.0177
1017	12.5594
1016	13.5802
1015	11.9683
1014	12.7417
1013	12.9499
1012	13.4111
1011	13.7248
1010	12.3218
1009	12.1322
1008	13.0685
1007	13.6652
1006	14.6733
1005	15.3438
1004	13.4082
1003	13.0945
1002	14.7035
1001	14.3885
1000	14.4045
999	13.8527
998	15.0115
997	15.3308
996	12.7261
995	13.136
994	15.4229
993	12.3149
992	13.3803
991	13.3929
990	14.0695
989	13.3211
988	11.6319
987	13.7275
986	13.5871
985	11.9316
984	11.7814
983	12.2856
982	14.2295
981	13.3954
980	12.7214
979	11.8791
978	13.0763
977	13.1571
976	12.157
975	14.5398
974	13.5427
973	13.2328
972	14.5635
971	13.4185
970	13.4731
969	12.8639
968	11.6857
967	12.297
966	12.8939
965	12.1855
964	12.4822
963	13.2577
962	11.9745
961	11.058
960	12.1633
959	12.9079
958	12.3924
957	12.779
956	11.1847
955	12.4525
954	13.3167
953	12.8907
952	12.063
951	13.7849
950	12.3421
949	13.5319
948	13.3407
947	12.9312
946	14.0185
945	13.9502
944	11.4583
943	12.2106
942	13.9157
941	12.2882
940	13.5453
939	14.2106
938	12.9538
937	13.8674
936	14.7336
935	15.6087
934	14.8225
933	14.0654
932	13.8641
931	13.5826
930	12.4691
929	13.3515
928	14.3611
927	12.3581
926	11.871
925	12.9588
924	13.458
923	13.5313
922	13.2859
921	12.7414
920	13.8368
919	13.0793
918	11.9945
917	12.2662
916	13.7388
915	13.6162
914	12.3064
913	12.7076
912	14.1454
911	12.3474
910	12.0336
909	12.5119
908	13.2866
907	13.3793
906	12.5083
905	12.4892
904	13.3229
903	12.9794
902	12.2582
901	12.6389
900	12.0024
899	14.4541
898	12.6121
897	14.5667
896	13.6586
895	14.4756
894	14.5284
893	12.56
892	13.7866
891	15.7609
890	13.109
889	12.3018
888	13.6639
887	14.95
886	12.2686
885	14.1862
884	13.6582
883	13.568
882	11.9258
881	12.7762
880	14.5306
879	15.1342
878	12.1349
877	13.6339
876	14.6355
875	13.5189
874	14.0794
873	12.8791
872	13.9013
871	14.6403
870	12.3074
869	12.4225
868	12.1743
867	12.5647
866	12.7351
865	11.0458
864	12.0964
863	12.7403
862	11.7367
861	12.2129
860	13.1855
859	11.8861
858	12.1101
857	14.064
856	13.1964
855	13.7005
854	13.2219
853	13.1744
852	12.16
851	12.2849
850	14.5769
849	14.5573
848	11.374
847	12.4364
846	13.8701
845	13.9411
844	13.3112
843	14.5592
842	13.9897
841	13.0657
840	13.4939
839	13.8448
838	11.7194
837	13.1671
836	13.3973
835	11.1795
834	13.8254
833	13.5425
832	12.4275
831	13.9027
830	13.3465
829	12.8324
828	13.0552
827	13.7596
826	13.0775
825	13.0921
824	10.5203
823	12.5076
822	12.3683
821	12.5046
820	12.9564
819	11.5519
818	11.9993
817	12.5244
816	12.7962
815	11.5685
814	13.1324
813	13.4057
812	11.6367
811	12.7893
810	12.8971
809	12.547
808	13.0917
807	12.1804
806	11.8052
805	11.9856
804	10.5075
803	11.6462
802	12.7627
801	12.692
800	11.2787
799	13.4056
798	12.8057
797	12.1914
796	11.6726
795	13.9571
794	13.0451
793	12.4175
792	14.0128
791	13.1883
790	13.8786
789	12.9096
788	12.5871
787	13.0159
786	13.9845
785	13.7203
784	13.8961
783	12.5777
782	12.23
781	12.676
780	13.6181
779	13.7122
778	13.7545
777	12.8284
776	12.1556
775	13.7194
774	11.7135
773	11.9005
772	13.6393
771	14.1718
770	12.0593
769	12.2056
768	14.9036
767	12.1971
766	11.8944
765	13.47
764	14.0853
763	13.4098
762	11.6504
761	14.4762
760	12.9057
759	13.2451
758	13.2521
757	13.6796
756	12.4866
755	13.394
754	15.2084
753	13.4471
752	11.9496
751	13.5637
750	12.9174
749	12.2321
748	13.6567
747	14.6596
746	12.8529
745	10.8344
744	11.1248
743	14.0838
742	13.627
741	12.1405
740	13.8593
739	13.3009
738	12.9572
737	14.1014
736	11.0428
735	13.5227
734	13.5788
733	12.9787
732	11.721
731	12.2004
730	13.4188
729	13.6872
728	13.0904
727	12.5413
726	13.4049
725	15.4312
724	13.6175
723	13.4148
722	12.6696
721	12.4486
720	12.1223
719	11.851
718	12.7537
717	12.7193
716	12.8453
715	12.5471
714	13.3274
713	12.8653
712	10.9135
711	12.8765
710	12.0185
709	13.0824
708	14.3156
707	13.2154
706	11.8257
705	12.3934
704	12.7125
703	13.2061
702	13.6367
701	13.3908
700	12.4911
699	13.3685
698	12.3593
697	13.0683
696	12.5806
695	12.7926
694	14.0508
693	12.1704
692	11.7006
691	14.0301
690	13.2669
689	13.6443
688	11.949
687	12.4361
686	14.2031
685	10.3715
684	13.222
683	13.1579
682	12.973
681	11.901
680	11.9858
679	12.5599
678	13.1159
677	11.4879
676	13.2166
675	13.6545
674	12.996
673	12.8553
672	12.6306
671	14.1984
670	13.0966
669	12.2212
668	12.7934
667	15.0817
666	14.5336
665	12.231
664	12.3106
663	12.5083
662	11.731
661	13.5787
660	12.1436
659	13.2086
658	13.1283
657	14.3442
656	14.3931
655	12.2673
654	14.7779
653	12.2435
652	13.9629
651	12.3853
650	13.2699
649	14.9028
648	12.5119
647	14.0987
646	14.0564
645	15.6959
644	13.8002
643	13.462
642	13.5769
641	14.5652
640	12.1122
639	14.6872
638	14.5252
637	13.9567
636	14.9356
635	14.4423
634	13.3595
633	13.7455
632	13.4102
631	13.0997
630	13.1921
629	12.2777
628	11.3043
627	13.8706
626	14.2129
625	15.5638
624	13.6384
623	14.3884
622	12.2077
621	11.1977
620	13.0187
619	14.2161
618	10.4382
617	12.8709
616	14.9992
615	12.148
614	12.4813
613	14.2369
612	12.8819
611	12.5491
610	12.9745
609	14.1039
608	12.1776
607	13.1359
606	13.8738
605	14.4215
604	16.2881
603	13.0991
602	13.705
601	14.3335
600	14.8193
599	13.032
598	12.0454
597	13.5449
596	14.093
595	13.4159
594	13.8194
593	12.921
592	13.053
591	14.4564
590	13.1497
589	12.979
588	14.6032
587	14.7481
586	14.8708
585	12.7486
584	12.4953
583	12.0007
582	12.549
581	13.163
580	13.2573
579	13.0348
578	12.1584
577	12.9198
576	11.7559
575	10.1876
574	12.9341
573	15.7533
572	13.8551
571	12.9729
570	12.1621
569	12.2056
568	13.5533
567	13.3174
566	11.629
565	11.4265
564	12.3295
563	13.3392
562	13.9271
561	13.0059
560	12.8956
559	14.2676
558	12.0359
557	13.1203
556	13.1706
555	11.3022
554	12.3233
553	13.0822
552	11.3106
551	11.5891
550	11.6906
549	12.0763
548	12.4065
547	11.8978
546	11.7854
545	11.6785
544	11.6659
543	11.4688
542	9.9261
541	12.9142
540	13.1957
539	11.1659
538	14.3028
537	12.9446
536	9.6164
535	18.4156
534	15.7153
533	13.021
532	12.9583
531	13.6664
530	13.9141
529	13.6793
528	12.4595
527	11.9006
526	12.0974
525	12.4245
524	12.8315
523	11.8542
522	10.9841
521	14.4762
520	13.4117
519	13.6962
518	13.8428
517	14.6353
516	13.6664
515	13.1648
514	14.0513
513	14.3249
512	13.3661
511	13.051
510	14.7279
509	13.1116
508	12.9724
507	12.3691
506	12.9747
505	11.6827
504	15.1641
503	15.987
502	13.917
501	15.4255
500	13.388
499	13.6247
498	13.4054
497	13.8159
496	15.4158
495	12.7271
494	14.1765
493	13.8988
492	12.4321
491	13.9462
490	13.3949
489	13.5593
488	13.1682
487	13.7405
486	13.4982
485	13.6205
484	12.2611
483	14.2312
482	14.4453
481	12.5442
480	11.9658
479	11.9371
478	12.28
477	13.0395
476	13.521
475	12.1813
474	12.1624
473	13.3231
472	12.3125
471	11.6884
470	12.0505
469	11.9447
468	12.0448
467	12.4225
466	11.9162
465	11.8375
464	11.6738
463	11.8536
462	12.711
461	13.7901
460	11.3048
459	12.1007
458	14.621
457	13.5969
456	12.3922
455	13.4045
454	12.6725
453	14.722
452	13.6546
451	15.0766
450	13.5655
449	14.2346
448	13.5399
447	12.5082
446	13.0596
445	13.5257
444	12.705
443	12.946
442	14.3603
441	12.5198
440	12.5348
439	11.7535
438	13.8209
437	13.2903
436	12.2148
435	15.7183
434	14.1133
