# Archive/proxy
#	Tree ring
#--------------------
# Contribution Date
#	Date: 2012-07-25 19:40:10
#--------------------
# Title
#	Study Name:  Finnish Lapland Tree ring Ring width
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Helama, Samuli and Timonen, Mauri and Holopainen, Jari and Ogurtsov, Maxim G and Mielikäinen, Kari and Eronen, Matti and Lindholm, Markus and Meriläinen, Jouko
#	Journal Name: Journal of Quaternary Science
#	Published Title: Summer temperature variations in Lapland during the Medieval Warm Period and the Little Ice Age relative to natural instability of thermohaline circulation on multi-decadal and multi-centennial scales
#	Published Date: 2009
#	DOI: 10.1002/jqs.1291
#	Abstract: New tree ring-based analysis for climate variability at a regional scale is presented for high latitudes of Europe. Our absolutely dated temperature reconstruction seeks to characterise the summer temperatures since AD 750. The warmest and coolest reconstructed 250-year periods occurred at AD 931–1180 and AD 1601–1850, respectively. These periods share significant temporal overlap with the general hemispheric climate variability due to the Medieval Warm Period (MWP) and the Little Ice Age (LIA). Further, we detect a multi-decadal (ca. 50- to 60-year) rhythm, attributable to instability of the North Atlantic Deep Water, in the regional climate during the MWP but not during the LIA. Intensified formation of the North Atlantic Deep Water further appeared coincident to the initiation and continuation of MWP, the mid-LIA transient warmth occurring during the period AD 1391–1440, and to recent warming. Our results support the view that the internal climate variability (i.e. thermohaline circulation) could have played a role in the earlier start of the MWP in several proxy reconstructions compared to the externally forced model simulations. Copyright © 2009 John Wiley & Sons, Ltd.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: Scandinavia
#	Country: Finnish Lapland
#	Northmost Latitude: 69
# 	Southmost Latitude: 69
# 	Eastmost Longitute: 25
# 	Westmost Longitute: 25
# 	Elevation: 
#------------------
# Data Collection  
#	Core Name: 
#	First Year: 0
#	Last Year: 2005
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>tree-ring>width>reconstruction
#----------------
# Variables 
#	age_AD	Age (years AD)
#	ts	Surface temperature (degrees C)
# 
age_AD	ts
2005	12.4437
2004	14.5821
2003	14.9788
2002	12.622
2001	13.185
2000	14.9708
1999	13.2751
1998	13.1977
1997	14.2667
1996	12.8524
1995	12.9758
1994	14.2735
1993	14.8651
1992	13.0191
1991	12.6813
1990	13.3162
1989	13.9967
1988	13.2718
1987	11.9122
1986	12.7853
1985	13.9345
1984	12.4749
1983	13.5399
1982	13.2181
1981	12.181
1980	13.137
1979	14.6598
1978	12.6231
1977	13.2979
1976	14.1301
1975	13.0575
1974	11.7707
1973	14.3583
1972	13.6205
1971	12.5432
1970	13.54
1969	12.3289
1968	12.4714
1967	13.7737
1966	12.1562
1965	12.2521
1964	14.8416
1963	11.4495
1962	12.1329
1961	12.5996
1960	15.2724
1959	13.4815
1958	12.4419
1957	14.2204
1956	12.9125
1955	12.6133
1954	14.0886
1953	14.0227
1952	11.9219
1951	12.1255
1950	14.2274
1949	13.6563
1948	13.0854
1947	12.5012
1946	12.6198
1945	14.4749
1944	14.0048
1943	13.2525
1942	14.1412
1941	15.6472
1940	12.553
1939	13.2465
1938	14.6004
1937	17.3662
1936	12.6658
1935	13.7853
1934	17.376
1933	14.2047
1932	12.8386
1931	14.6827
1930	16.7058
1929	11.1147
1928	12.4152
1927	15.9599
1926	13.6252
1925	15.8282
1924	14.6587
1923	15.1205
1922	15.7058
1921	14.4918
1920	13.8868
1919	13.0064
1918	13.6298
1917	13.0294
1916	13.6023
1915	13.8555
1914	13.4268
1913	12.6448
1912	13.3104
1911	11.2338
1910	10.8064
1909	12.2992
1908	13.211
1907	11.8117
1906	12.0619
1905	12.2147
1904	11.7472
1903	10.6862
1902	12.1407
1901	14.0757
1900	11.4253
1899	13.1271
1898	14.5308
1897	11.8437
1896	12.3654
1895	12.8981
1894	12.3099
1893	11.0664
1892	11.3709
1891	13.2411
1890	13.898
1889	12.8581
1888	11.1612
1887	12.7761
1886	13.8622
1885	12.8483
1884	12.2279
1883	12.8774
1882	12.7337
1881	11.2165
1880	11.5407
1879	11.9941
1878	12.6795
1877	13.7255
1876	13.4169
1875	11.5965
1874	11.6337
1873	13.3667
1872	12.1965
