# Archive/proxy
#	Marine sediment
#--------------------
# Contribution Date
#	Date: 2012-05-28 17:28:42
#--------------------
# Title
#	Study Name: P1003 Norweigian Sea Marine sediment d18O
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Sejrup, H.P. and Haflidason, H. and Andrews, J.T.
#	Journal Name: Quaternary Science Reviews
#	Published Title: A Holocene North Atlantic SST record and regional climate variability
#	Published Date: 2011
#	DOI: 10.1016/j.quascirev.2011.07.025
#	Abstract: By combined use of 210Pb dates, identification of Icelandic tephras of known age, and wiggle matching of 14C radiocarbon dates, exceptional accurate chronologies have been established for two cores (P1003MC and SC) raised from the same location on the Norwegian continental margin and that span the last 8 ka. They are located directly under the core of the eastern branch of Atlantic water entering the Nordic Seas. Comparing oxygen isotope measurements on the planktonic foraminiferal species Neogloboquadrina pachyderma (dex) with nearby instrumental time series, suggest that this parameter at this site primarily reflects summer temperature conditions of near surface (c. 50 m) waters. We argue that this proxy, to some degree, reflects North Atlantic sea surface temperature variability through the Holocene. A detailed correlations of the oxygen isotope record with solar proxies for the last 1 ka was not apparent for the whole 8 ka record. However, a statistically significant (\textgreater95%) spectral peak at c. 83 yr may represent the so-called Gleissberg solar cycle. A relative high correlation (r = 0.53) between 14C productivity and the ocean near surface temperature proxy was obtained on 800–1500 year band filtered data, the latter lagging 180 year after the solar proxy. Multi-channel Singular-Spectrum Analyses carried out on the P1003 time series, the oxygen isotope record from the Renland Ice Core from Eastern Greenland, and on the Torneträsk tree-ring record from central Scandinavia, reveals a significant common frequency at 280 year. The expression of this frequency in the different records shows variability in phase relationship and strength over time and does not appear to have any similarity to any known modes of climate variability in the area. In order to predict future climate change in the region it is of utmost importance to develop a better understanding of the mechanisms behind multi-decadal and multi-centennial scale climate variability.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, decadal resolution
#-------------------- 
# Site Name
#	Region: North Atlantic
#	Country: Norweigian Sea
#	Northmost Latitude: 63.76
# 	Southmost Latitude: 63.76
# 	Eastmost Longitute: 5.26
# 	Westmost Longitute: 5.26
# 	Elevation: 
#------------------
# Data Collection  
#	Core Name: P1003
#	First Year: -5930.8
#	Last Year: 1998.2
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>paleocean>oxygen isotopes>delta O18 PDB (Neogloboquadrina pachyderma) 
#----------------
# Variables 
#	age_AD	Age (years AD)
#	d18On.pachy	delta O18 PDB (Neogloboquadrina pachyderma)
# 
age_AD	d18On.pachy
1998.2	1.202
1995.9	1.272
1993.9	1.262
1991.8	1.162
1989.8	1.232
1987.6	1.222
1985.5	0.952
1983.2	1.052
1980.9	1.131
1978.5	1.161
1976	1.271
1973.5	1.131
1970.5	1.101
1967.8	1.271
1965	1.211
1962.4	1.221
1959.1	1.08
1956	1.05
1953.1	1.27
1949.5	1.08
1946.1	1.03
1942.7	1.13
1939.5	1.21
1935.5	1.349
1931.8	1.269
1928	1.249
1920.2	1.269
1916.1	1.269
1912	1.098
1907.8	1.238
1903.5	1.198
1899.1	1.428
1894.6	1.238
1890	1.307
1885.4	1.247
1880.6	1.157
1875.7	1.247
1870.8	1.106
1865.7	1.206
1860.5	1.376
1855.1	1.126
1849.7	1.226
1844.1	1.195
1838.3	1.125
1832.4	1.275
1826.2	1.195
1819.9	1.174
1813.4	1.304
1806.6	1.224
1799.6	1.234
1792.4	1.254
1784.8	1.174
1776.9	1.334
1768.7	1.054
1760.2	1.284
1751.2	1.284
1741.8	0.974
1732	1.174
1721.7	1.314
1710.9	1.334
1699.5	1.433
1687.5	1.343
1674.9	1.273
1670.9	1.293
1665.4	1.333
1659.9	1.443
1648.8	1.243
1643.4	1.243
1637.9	1.283
1632.4	1.243
1626.9	1.193
1616	1.123
1610.5	1.133
1605	1.303
1599.6	1.203
1588.7	1.303
1577.8	1.272
1567	1.242
1556.2	1.382
1545.4	1.322
1534.6	1.242
1523.8	1.342
1513.1	1.282
1502.4	1.242
1491.7	1.312
1481	1.352
1459.7	1.361
1449.1	1.231
1438.5	1.261
1427.9	1.271
1417.3	1.211
1406.8	1.341
1396.3	0.981
1385.8	1.251
1375.3	1.211
1364.8	1.291
1354.4	1.331
1344	1.191
1333.6	1.17
1323.2	1.19
1312.8	1.14
1302.5	1.33
1292.1	1.24
1281.8	1.22
1271.6	1.18
1261.3	1.1
1251	1.31
1240.8	1.09
1230.6	1.22
1220.4	1.17
1210.2	1.139
1200.1	1.069
1189.9	0.949
1179.8	1.159
1169.7	0.999
1159.6	1.129
1149.5	1.179
1139.5	1.129
1129.4	1.159
1119.4	1.129
1109.4	1.209
1099.4	1.049
1089.5	1.048
1079.5	1.208
1069.6	1.108
1059.7	1.108
1049.8	1.408
1039.9	1.208
1030	1.398
1020.2	1.068
1010.3	1.228
1000.5	1.158
990.7	1.138
980.9	1.198
971.2	1.077
966.3	1.027
951.7	1.437
941.9	1.247
932.2	1.227
922.5	1.157
912.9	1.147
903.2	1.117
893.6	1.207
883.9	1.337
874.3	1.087
864.7	1.157
855.1	1.256
