# Archive/proxy
#	Ice core
#--------------------
# Contribution Date
#	Date: 2012-03-13 18:11:21
#--------------------
# Title
#	Study Name: Austfonna Svalbard Ice core d18O
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Isaksson, Elisabeth and Divine, Dmitry and Kohler, Jack and Martma, Tonu and Pohjola, Veijo and Motoyama, Hideaki and Watanabe, Okitsugu
#	Journal Name: Geografiska Annaler, Series A: Physical Geography
#	Published Title: Climate oscillations as recorded in Svalbard ice core omega18O records between AD 1200 and 1997
#	Published Date: 2005
#	DOI: 10.1111/j.0435-3676.2005.00253.x
#	Abstract: We apply two different time series analytical tools to d18O records from two Svalbard ice cores. One ice core is from Lomonosovfonna at 1250 ma.s.l. and the other from Austfonna at 750 m a.s.l. These cores are estimated to cover at least the past 800 years and have been dated using a combination of known reference horizons and glacial modelling. Wavelet analysis reveals low frequency oscillations on the 60–120–year scale on the lower elevation site Austfonna while the higher altitude site on Lomonosovfonna does not reveal such variability throughout the record. The second method, Significant Zero Crossing of Derivates (SiZer) does not resolve the low-frequency periodicity seen in the wavelet analysis. The low-frequency variability resolved by the wavelet analysis is similar to what has been found in various climate records including instrumental temperatures and tree-rings, and has been proposed as the most important oscillation for the observed trends in Arctic air temperatures.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: North Atlantic
#	Country: Svalbard
#	Northmost Latitude: 79.833
# 	Southmost Latitude: 79.833
# 	Eastmost Longitute: 24.0167
# 	Westmost Longitute: 24.0167
# 	Elevation: 750
#------------------
# Data Collection  
#	Core Name: Austfonna
#	First Year: 1400
#	Last Year: 1998
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>ice core>oxygen isotopes>delta 18O per mille 
#----------------
# Variables 
#	age_AD	Age (years AD)
#	d18OiceSMOW	delta18O ice (per mil SMOW)
# 
age_AD	d18OiceSMOW
1998	-15.07
1997	-15.35
1996	-17.28
1995	-16.39
1994	-17.84
1993	-17.68
1992	-17.18
1991	-17
1990	-17.12
1989	-17.07
1988	-16.83
1987	-15.33
1986	-17.09
1985	-17.07
1984	-17.14
1983	-17.66
1982	-16.93
1981	-17.7
1980	-17.33
1979	-16.77
1978	-16.32
1977	-16.04
1976	-17.13
1975	-16.96
1974	-15.89
1973	-16.61
1972	-17.43
1971	-16.82
1970	-17.24
1969	-17.28
1968	-17.58
1967	-17.02
1966	-18.09
1965	-17.23
1964	-17.84
1963	-17.11
1962	-14.62
1961	-15.66
1960	-17.09
1959	-15.72
1958	-15.05
1957	-15.87
1956	-17.14
1955	-16.54
1954	-16.43
1953	-14.85
1952	-15.09
1951	-16.52
1950	-16.37
1949	-15.98
1948	-15.84
1947	-16.99
1946	-17.98
1945	-17.02
1944	-16.76
1943	-17.15
1942	-16.29
1941	-16.2
1940	-16.72
1939	-16.69
1938	-16.49
1937	-17.05
1936	-16.24
1935	-15.29
1934	-15.64
1933	-15.36
1932	-15.97
1931	-15.94
1930	-14.54
1929	-14.96
1928	-15.49
1927	-14.89
1926	-16.1
1925	-16.12
1924	-15.38
1923	-15.55
1922	-16.06
1921	-16.31
1920	-17.27
1919	-17.03
1918	-16.87
1917	-16.56
1916	-16.24
1915	-16.65
1914	-15.98
1913	-16.61
1912	-17.25
1911	-18.99
1910	-17.47
1909	-18.17
1908	-19.32
1907	-19.03
1906	-18.02
1905	-19.86
1904	-19.91
1903	-19.15
1902	-19.16
1901	-18.97
1900	-19.59
1899	-18.27
1898	-17.98
1897	-18.62
1896	-19.67
1895	-18.64
1894	-18.44
1893	-17.01
1892	-16.35
1891	-15.34
1890	-15.68
1889	-18.25
1888	-20.05
1887	-18.75
1886	-17.04
1885	-18.21
1884	-20.06
1883	-15.34
1882	-16.44
1881	-17.22
1880	-16.55
1879	-18.33
1878	-17.39
1877	-18.72
1876	-19.23
1875	-19.32
1874	-18.02
