# Archive/proxy
#	Ice core
#--------------------
# Contribution Date
#	Date: 2012-03-13 18:11:21
#--------------------
# Title
#	Study Name: Austfonna Svalbard Ice core d18O
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Isaksson, Elisabeth and Divine, Dmitry and Kohler, Jack and Martma, Tonu and Pohjola, Veijo and Motoyama, Hideaki and Watanabe, Okitsugu
#	Journal Name: Geografiska Annaler, Series A: Physical Geography
#	Published Title: Climate oscillations as recorded in Svalbard ice core omega18O records between AD 1200 and 1997
#	Published Date: 2005
#	DOI: 10.1111/j.0435-3676.2005.00253.x
#	Abstract: We apply two different time series analytical tools to d18O records from two Svalbard ice cores. One ice core is from Lomonosovfonna at 1250 ma.s.l. and the other from Austfonna at 750 m a.s.l. These cores are estimated to cover at least the past 800 years and have been dated using a combination of known reference horizons and glacial modelling. Wavelet analysis reveals low frequency oscillations on the 60–120–year scale on the lower elevation site Austfonna while the higher altitude site on Lomonosovfonna does not reveal such variability throughout the record. The second method, Significant Zero Crossing of Derivates (SiZer) does not resolve the low-frequency periodicity seen in the wavelet analysis. The low-frequency variability resolved by the wavelet analysis is similar to what has been found in various climate records including instrumental temperatures and tree-rings, and has been proposed as the most important oscillation for the observed trends in Arctic air temperatures.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: North Atlantic
#	Country: Svalbard
#	Northmost Latitude: 79.833
# 	Southmost Latitude: 79.833
# 	Eastmost Longitute: 24.0167
# 	Westmost Longitute: 24.0167
# 	Elevation: 750
#------------------
# Data Collection  
#	Core Name: Austfonna
#	First Year: 1400
#	Last Year: 1998
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>ice core>oxygen isotopes>delta 18O per mille 
#----------------
# Variables 
#	age_AD	Age (years AD)
#	d18OiceSMOW	delta18O ice (per mil SMOW)
# 
age_AD	d18OiceSMOW
1873	-18.94
1872	-18.06
1871	-18.48
1870	-17.07
1869	-17.32
1868	-16.61
1867	-19.16
1866	-19.93
1865	-18.32
1864	-18.8
1863	-17.1
1862	-17.93
1861	-18.91
1860	-19.37
1859	-18.18
1858	-15.65
1857	-19.52
1856	-17.28
1855	-18.76
1854	-19.19
1853	-19.45
1852	-20.22
1851	-21.83
1850	-18.01
1849	-17.18
1848	-17.91
1847	-17.82
1846	-19.11
1845	-19.47
1844	-17.02
1843	-19.03
1842	-18.76
1841	-18.95
1840	-22.73
1839	-19.51
1838	-20.4
1837	-20.77
1836	-21.21
1835	-21.09
1834	-21.22
1833	-19.5
1832	-20.8
1831	-19.8
1830	-19.1
1829	-21.15
1828	-19.37
1827	-20.04
1826	-19.22
1825	-18.31
1824	-18.84
1823	-18.78
1822	-20.25
1821	-18.82
1820	-17.22
1819	-15.75
1818	-18.45
1817	-19.05
1816	-18.74
1815	-20.8
1814	-19.46
1813	-19.06
1812	-17.85
1811	-21.52
1810	-19.96
1809	-20.38
1808	-18.86
1807	-19.73
1806	-21.96
1805	-19.91
1804	-18.89
1803	-19.76
1802	-20.77
1801	-20.72
1800	-19.42
1799	-20.64
1798	-19.03
1797	-19.45
1796	-19.01
1795	-19.45
1794	-20.63
1793	-19.15
1792	-21.75
1791	-20.29
1790	-21.78
1789	-22.24
1788	-21.35
1787	-19.92
1786	-20.02
1785	-19.42
1784	-18.76
1783	-19.91
1782	-20.27
1781	-21.28
1780	-20.3
1779	-17.71
1778	-19.56
1777	-20.32
1776	-21.32
1775	-20.99
1774	-19.26
1773	-19.74
1772	-21.49
1771	-23.62
1770	-20.29
1769	-19.06
1768	-18.35
1767	-17.31
1766	-18.27
1765	-18.56
1764	-19.7
1763	-19.45
1762	-22.08
1761	-19.38
1760	-17.19
1759	-16.88
1758	-17.09
1757	-16.39
1756	-19.73
1755	-19.2
1754	-20.48
1753	-19.48
1752	-20.68
1751	-20.96
1750	-18.02
1749	-21.58
1748	-20.19
1747	-16.73
1746	-15.82
1745	-17.32
1744	-17
1743	-17.08
1742	-17.63
1741	-15.26
1740	-17.87
1739	-16.58
1738	-16.47
1737	-17.52
1736	-18.8
1735	-19.98
1734	-19.98
1733	-19.36
1732	-18.29
1731	-19.37
1730	-18.26
1729	-17.04
1728	-15.28
1727	-17.36
1726	-20.5
1725	-19.67
1724	-17.26
1723	-17.11
1722	-18.9
1721	-19.44
1720	-16.47
1719	-16.25
1718	-18.74
1717	-19.19
1716	-19.48
1715	-19.14
1714	-18.01
1713	-19.45
1712	-19.97
1711	-20.55
1710	-18.93
1709	-17.42
1708	-17.64
1707	-20.47
1706	-21.99
1705	-19.09
1704	-20.19
1703	-17.62
1702	-16.64
1701	-18.23
1700	-16.42
1699	-16.93
1698	-17.08
1697	-18.06
1696	-19.52
1695	-18.97
1694	-18.73
1693	-21.13
1692	-24.21
1691	-18.28
1690	-17.78
1689	-15.21
1688	-18.64
1687	-19.85
1686	-16.74
1685	-18.16
1684	-18
1683	-19.86
1682	-20.44
1681	-19.67
1680	-20.1
1679	-19.86
1678	-21.13
1676	-17.87
1675	-19.71
1674	-18.14
1673	-18.53
1672	-16.81
1671	-17.5
1670	-16.92
1669	-16.35
1668	-18.03
1667	-16.55
1666	-18.02
1665	-16.57
1664	-17.91
1663	-18.05
1662	-18.16
1661	-19.13
1660	-19.19
1659	-19
1658	-18.36
1657	-17.32
1656	-20.2
1655	-19.79
1654	-18.8
1653	-17.83
1652	-19.55
1651	-18.9
1650	-19.63
1649	-18.43
1648	-18.49
1647	-18.75
1646	-20.06
1645	-19.38
1644	-17.87
1643	-18.06
1642	-16.41
1641	-18.85
1640	-18.96
1639	-18.56
1638	-18.61
1637	-20.47
1635	-19.15
1634	-18.33
1633	-20.31
1632	-19.76
1631	-21.05
1630	-20.01
1629	-18.93
1628	-20.04
1627	-19.25
1626	-21.04
1625	-18.7
1624	-17.93
1622	-20.01
1621	-21.89
1620	-19.51
1619	-18.04
1618	-17.56
1617	-17.05
1616	-17.36
1615	-19.03
1614	-20.63
1613	-20.29
1612	-18.74
1611	-18.82
1610	-18.77
1609	-18.54
1608	-19.84
1607	-21.09
1606	-19.53
1605	-18.74
1604	-18.19
1603	-18.92
1602	-20
1601	-18.57
1600	-18.92
1599	-17.57
1598	-16.66
1597	-18.97
1596	-17.95
1594	-16.69
1593	-17.55
1592	-19.66
1591	-18.28
1590	-18.84
1589	-17.29
1588	-18.43
1587	-19.34
1586	-20
1585	-17.62
1584	-17.33
1582	-15.88
1581	-14.82
1580	-15.44
1579	-16.69
1578	-18.53
1577	-17.15
1576	-17.55
1575	-19.28
1573	-17.92
1572	-18.06
1571	-16.88
1570	-17.32
1569	-17.39
1568	-18.58
1567	-18.19
1565	-18.69
1564	-18.86
1563	-18.73
1562	-17.23
1561	-18.89
1559	-18.36
1558	-16.33
1557	-19.71
1556	-19.26
1555	-19.69
1554	-17.56
1552	-18.54
1551	-18.02
1550	-20.17
1549	-19.51
1548	-19.92
1546	-17.87
1545	-17.96
1544	-18.75
1543	-19.88
1541	-18.07
1540	-19.39
1539	-17.36
1538	-19.96
1537	-19.8
1535	-18.86
1534	-19.66
1533	-20.01
1532	-18.88
1531	-17.91
1529	-18.25
1528	-17.12
1527	-17.17
1526	-18.17
1525	-19.08
1523	-17.39
1522	-20
1521	-19.83
1520	-21.99
1519	-19.17
1517	-18.78
1516	-15.19
1515	-16.21
1514	-17.96
1513	-17.11
1511	-19.57
1510	-19.63
1509	-18.98
1507	-19.38
1506	-19.72
1505	-18.41
1504	-17.25
1502	-18.43
1501	-18.5
1500	-20.64
1498	-21.22
1497	-20.49
1495	-20.27
1494	-22.51
1493	-18
1492	-18.75
1490	-19.17
1489	-19.15
1488	-20.11
1486	-18.92
1485	-20.07
1484	-18.87
1482	-21.49
1481	-20.45
1479	-17.75
1478	-17.82
1476	-19.34
1475	-17.41
1474	-17.81
1472	-15.79
1471	-16.89
1469	-16.79
1468	-16.43
1467	-17.29
1465	-18.45
1464	-17.64
1463	-18.14
1461	-16.98
1460	-17.18
1458	-16.62
1457	-15.77
1456	-17.33
1454	-16.58
1453	-18.13
1452	-17.43
1451	-18.16
1450	-17.46
1448	-17.31
1447	-17.66
1446	-17.55
1445	-19.57
1443	-21.69
1442	-19.35
1441	-17.87
1439	-19.1
1438	-17.72
1437	-17.26
1436	-19.99
1434	-19.16
1433	-18.63
1432	-19.7
1430	-20.66
1429	-18.24
1428	-17.66
1426	-18.17
1425	-18.87
1424	-18.89
1422	-18.3
1421	-17.23
1419	-19.29
1418	-18.99
1416	-17.41
1415	-16.7
1414	-17.78
1413	-17.68
1412	-18.99
1410	-18.96
1409	-19.55
1408	-18.51
1407	-18.41
1405	-19.64
1404	-17.59
1400	-19.73
