# Archive/proxy
#	Ice core
#--------------------
# Contribution Date
#	Date: 2012-03-13 18:10:55
#--------------------
# Title
#	Study Name: GISP2  Ice core d18O
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Grootes, P. M. and Stuiver, M.
#	Journal Name: Journal of Geophysical Research
#	Published Title: Oxygen 18/16 variability in Greenland snow and ice with 10\textasciicircum3- to 10\textasciicircum5-year time resolution
#	Published Date: 1997
#	DOI: 199710.1029/97JC00880
#	Abstract: The 3-km-long Greenland Ice Sheet Project 2 (GISP2) ice core presents a 100,000+ - year detailed oxygen isotope profile covering almost a full glacial-interglacial cycle. Measurements of isotopic fluctuations in snow, frost, and atmospheric water vapor samples collected during summer field seasons (up to 20‰) are compatible with the large and abrupt 18O/16O changes observed in accumulated firn. Snow pit d18O profiles from the GISP2 summit area, however, show rapid smoothing of the 18O/16O signal near the surface. Beyond about 2-m depth the smoothed d18O signal is fairly well preserved and can be interpreted in terms of average local weather conditions and climate. The longer climate fluctuations also have regional and often global significance. In the older part of the record, corresponding to marine isotope stages (MIS) 5a to 5d, the effect of orbital climate forcing via the 19- and 23-kyr precession cycles and the 41-kyr obliquity cycle is obvious. From the end of MIS 5a, at about 75,000 years B.P., till the end of the glacial at the Younger Dryas-Preboreal transition, at 11,650 years B.P., the 18O/16O record shows frequent, rapid switches between intermediate interstadial and low stadial values. Fourier spectra of the oscillations that are superimposed on the orbitally induced changes contain a strong periodicity at 1.5 kyr, a broad peak at 4.0 kyr, and additional shorter periods. Detailed comparison of the GISP2 18O/16O record with the Vostok, Antarctica, dD record; Pacific Ocean foraminiferal 18O/16O; Grande Pile, France, tree pollen; and insolation indicates that a counterpart to many of the rapid 18O/16O fluctuations of GISP2 can be found in the other records, and that the GISP2 isotopic changes clearly are the local expression of climate changes of worldwide extent. Correlation of events on the independent GISP2 and SPECMAP time scales for the interval 10,000–50,000 years B.P. shows excellent Chronometric agreement, except possibly for the event labeled 3.1. The glacial to interglacial transition evidently started simultaneously in the Arctic and the Antarctic, but its development and its expression in Greenland isotopes was later suppressed by the influence of meltwater, especially from the Barents Sea ice sheet, on deep water formation and ocean circulation. Meltwaters from different ice sheets bordering the North Atlantic also influenced ocean circulation during the B\olling-Aller\od interstadial complex and the Younger Dryas and led to a distinct development of European climate and Greenland 18O/16O values. The Holocene interval with long-term stable mean isotopic values contains several fluctuations with periods from years to millennia. Dominant is a 6.3-year oscillation with amplitude up to 3 to 4‰. Periodicities of 11 and 210 years, also found in the solar-modulated records of the cosmogenic isotopes 10Be and 14C, suggest solar processes as the cause of these cycles. Depression of 18O/16O values (cooling) by volcanic eruptions is observed in stacked GISP2 d18O records, but the effect is small and not likely to trigger major climate changes.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: Greenland
#	Country: 
#	Northmost Latitude: 72.1
# 	Southmost Latitude: 72.1
# 	Eastmost Longitute: -38.08
# 	Westmost Longitute: -38.08
# 	Elevation: 3200
#------------------
# Data Collection  
#	Core Name: GISP2
#	First Year: 818
#	Last Year: 1987
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>ice core>oxygen isotopes>delta 18O per mille 
#----------------
# Variables 
#	age_AD	Age (years AD)
#	d18OiceSMOW	delta18O ice (per mil SMOW)
# 
age_AD	d18OiceSMOW
1987	-35.98
1986	-35.82
1985	-32.73
1984	-34.49
1983	-38.22
1982	-36.55
1981	-35.21
1980	-35.64
1979	-38.69
1978	-34.87
1977	-33.01
1976	-34.67
1975	-34.71
1974	-35.58
1973	-34.99
1972	-35.83
1971	-35.05
1970	-34.39
1969	-33.34
1968	-35.38
1967	-33.44
1966	-34.53
1965	-35.63
1964	-33.61
1963	-34.51
1962	-31.92
1961	-34.28
1960	-33.92
1959	-33.97
1958	-35.01
1957	-36.11
1956	-36.37
1955	-35.06
1954	-34.91
1953	-34.31
1952	-34.23
1951	-35.57
1950	-35.04
1949	-35.77
1948	-33.93
1947	-34.08
1946	-35.14
1945	-34.81
1944	-35.55
1943	-35.3
1942	-32.42
1941	-34.02
1940	-31.87
1939	-34.24
1938	-35.68
1937	-35.9
1936	-33.74
1935	-33.27
1934	-33.31
1933	-34.51
1932	-31.69
1931	-34.83
1930	-35.15
1929	-32.74
1928	-34.29
1927	-34.44
1926	-36.22
1925	-37.42
1924	-36.81
1923	-36.83
1922	-37.57
1921	-36.18
1920	-35.98
1919	-36.79
1918	-36.77
1917	-34.99
1916	-33.62
1915	-36.96
1914	-36.38
1913	-36.32
1912	-35.21
1911	-35.39
1910	-33.77
1909	-33.12
1908	-33.33
1907	-36.29
1906	-34.19
1905	-34.76
1904	-35.49
1903	-33.54
1902	-35.84
1901	-34.4
1900	-34.99
1899	-36.52
1898	-34.67
1897	-35.86
1896	-36.9
1895	-34.67
1894	-33.92
1893	-36.03
1892	-33.43
1891	-35.26
1890	-34.89
1889	-33.87
1888	-35.12
1887	-34.71
1886	-36.09
1885	-36.7
1884	-35.72
1883	-34.63
1882	-35.13
1881	-34.43
1880	-34.6
1879	-34.22
1878	-34.23
1877	-34.69
1876	-33.98
1875	-33.94
1874	-34.56
1873	-35.4
1872	-33.49
1871	-32.17
1870	-33.27
1869	-35.87
1868	-35.58
1867	-35.84
1866	-35.61
1865	-37.12
1864	-34.34
1863	-34.93
1862	-35.8
1861	-34.83
1860	-35.38
1859	-35.83
1858	-37.05
1857	-36.88
1856	-36.44
1855	-34.33
1854	-34.37
1853	-35.15
1852	-34.33
1851	-32.9
1850	-34.11
1849	-36.12
1848	-35.48
1847	-34.08
1846	-33.74
1845	-35.07
1844	-35.23
1843	-36.99
1842	-36.34
1841	-35.81
1840	-35.2
1839	-34.66
1838	-34.55
1837	-33.71
1836	-36.09
1835	-37.95
1834	-37.87
1833	-35.18
1832	-36.84
1831	-34.28
1830	-34.26
1829	-34.72
1828	-35.76
1827	-35.26
1826	-34.6
1825	-35.2
1824	-34.7
1823	-34.45
1822	-35.59
1821	-34.78
1820	-34.89
1819	-34.26
1818	-35.24
1817	-35.91
1816	-35.79
1815	-34.63
1814	-33.87
1813	-35.75
1812	-33.97
1811	-35.88
1810	-35.55
1809	-35.11
1808	-34.87
1807	-36.02
1806	-35.81
1805	-33.26
1804	-33.68
1803	-33.9
1802	-36.62
1801	-36.39
1800	-33.91
1799	-35
1798	-35.88
1797	-37.42
1796	-36.72
1795	-33.08
1794	-34.86
1793	-35.59
1792	-33.2
1791	-34.88
1790	-34.73
1789	-33.82
1788	-35.27
1787	-33.26
1786	-32.84
1785	-35.97
1784	-36.83
1783	-35.89
1782	-33.32
1781	-35.09
1780	-36.87
1779	-35.44
1778	-35.35
1777	-35.37
1776	-34.4
1775	-33.85
1774	-34.25
1773	-34.04
