# Archive/proxy
#	Ice core
#--------------------
# Contribution Date
#	Date: 2012-03-13 18:12:58
#--------------------
# Title
#	Study Name: NGRIP1  Ice core d18O
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Vinther, B. M. and Clausen, H. B. and Johnsen, S. J. and Rasmussen, S. O. and Andersen, K. K. and Buchardt, S. L. and Dahl-Jensen, D. and Seierstad, I. K. and Siggaard-Andersen, M.-L. and Steffensen, J. P. and Svensson, A. and Olsen, J. and Heinemeier, J.
#	Journal Name: Journal of Geophysical Research
#	Published Title: A synchronized dating of three Greenland ice cores throughout the Holocene
#	Published Date: 2006
#	DOI: 200610.1029/2005JD006921
#	Abstract: 
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: Greenland
#	Country: 
#	Northmost Latitude: 75.1
# 	Southmost Latitude: 75.1
# 	Eastmost Longitute: -42.32
# 	Westmost Longitute: -42.32
# 	Elevation: 2917
#------------------
# Data Collection  
#	Core Name: NGRIP1
#	First Year: 0
#	Last Year: 1995
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>ice core>oxygen isotopes>delta 18O per mille 
#----------------
# Variables 
#	age_AD	Age (years AD)
#	d18OiceSMOW	delta18O ice (per mil SMOW)
# 
age_AD	d18OiceSMOW
1995	-31.36
1994	-37.2
1993	-35.08
1992	-37.06
1991	-36.3
1990	-36.62
1989	-38.95
1988	-34.74
1987	-36.41
1986	-35.86
1985	-34.93
1984	-32.64
1983	-38.17
1982	-39.92
1981	-36.56
1980	-35.52
1979	-35.33
1978	-34.69
1977	-33.17
1976	-35.63
1975	-36.73
1974	-36.34
1973	-35.35
1972	-37.46
1971	-33.92
1970	-34.88
1969	-34.41
1968	-32.83
1967	-35.72
1966	-35.21
1965	-35.28
1964	-35.18
1963	-35.49
1962	-35.05
1961	-34.7
1960	-34.72
1959	-33.13
1958	-36.75
1957	-35.29
1956	-33.83
1955	-34.76
1954	-35.44
1953	-35.79
1952	-34.06
1951	-33.8
1950	-34.96
1949	-35.95
1948	-35.69
1947	-35.28
1946	-33.85
1945	-34.82
1944	-35.02
1943	-36.37
1942	-36.75
1941	-35.93
1940	-34.83
1939	-32.17
1938	-35.92
1937	-35.87
1936	-34.69
1935	-34.65
1934	-35.07
1933	-34.87
1932	-33.49
1931	-34.7
1930	-36.55
1929	-34.58
1928	-30.81
1927	-33.15
1926	-34.97
1925	-35.53
1924	-37.6
1923	-35.76
1922	-36.04
1921	-36.31
1920	-34.43
1919	-34.36
1918	-35.28
1917	-36.71
1916	-33.78
1915	-34.72
1914	-36.43
1913	-35.79
1912	-35.38
1911	-36.3
1910	-35.11
1909	-32.03
1908	-33.05
1907	-35.31
1906	-32.29
1905	-35.84
1904	-33.98
1903	-34.26
1902	-32.28
1901	-33.97
1900	-33.83
1899	-36.07
1898	-37.74
1897	-36.08
1896	-33.7
1895	-34.44
1894	-34.97
1893	-34.26
1892	-32.5
1891	-34.14
1890	-36.42
1889	-35.88
1888	-37.17
1887	-35.11
1886	-34.62
1885	-36.52
1884	-37.85
1883	-36.52
1882	-36.29
1881	-34.39
1880	-34.81
1879	-33.81
1878	-33.44
1877	-34.18
1876	-35.16
1875	-35.34
1874	-34.73
1873	-35.21
1872	-32.96
1871	-33.42
1870	-33.55
1869	-35.16
1868	-36.51
1867	-36.19
1866	-36.39
1865	-35.66
1864	-36.6
1863	-36.17
1862	-35.93
1861	-36.03
1860	-35.2
1859	-34.7
1858	-35.03
1857	-35.69
1856	-34.43
1855	-35.47
1854	-35.89
1853	-34.35
1852	-33.27
1851	-34.33
1850	-35.6
1849	-34.78
1848	-34.72
1847	-34.34
1846	-35.55
1845	-35.44
1844	-36.05
1843	-35.4
1842	-35.2
1841	-35.61
1840	-34.76
1839	-35.54
1838	-34.72
1837	-36.1
1836	-40.12
1835	-39.29
1834	-36.83
1833	-35.59
1832	-36.53
1831	-33.56
1830	-33.97
1829	-34.63
1828	-34.48
1827	-35.73
1826	-36.28
1825	-35.15
1824	-36.24
1823	-36.53
1822	-35.41
1821	-35.74
1820	-35.02
1819	-35.45
1818	-35.74
1817	-36.95
1816	-36.73
1815	-35.34
1814	-35.08
1813	-36.16
1812	-33.63
1811	-34.9
1810	-35.09
1809	-36.47
1808	-35.92
1807	-35.48
1806	-35.86
1805	-33.37
1804	-32.47
1803	-33.62
1802	-34.77
1801	-35.59
1800	-35.74
1799	-36.34
1798	-36.03
1797	-36.04
1796	-35.98
1795	-35.3
1794	-33.8
1793	-34.6
1792	-36.1
1791	-34.25
1790	-36.46
1789	-35.67
1788	-35.68
1787	-36.07
1786	-35.8
1785	-34.74
1784	-35.78
1783	-35.95
1782	-34.85
1781	-36.21
1780	-36.77
1779	-36.58
1778	-37.58
1777	-36.48
1776	-35.71
1775	-33.06
1774	-33.89
1773	-34.82
1772	-35.21
1771	-36.57
1770	-34.01
1769	-33.16
1768	-35.15
1767	-35.95
1766	-35.8
1765	-35.85
1764	-33.84
1763	-32.07
1762	-34.38
1761	-38.28
1760	-34.83
1759	-34.29
1758	-34.58
1757	-35.72
1756	-34.73
1755	-34.82
1754	-37.75
1753	-36.22
1752	-36.52
1751	-35.67
1750	-36.63
1749	-36.33
1748	-35.95
1747	-35.43
1746	-37.21
1745	-37.63
1744	-35.43
1743	-36.07
1742	-36.16
1741	-34.82
1740	-34.05
1739	-35.66
1738	-35.74
1737	-35.97
1736	-35.93
1735	-38.65
1734	-37.31
1733	-35.2
1732	-32.44
1731	-34.21
1730	-34.23
1729	-34.58
1728	-35.27
1727	-36.44
1726	-35.84
1725	-34.93
1724	-36.42
1723	-36.82
1722	-37.69
1721	-37.79
1720	-36.12
1719	-37.28
1718	-35.84
1717	-34.74
1716	-33.3
1715	-34.52
1714	-34.78
1713	-33.37
1712	-35.01
1711	-36.4
1710	-35.76
1709	-34.91
1708	-34.51
1707	-35.07
1706	-36.01
1705	-36.3
1704	-33.16
1703	-34.9
1702	-36.37
1701	-37.94
1700	-37.29
1699	-35.74
1698	-36.23
1697	-35.56
1696	-37.03
1695	-37.87
1694	-36.36
1693	-36.05
1692	-36.2
1691	-37.38
1690	-36.52
1689	-36.68
1688	-36.48
1687	-34.61
1686	-35.67
1685	-36.06
1684	-34.69
1683	-35.14
1682	-35.96
1681	-34.85
1680	-36.14
1679	-34.67
1678	-35.44
1677	-35.95
1676	-34.81
1675	-34.67
1674	-34.56
1673	-35.45
1672	-35.85
1671	-35.82
1670	-36.3
1669	-35.02
1668	-36.15
1667	-36.33
1666	-35.93
1665	-35.07
1664	-33.45
1663	-33.95
1662	-36.25
1661	-36.49
1660	-36.42
1659	-36.39
1658	-34.97
1657	-35.79
1656	-35.92
1655	-36.65
1654	-35.68
1653	-35.51
1652	-35.84
1651	-37.12
1650	-37.32
1649	-35.77
1648	-36.57
1647	-37.99
1646	-37.16
1645	-36.84
1644	-35.75
1643	-34.56
1642	-34.1
1641	-35.04
1640	-37.88
1639	-37.44
1638	-35.44
1637	-35.34
1636	-36.71
1635	-36.69
1634	-36.12
1633	-36.64
1632	-34.83
1631	-35.77
1630	-34.11
1629	-35.19
1628	-34.69
1627	-33.53
1626	-33.85
1625	-34.41
1624	-34.8
1623	-34.69
1622	-37.13
1621	-35.64
1620	-34.57
1619	-34.66
1618	-34.73
1617	-34.77
1616	-35.72
1615	-35.43
1614	-36.28
1613	-35.73
1612	-35.83
1611	-36.52
1610	-37.39
