# Archive/proxy
#	Lake sediment
#--------------------
# Contribution Date
#	Date: 2012-07-07 13:52:50
#--------------------
# Title
#	Study Name: Lake Korttajärvi Finland Lake sediment X-ray density
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Tiljander, Mia and Saarnisto, Matti and Ojala, Antti E. K and Saarinen, Timo
#	Journal Name: Boreas
#	Published Title: A 3000-year palaeoenvironmental record from annually laminated sediment of Lake Korttajärvi, central Finland
#	Published Date: 2003
#	DOI: 10.1111/j.1502-3885.2003.tb01236.x
#	Abstract: High-resolution physical analyses (varve thickness and relative X-ray density) were conducted on a 3000-year varved sediment sequence in Lake Korttajärvi, central Finland. Climate and the local environment strongly influence the properties of the lake sediments, and, through a combination of physical proxies, severe and favourable climate periods and anthropogenic effects on sedimentation with an annual to decadal resolution could be detected. We observed previously identified historical climate periods in the Lake Korttajärvi varve record. The Medieval Climate Anomaly (often termed the Medieval Warm Period) of AD 980–1250, which is characterized by highly organic sediment and a minor minerogenic flux during mild winters, started and terminated abruptly, but also included a short (30-year) colder period lasting between AD 1115 and AD 1145. The Little Ice Age, however, was not clear in our record, although there were two minor cooling periods in AD 1580–1630 and AD 1650–1710. Natural variability in the sediment record was disrupted by increased human impact in the catchment area at AD 1720. There is a distinct positive anomaly in mineral matter accumulation between 907 and 875 BC, which indicates more severe climate conditions. This period exists contemporary with a cold event, recorded worldwide, c. 2800 years ago.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: Scandinavia
#	Country: Finland
#	Northmost Latitude: 62.33
# 	Southmost Latitude: 62.33
# 	Eastmost Longitute: 25.68
# 	Westmost Longitute: 25.68
# 	Elevation: 94
#------------------
# Data Collection  
#	Core Name: Lake Korttajärvi
#	First Year: 0
#	Last Year: 1985
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	paleolimnology>physical properties
#----------------
# Variables 
#	age_AD	Age (years AD)
#	x.dens	X-ray density
# 
age_AD	x.dens
1595	97.846
1594	88.857
1593	92.182
1592	99.407
1591	117.439
1590	92.481
1589	72.303
1588	88.674
1587	78.929
1586	73.4
1585	66.765
1584	63.594
1583	64
1582	57.6
1581	73
1580	66.846
1579	77.714
1578	76.211
1577	66.391
1576	63.923
1575	59.88
1574	69.864
1573	90.739
1572	76.353
1571	82.889
1570	76.211
1569	65.4
1568	71.957
1567	76.318
1566	75.826
1565	68.719
1564	66.75
1563	64.158
1562	75
1561	85.105
1560	65.758
1559	67.235
1558	65.364
1557	60.84
1556	65.042
1555	74.095
1554	71.762
1553	69.083
1552	77.444
1551	75.45
1550	86.05
1549	71.045
1548	78.563
1547	81.52
1546	68.556
1545	74.269
1544	87.944
1543	124.034
1542	86.963
1541	87.609
1540	89.419
1539	77.4
1538	84.944
1537	101.176
1536	85.636
1535	69.059
1534	74.261
1533	67.393
1532	69.105
1531	70.75
1530	69.25
1529	63.45
1528	76.529
1527	68.656
1526	69.964
1525	78.211
1524	73.652
1523	86.897
1522	92.056
1521	84.185
1520	84.087
1519	80.9
1518	83.32
1517	100.613
1516	78.85
1515	85.227
1514	78.85
1513	86.37
1512	79.355
1511	94.273
1510	87.263
1509	119.533
1508	111.12
1507	102.13
1506	102.931
1505	72.636
1504	67.417
1503	73.652
1502	74.476
1501	86.8
1500	81.85
1499	75.176
1498	78.55
1497	65.85
1496	72.792
1495	64.762
1494	58.5
1493	77.4
1492	74.417
1491	81
1490	95.405
1489	88.038
1488	73.826
1487	66.971
1486	66.227
1485	77.538
1484	75.963
1483	74.654
1482	88.71
1481	68.261
1480	68.704
1479	71
1478	69.25
1477	70.667
1476	80.846
1475	61.857
1474	74.633
1473	71.111
1472	64
1471	70.32
1470	66.484
1469	68.633
1468	80.759
1467	68.652
1466	101.655
1465	94.179
1464	66.348
1463	72.1
1462	63.429
1461	67.913
1460	88.409
1459	74.935
1458	95.813
1457	72
1456	81
1455	71
1454	64.895
1453	69
1452	70.5
1451	68.941
1450	64.844
1449	69.864
1448	71.867
1447	73.75
1446	90.185
1445	83.545
1444	79.8
1443	85.095
1442	94.545
1441	105.871
1440	67.85
1439	84.69
1438	71.96
1437	82.739
1436	71.429
1435	81.259
1434	85.857
1433	90.741
1432	77.4
1431	91.235
1430	99.148
1429	79.69
1428	78.192
1427	67.032
1426	69.379
1425	74.647
1424	77.385
1423	66.4
1422	73.933
1421	64.7
1420	84.208
1419	92.636
1418	87.692
1417	88.138
1416	98.941
1415	95.241
1414	101.963
1413	102.815
1412	75.478
1411	81.083
1410	86.682
1409	84.913
1408	83.32
1407	83.071
1406	79.222
1405	74.077
1404	83.231
1403	101.057
1402	105.75
1401	101.25
1400	106.78
1399	97.458
1398	92.094
1397	93.9
1396	83.826
1395	80
1394	97
1393	85.742
1392	94.037
1391	105.962
1390	92.862
1389	73.81
1388	83.308
1387	97.75
1386	77.667
1385	90.25
1384	91.227
1383	78.2
1382	78.087
1381	91.5
1380	91.778
1379	74.529
1378	80.105
1377	87.781
1376	79.464
1375	83.864
1374	74.522
1373	81.429
1372	94.444
1371	81.882
1370	91.455
1369	93.625
1368	76.737
1367	86.182
1366	91
1365	89.938
1364	89.393
1363	79.036
1362	82.355
1361	80.216
1360	73.343
1359	68.065
1358	75.391
1357	76.5
1356	69.484
1355	73.3
1354	86.952
1353	78.25
1352	75.647
1351	78.867
1350	74.038
1349	78.136
1348	82.655
1347	80.35
1346	82
1345	83.848
1344	81.333
1343	76.217
1342	76.381
1341	74.524
1340	82.933
1339	77.833
1338	115.818
1337	105.875
1336	73.167
1335	78.391
1334	95.211
1333	81.4
1332	95.957
1331	115.057
1330	110.585
1329	104.229
1328	100.681
1327	120.023
1326	172.587
1325	84.313
1324	94.3
1323	94.87
1322	108.194
1321	72.034
1320	88.903
1319	82.333
1318	89.654
1317	93.179
1316	98.172
1315	117.192
1314	91.971
1313	86.618
1312	110.429
1311	114.634
1310	102.304
1309	95.647
1308	103.55
1307	85.429
1306	81.3
1305	96.813
1304	82.676
1303	85.385
1302	98.719
1301	75
1300	80.909
1299	87.615
1298	85.808
1297	77.64
1296	84.5
1295	94.957
1294	88.237
1293	75.111
1292	68.077
1291	81.429
1290	79.478
1289	82.4
1288	66.222
1287	84.556
1286	83.35
1285	99.783
1284	91.826
1283	82.421
1282	88
1281	86.842
1280	94.708
1279	83.261
1278	78.962
1277	69.545
1276	95.68
1275	89.458
1274	72.857
1273	77.5
1272	93.963
1271	98.048
1270	86.923
1269	90.818
1268	96.05
1267	73.409
1266	75.042
1265	72.773
1264	78.563
1263	84.176
1262	75.412
1261	83
1260	74.333
1259	77.263
1258	68.294
1257	71.545
1256	80.143
1255	85.158
1254	85.3
1253	86.043
1252	74.708
1251	84.714
1250	86.167
1249	68.963
1248	77.36
1247	61.13
1246	61.25
1245	68.053
1244	58.063
1243	54.375
1242	56.947
1241	52.176
1240	58.611
1239	59.694
1238	59.067
1237	63.379
1236	74.6
1235	61.8
1234	48.476
1233	50.115
1232	48.765
1231	46.133
1230	50
1229	48.375
1228	49.357
1227	49.813
1226	54.182
1225	60.273
1224	54.941
1223	53.077
1222	52.667
1221	51.5
1220	54
1219	52.375
1218	56.438
1217	58.474
1216	57.267
1215	59.259
1214	56.895
1213	62.842
1212	66.75
1211	58.357
1210	50.526
1209	51.286
1208	57.769
1207	58.55
1206	58.167
1205	52.615
1204	59.235
1203	54.1
1202	61.429
1201	62.429
1200	60.353
1199	55.933
1198	56.111
1197	52
1196	50.8
1195	54.923
1194	54.958
1193	54.417
1192	52.9
1191	54.5
1190	53.231
1189	50.714
1188	54
1187	53.238
1186	52.571
1185	54.286
1184	55.579
1183	54.609
1182	56.4
1181	57
1180	58.474
1179	65.813
1178	60.412
1177	55.905
1176	54.258
1175	55.034
1174	54.68
1173	57.429
1172	60.958
1171	61.059
1170	58.875
1169	58.842
1168	53.706
1167	66.304
1166	67.889
1165	57.174
1164	66.577
1163	55.235
1162	51.586
1161	57.423
1160	60.6
1159	61.478
1158	61.125
1157	55.962
1156	62.952
1155	71.522
1154	63.038
1153	75.758
1152	61.667
1151	67.333
1150	57.52
1149	62.96
1148	75.182
1147	58.6
1146	67.826
1145	59.167
1144	56.2
1143	58.15
1142	62.75
1141	79.421
1140	82.188
1139	87.875
1138	74.533
1137	83.75
1136	78.611
1135	73.895
1134	66.316
1133	62.125
1132	63.065
1131	59.8
1130	56.053
1129	62.533
1128	94.739
1127	87.435
1126	69.783
1125	78.75
1124	75.625
1123	71.619
1122	77.125
1121	110.045
1120	136.567
1119	118.615
1118	80.107
1117	80.179
1116	58.419
1115	59.696
1114	83.238
1113	66.85
1112	59.926
1111	57.087
1110	56.4
1109	60.829
1108	53.2
1107	57
1106	60.87
1105	74.208
1104	73.607
1103	71.553
1102	64.481
1101	62.95
1100	66.632
1099	77.643
1098	73.815
1097	63.476
1096	64.552
1095	63.444
1094	70.696
1093	74.476
1092	92.905
1091	73.455
1090	72.778
1089	67.391
1088	62.429
1087	63.538
1086	65.636
1085	60.714
1084	69.118
1083	69.6
1082	66.588
1081	73.571
1080	63.308
1079	69.917
1078	70.471
1077	61.438
1076	66.688
1075	81.667
1074	63.7
1073	63.071
1072	76.188
1071	69.6
1070	64.409
1069	62.647
1068	60.32
1067	64.538
1066	63.9
1065	64.615
1064	61.722
1063	62.609
1062	62.182
1061	62.318
1060	62.04
1059	64.222
1058	67.75
1057	73.368
1056	74.955
1055	57.467
1054	65.286
1053	66.68
1052	64.65
1051	72.85
1050	64.4
1049	62.103
1048	71.654
1047	56.591
1046	57.563
1045	62
1044	59.222
1043	71.667
1042	66.7
1041	68.667
1040	59.375
1039	67.667
1038	63.429
1037	64.684
1036	56.75
1035	55.87
1034	52.75
1033	57.645
1032	53.263
1031	51.277
1030	49.233
1029	52.24
1028	53
1027	49.724
1026	49.5
1025	50.96
1024	53.316
1023	57.528
1022	56.962
1021	54.733
1020	51.043
1019	53.103
1018	54.286
1017	54.219
1016	50.323
1015	55.217
1014	54.5
1013	58.471
1012	62.688
1011	53.537
1010	54.9
1009	52.556
1008	57.75
1007	57.526
1006	60
1005	67.526
1004	52.045
1003	55.548
1002	52.419
1001	55.478
1000	58.348
999	54.033
998	52.971
997	51.909
996	52.684
995	55.179
994	64.769
993	62.667
992	60.593
991	62.947
990	55.61
989	58.71
988	58.7
987	71.56
986	68.516
985	63.241
984	75.519
983	66.889
982	64.791
981	62.71
980	72.31
979	73.565
978	75.16
977	81.783
976	73.923
975	78.81
974	74
973	76.222
972	98.192
971	106.737
970	88.606
969	75.889
968	70.467
967	62.238
966	63.522
965	73.467
964	75
963	83.75
962	78.762
961	74.947
960	86.533
959	76.333
958	78.45
957	95.368
956	79.619
955	85.864
954	84.88
953	76.75
952	81.292
951	81.586
950	81.462
949	74.704
948	71.4
947	70.8
946	87
945	80.16
944	108.432
943	85.462
942	86.071
941	64.793
940	75.655
939	88.333
938	68.62
937	77.964
936	75.913
935	74.143
934	77
933	87.097
932	78.44
931	73.391
930	74.786
929	63.586
928	73.524
927	87.5
926	74.875
925	72.135
924	67.96
923	79.103
922	64.304
921	60.826
920	60.593
919	64.143
918	66.571
917	61.885
916	71.667
915	69.265
914	65.333
913	60.258
912	66.52
911	61.676
910	72.576
909	56.515
908	58.821
907	66.038
906	61.207
905	60.806
904	59.333
903	60
902	65.424
901	73.657
900	68.579
899	68.235
898	62.4
897	65.588
896	67.5
895	69.55
894	73.087
893	69.095
892	77.938
891	89.214
890	72.038
889	66.241
888	53.861
887	57.737
886	60.409
885	58.13
884	65.613
883	62.074
882	68.636
881	65.545
880	72.667
879	69.37
878	70.875
877	69.174
876	82.667
875	62
874	69.455
873	63.281
872	63.42
871	59.9
870	56.735
869	58.167
868	56.921
867	57.627
866	62.25
865	62.667
864	65.054
863	66.366
862	68.632
861	70.879
860	55.127
859	57.484
858	62.226
857	65.5
856	61
855	59.118
854	59.357
853	61.472
852	68.35
851	74.038
850	76.217
849	73.478
848	65.235
847	71.409
846	78.429
845	71.8
844	66.708
843	62
842	68.174
841	69.875
840	82.65
839	77.737
838	71.943
837	69.216
836	66.542
835	68.41
834	66.111
833	69.722
832	79.219
831	84.7
830	94.606
829	88.148
828	98.393
827	94.552
826	94.567
825	85.343
824	93.263
823	88
822	86.5
821	90.852
820	98.667
819	89.71
818	83.308
817	87.774
816	83.955
815	80.833
814	73.259
813	85.813
812	82.792
811	80.895
810	83.152
809	83.95
808	75.211
807	74.857
806	73
805	73.457
804	75.765
803	65.706
802	69.643
801	68.35
800	59.636
799	56.563
798	55.55
797	74.16
796	71.75
795	69.859
794	69.905
793	67.938
792	62.31
791	63.833
790	59.537
789	56.655
788	55.111
787	54.875
786	54.409
785	57.036
784	75.36
783	74.561
782	77.381
781	71.867
780	106.905
779	78.704
778	93.1
777	71.043
776	67.182
775	58.652
774	58.067
773	57.419
772	61.882
771	80.368
770	67.75
769	63.649
768	75.32
767	86.621
766	82.854
765	79.818
764	86.679
763	80.56
762	78.484
761	78.333
760	77.061
759	80.731
758	92
757	73.81
756	82.258
755	76.929
754	66
753	66.579
752	85.08
751	78.325
750	58.892
749	83.382
748	76.967
747	73.185
746	56.833
745	79.057
744	80.559
743	82.318
742	72.64
741	83.192
740	84.238
739	79.364
738	66.088
737	57.805
736	65.559
735	70.867
734	71.903
733	72.485
732	74.36
731	67.264
730	63.493
729	83.51
728	69.224
727	73.625
726	74.107
725	81.606
724	85.55
723	82.273
722	81.788
721	75.962
720	80.324
719	72.717
718	66.423
717	78.137
716	78.71
715	72.469
714	60.849
713	60.233
712	75.464
711	82.143
710	88.333
709	81.086
708	76.321
707	73.36
706	72.686
705	75.343
704	70.623
703	65.62
702	72.633
701	82.233
700	97.634
699	89.273
698	93.333
697	89.52
696	92.393
695	92.286
694	87.267
693	84.963
692	90.158
691	100.286
690	97.381
689	93.393
688	81.246
687	76.868
686	64.38
685	61.634
684	84.724
683	72.685
682	60.745
681	68.857
680	80.829
679	71.55
678	68.862
677	73
676	59.935
675	59.536
674	75.68
673	74.615
672	87.265
671	77.176
670	70.946
669	67.517
668	64.868
667	77.757
666	67.606
665	69.45
664	83.32
663	93.296
662	79.485
661	110.552
660	82.829
659	63
658	60.207
657	65.514
656	60.026
655	62.294
654	79.172
653	71.303
652	60.857
651	71.333
650	59.897
649	73.292
648	91.04
647	79.083
646	78.621
645	85.1
644	71.571
643	65.767
642	62.086
641	59.39
640	59.18
639	62.906
638	64.449
637	66.07
636	63.17
635	58.855
634	59.068
633	55.554
632	57.197
631	56.344
630	66.161
629	69.655
628	69.214
627	73.968
626	77.333
625	73.9
624	71.96
623	70.652
622	79.612
621	89.935
620	78.14
619	102.818
618	105.8
617	81.714
616	84.75
615	79.786
614	77.161
613	76.708
612	91.9
611	80.138
610	83.963
609	100.6
608	87.714
607	78.75
606	101.59
605	95.949
604	81.069
603	84.577
602	79.02
601	75.333
600	72.909
599	67.511
598	60.863
597	65.791
596	57.509
595	63.8
594	62.351
593	51.667
592	55.489
591	61.216
590	55.62
589	53.909
588	68.31
587	63.808
586	66.087
585	73.923
584	78.483
583	73.643
582	83.913
581	72.571
580	87.952
579	76.56
578	95.48
577	78.065
576	81.719
575	67.321
574	63.625
573	58.074
572	58.387
571	55
570	46.773
569	57.905
568	64.296
567	65.316
566	63.121
565	70.882
564	74.067
563	65.22
562	70.264
561	82.787
560	80.654
559	83.722
558	84.529
557	96.114
556	78.189
555	77.9
554	77.333
553	72.879
552	78.161
551	92.119
550	70.4
549	66.273
548	69.536
547	66.953
546	67.754
545	56.469
544	58.69
543	61.52
542	67.31
541	82.571
540	78.941
539	92.387
538	87.6
537	89.093
536	79.838
535	84.5
534	88.875
533	97.313
532	80.8
531	66.935
530	68.032
529	53.675
528	58.277
527	60.588
526	63.256
525	75.871
524	75.196
523	74.452
522	79.528
521	63.047
520	58.514
519	56.846
518	65.387
517	71.231
516	84.867
515	84.292
514	81.194
513	89.536
512	90.033
511	82.056
510	84.898
509	87.528
508	81.353
507	60.12
506	62.981
505	63.579
504	63
503	65.846
502	66.739
501	69.317
500	71.14
499	63.425
498	65.432
497	69.633
496	73.235
495	71.4
494	74.231
493	70.48
492	63.756
491	73.341
490	74.972
489	72.195
488	68.149
487	74.537
486	65.714
485	58.206
484	66.308
483	112.253
482	80.939
481	64.613
480	77.1
479	72.467
478	68.458
477	90.217
476	75.897
475	86.963
474	65.654
473	65.23
472	64.658
471	63.212
470	63.977
469	80.63
468	75.167
467	65.095
466	63.424
465	63.48
464	67.971
463	72.7
462	72.407
461	69.698
460	86.453
459	73.083
458	76.038
457	96.071
456	100
455	81.576
454	86.4
453	92.095
452	96.52
451	98.882
450	88.545
449	75.308
448	90.448
447	81.5
446	85.182
445	70.591
444	73.148
443	87.673
442	70.607
441	65.571
440	60.933
439	58.56
438	57.472
437	61.619
436	62.92
435	66.406
434	68.697
433	55.513
432	64.75
431	60.944
430	58.027
429	53.833
428	59.545
427	75.091
426	93.636
425	83.577
424	80.741
423	84.556
422	87.5
421	84.486
420	73.714
419	60.635
418	92.765
417	78.792
416	61.5
415	71.348
414	73.826
413	91.185
412	79.172
411	75.625
410	66.385
409	61.528
408	58.397
407	72.857
406	68.5
405	59.765
404	62.65
403	62.452
402	65.071
401	74
400	72.478
399	57.648
398	60.583
397	62.429
396	61.875
395	65.863
394	54.817
393	57.357
392	58.325
391	68.607
390	86.224
389	70.512
388	64.29
387	70.891
386	74.476
385	71.267
384	74.048
383	109.886
382	103.641
381	86.029
380	82.827
379	68.971
378	70.621
377	82.419
376	89.643
375	86.464
374	85.542
373	73.45
372	81.52
371	80.391
370	71.696
369	66.3
368	64.855
367	62.037
366	58.167
365	61.711
364	57.543
363	54.538
362	62.6
361	65
360	59.261
359	60.207
358	68.467
357	72.543
356	62.257
355	63.194
354	63.75
353	73.545
352	69.609
351	80.1
350	73.125
349	63.256
348	64.5
347	60.711
346	64.16
345	61.036
344	63.783
343	60.978
342	82.387
341	100.361
340	114.121
339	78.387
338	101.844
337	59.776
336	45.676
335	49.333
334	58.222
333	63.419
332	60.727
331	61.75
330	57.933
329	56.121
328	63.314
327	59.645
326	66
325	68.806
324	68.353
323	72
322	69.805
321	72.3
320	65.931
319	66.172
318	70.214
317	84.6
316	87.059
315	67.172
314	67.897
313	82.556
312	82.391
311	81.174
310	63.607
309	86.143
308	74.381
307	68.6
306	65.25
305	76.053
304	81.65
303	73.444
302	81.222
301	75.458
300	78.414
299	77.714
298	74.19
297	101.579
296	92.955
295	83.1
294	97.034
293	77.44
292	87.457
291	66.2
290	61.674
289	72.778
288	84.038
287	82.966
286	74.714
285	72.074
284	66.29
283	72.905
282	67.655
281	63.2
280	62.516
279	68.267
278	76.897
277	74.529
276	67.111
275	66.231
274	64.609
273	58.091
272	58.609
271	61.02
270	58.259
269	60.467
268	63.75
267	68.045
266	69.486
265	70.409
264	75.684
263	72.455
262	63.957
261	79.25
260	79.267
259	65.731
258	58.341
257	66.795
256	70.656
255	83.6
254	58.82
253	60.118
252	60.156
251	63.292
250	73.15
249	76.571
248	85.5
247	71.517
246	59.25
245	66.919
244	63.613
243	58.286
242	62.938
241	74.783
240	75.5
239	67.633
238	69.375
237	70.036
236	66.895
235	67.621
234	63.103
233	58.913
232	66.143
231	79.051
230	71.778
229	60.167
228	68.176
227	70.611
226	74.842
225	78.292
224	77.05
223	75.7
222	55.556
221	59.781
220	60.944
219	62.344
218	61.568
217	55.14
216	67.243
215	61.667
214	61.348
213	58.516
212	56.559
211	52.442
210	53.281
209	64.182
208	70.696
207	63.471
206	57.941
205	53.842
204	57.28
203	58.3
202	56
201	69.864
200	56.857
199	56.633
198	53.914
197	55.931
196	56.676
195	58.04
194	54.953
193	55.226
192	52.222
191	53.821
190	57.25
189	51.909
188	54.024
187	60.317
186	59.185
185	59.743
184	56.158
183	56.903
182	61.532
181	63.394
180	63.211
179	60.069
178	62.483
177	58.462
176	61.385
175	61.273
174	52.438
173	56.773
172	57.703
171	54.882
170	57.8
169	80.529
168	68.3
167	58.913
166	57.722
165	58.533
164	57.452
163	53.622
162	55.25
161	59.533
160	57.122
159	55.486
158	58.957
157	56.103
156	58.229
155	63.167
154	62.333
153	62.394
152	81.653
151	68.14
150	64.048
149	64.229
148	68.458
