# Archive/proxy
#	Lake sediment
#--------------------
# Contribution Date
#	Date: 2012-07-07 13:52:50
#--------------------
# Title
#	Study Name: Lake Korttajärvi Finland Lake sediment X-ray density
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Tiljander, Mia and Saarnisto, Matti and Ojala, Antti E. K and Saarinen, Timo
#	Journal Name: Boreas
#	Published Title: A 3000-year palaeoenvironmental record from annually laminated sediment of Lake Korttajärvi, central Finland
#	Published Date: 2003
#	DOI: 10.1111/j.1502-3885.2003.tb01236.x
#	Abstract: High-resolution physical analyses (varve thickness and relative X-ray density) were conducted on a 3000-year varved sediment sequence in Lake Korttajärvi, central Finland. Climate and the local environment strongly influence the properties of the lake sediments, and, through a combination of physical proxies, severe and favourable climate periods and anthropogenic effects on sedimentation with an annual to decadal resolution could be detected. We observed previously identified historical climate periods in the Lake Korttajärvi varve record. The Medieval Climate Anomaly (often termed the Medieval Warm Period) of AD 980–1250, which is characterized by highly organic sediment and a minor minerogenic flux during mild winters, started and terminated abruptly, but also included a short (30-year) colder period lasting between AD 1115 and AD 1145. The Little Ice Age, however, was not clear in our record, although there were two minor cooling periods in AD 1580–1630 and AD 1650–1710. Natural variability in the sediment record was disrupted by increased human impact in the catchment area at AD 1720. There is a distinct positive anomaly in mineral matter accumulation between 907 and 875 BC, which indicates more severe climate conditions. This period exists contemporary with a cold event, recorded worldwide, c. 2800 years ago.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: Scandinavia
#	Country: Finland
#	Northmost Latitude: 62.33
# 	Southmost Latitude: 62.33
# 	Eastmost Longitute: 25.68
# 	Westmost Longitute: 25.68
# 	Elevation: 94
#------------------
# Data Collection  
#	Core Name: Lake Korttajärvi
#	First Year: 0
#	Last Year: 1985
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	paleolimnology>physical properties
#----------------
# Variables 
#	age_AD	Age (years AD)
#	x.dens	X-ray density
# 
age_AD	x.dens
1985	127.582
1984	126.589
1983	127.231
1982	121.215
1981	130.006
1980	120.7
1979	82.5
1978	114.806
1977	114.788
1976	131.879
1975	119.535
1974	119.662
1973	118.288
1972	119.042
1971	111.672
1970	114.76
1969	146.621
1968	150.667
1967	172.151
1966	139.207
1965	123.123
1964	117.049
1963	126.072
1962	106.623
1961	99.625
1960	87.273
1959	113.083
1958	89.114
1957	92.227
1956	85.028
1955	86.095
1954	91.346
1953	78.594
1952	72.292
1951	70.961
1950	72.859
1949	78.392
1948	83.743
1947	70.737
1946	94.275
1945	84.19
1944	84.014
1943	90.576
1942	85.028
1941	87.13
1940	99.711
1939	96.932
1938	114.143
1937	91.055
1936	110.282
1935	112
1934	119.071
1933	143.628
1932	114.13
1931	157.336
1930	168.011
1929	129.745
1928	111.375
1927	94.592
1926	101.474
1925	102.571
1924	98.63
1923	94.378
1922	73.235
1921	76.091
1920	80.234
1919	87
1918	100.811
1917	85.627
1916	104.219
1915	112.589
1914	81.585
1913	85.558
1912	95.63
1911	121.525
1910	101.873
1909	104.286
1908	113.491
1907	101.404
1906	95.152
1905	105.195
1904	103.976
1903	98.947
1902	99.698
1901	101.333
1900	113.656
1899	112.64
1898	114.75
1897	113.894
1896	110.903
1895	86.321
1894	94.727
1893	81.727
1892	85.633
1891	78.222
1890	81.143
1889	77.267
1888	84.429
1887	97.243
1886	87.105
1885	82.667
1884	78.828
1883	90.063
1882	85.351
1881	82.556
1880	77.756
1879	83.375
1878	83.146
1877	93.848
1876	114.453
1875	92.618
1874	90.182
1873	91.458
1872	113.891
1871	98.345
1870	86.931
1869	84.564
1868	94.683
1867	106.239
1866	96.639
1865	101.585
1864	117.152
1863	120.63
1862	132.591
1861	123.382
1860	114.634
1859	94.119
1858	98.356
1857	108.987
1856	111.625
1855	97.667
1854	103.449
1853	124.302
1852	111.884
1851	98.423
1850	97.372
1849	93.225
1848	103.717
1847	99.966
1846	110.207
1845	106.655
1844	106.5
1843	93.03
1842	99.429
1841	133.5
1840	95.593
1839	99.346
1838	101.481
1837	101.958
1836	113.774
1835	126.211
1834	141.609
1833	135.017
1832	162.898
1831	146.048
1830	131.4
1829	74.904
1828	72.278
1827	81.644
1826	84.305
1825	94.22
1824	84.824
1823	85.03
1822	92.4
1821	84.286
1820	82.111
1819	79.588
1818	83.619
1817	88.469
1816	99.324
1815	88.914
1814	87.529
1813	88.067
1812	92.067
1811	97.95
1810	101.059
1809	115.349
1808	105.033
1807	120.738
1806	106.711
1805	99.216
1804	95.745
1803	88.293
1802	99.635
1801	113.625
1800	86.983
1799	72.673
1798	77.568
1797	109.182
1796	105.775
1795	85.02
1794	88.735
1793	84.608
1792	83.2
1791	81.936
1790	88.477
1789	85.38
1788	80.867
1787	88.2
1786	87.6
1785	82.25
1784	80.232
1783	74
1782	72.394
1781	65.846
1780	65.029
1779	70.161
1778	68.647
1777	82.533
1776	73.75
1775	69.167
1774	77.069
1773	83.333
1772	92.373
1771	75.16
1770	92.03
1769	98.5
1768	71.742
1767	64.719
1766	73.824
1765	78.882
1764	77.114
1763	69.138
1762	86.538
1761	68.621
1760	68.783
1759	65.083
1758	60.5
1757	73.35
1756	71.344
1755	71.118
1754	68.893
1753	76.722
1752	74.857
1751	77.788
1750	78.189
1749	75.138
1748	74.808
1747	85.057
1746	70.654
1745	76.033
1744	84.706
1743	80.739
1742	80.897
1741	74.727
1740	68.409
1739	68.76
1738	65.645
1737	68.517
1736	71
1735	70.969
1734	64
1733	62.444
1732	68.125
1731	60.882
1730	57.48
1729	64.556
1728	53.412
1727	59.913
1726	66.826
1725	59.583
1724	58.929
1723	66.955
1722	69.55
1721	65.476
1720	68.235
1719	77.536
1718	72.1
1717	64.714
1716	74.474
1715	73.848
1714	77.351
1713	103.111
1712	75.387
1711	66
1710	65.926
1709	79.907
1708	71.71
1707	69.143
1706	63.069
1705	69.923
1704	70.849
1703	83.403
1702	72.579
1701	68.621
1700	66.605
1699	77.143
1698	76.95
1697	65.267
1696	74.714
1695	75.167
1694	68.522
1693	69.286
1692	73.903
1691	77.895
1690	73.057
1689	70.519
1688	73.306
1687	70.931
1686	75.048
1685	72.625
1684	81.968
1683	84.962
1682	97.568
1681	78.182
1680	79.235
1679	79.304
1678	82.306
1677	81.92
1676	86.522
1675	81.136
1674	75.357
1673	69.321
1672	69.583
1671	83.85
1670	74.912
1669	74.3
1668	76.167
1667	84.741
1666	87.929
1665	60.52
1664	64.914
1663	61.545
1662	60.16
1661	73.818
1660	72.346
1659	64.161
1658	72.651
1657	85.525
1656	81.194
1655	59.619
1654	63.292
1653	77.727
1652	63.065
1651	71.6
1650	69.758
1649	70
1648	76.375
1647	65.684
1646	65.621
1645	64.4
1644	65.381
1643	64.143
1642	63.318
1641	59.435
1640	59.615
1639	65.867
1638	80.542
1637	64.5
1636	64.158
1635	66.1
1634	75.72
1633	73.762
1632	76.783
1631	90.636
1630	77.235
1629	76.929
1628	78.722
1627	83.92
1626	67.909
1625	83.654
1624	79.5
1623	79.32
1622	80.88
1621	108.353
1620	100.885
1619	95.241
1618	91.769
1617	82.37
1616	93.88
1615	116.222
1614	98.862
1613	87.64
1612	102.188
1611	85.76
1610	80.762
1609	96.344
1608	89.103
1607	86.231
1606	85.185
1605	86.862
1604	75.227
1603	86.688
1602	75.045
1601	72
1600	75.038
1599	75.714
1598	77.235
1597	94.438
1596	87.975
