# Archive/proxy
#	Tree ring
#--------------------
# Contribution Date
#	Date: 2012-03-13 13:30:33
#--------------------
# Title
#	Study Name: Forfjorddalen 2 Norway Tree ring Ring width
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Kirchhefer, Andreas J.
#	Journal Name: The Holocene
#	Published Title: Reconstruction of summer temperatures from tree-rings of Scots pine (Pinus sylvestris L.) in coastal northern Norway
#	Published Date: 2001
#	DOI: 10.1191/095968301670181592
#	Abstract: At the coast of northern Norway, 69°N, tree-ring chronologies from Scots pine (Pinus sylvestris L.) were constructed at Forfjorddalen in the Vesterålen archipelago (AD 1358-1992), Stonglandseidet on Senja (AD 1548-1994) and Vikran near Tromso (AD 1700-1992). All chronologies reflect July-August temperatures. At the most northern site, Vikran, the response was more confined to July temperatures, resulting in a strong tree-ring and climate signal. The chronology from a steep, south-facing slope at Stonglandseidet showed signs of drought sensitivity. At the most oceanic locality, Forfjorddalen, mild winters appear to suppress tree growth on a decadal scale. Growth variations were consistent between the three sites for 1700-1910 but the amount of low-frequency variability decreased towards the most oceanic site. The seventeenth century, the coldest period of the ‘Little Ice Age’, experienced three cycles of summer temperatures, with minima around 1605, 1640 and 1680. An extended warm period occurred around 1475-1540. Temperature reconstruction showed secular trends similar to those observed east of the Scandes, but differed in the magnitude and timing of the extremes. At Forfjorddalen, there was no evidence of pine regeneration around 1575-1650. The latter site is likely to have been affected by logging activity in the seventeenth century.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: Scandinavia
#	Country: Norway
#	Northmost Latitude: 69.08
# 	Southmost Latitude: 69.08
# 	Eastmost Longitute: 17.22
# 	Westmost Longitute: 17.22
# 	Elevation: 145
#------------------
# Data Collection  
#	Core Name: Forfjorddalen 2
#	First Year: 877
#	Last Year: 1994
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>tree-ring>width>ring width 
#----------------
# Variables 
#	age_AD	Age (years AD)
#	trsgi	Tree Ring Standardized Growth Index
# 
age_AD	trsgi
1994	943
1993	819
1992	702
1991	938
1990	1231
1989	796
1988	1082
1987	994
1986	926
1985	1662
1984	1119
1983	998
1982	753
1981	875
1980	1333
1979	1055
1978	875
1977	851
1976	621
1975	650
1974	860
1973	1067
1972	1116
1971	901
1970	1089
1969	964
1968	666
1967	543
1966	659
1965	554
1964	791
1963	725
1962	638
1961	871
1960	964
1959	630
1958	885
1957	963
1956	728
1955	714
1954	1304
1953	1199
1952	892
1951	1174
1950	1485
1949	1286
1948	1045
1947	964
1946	1022
1945	1207
1944	1185
1943	1181
1942	1029
1941	1541
1940	1052
1939	1136
1938	1182
1937	1344
1936	950
1935	865
1934	1227
1933	871
1932	920
1931	1142
1930	1531
1929	896
1928	1054
1927	1451
1926	1086
1925	1192
1924	1181
1923	947
1922	1405
1921	1321
1920	1242
1919	1275
1918	1349
1917	1221
1916	1310
1915	1369
1914	1428
1913	1068
1912	1189
1911	903
1910	977
1909	812
1908	1128
1907	934
1906	991
1905	957
1904	841
1903	477
1902	720
1901	714
1900	482
1899	797
1898	1055
1897	1043
1896	1137
1895	1253
1894	954
1893	618
1892	616
1891	901
1890	991
1889	693
1888	652
1887	660
1886	640
1885	488
1884	1203
1883	1314
1882	1101
1881	789
1880	1120
1879	1375
1878	1154
1877	1051
1876	1329
1875	883
1874	857
1873	1315
1872	1284
1871	1093
1870	1018
1869	742
1868	432
1867	626
1866	703
1865	759
1864	881
1863	852
1862	923
1861	1144
1860	882
1859	875
1858	996
1857	606
1856	867
1855	850
1854	1040
1853	996
1852	1149
1851	1111
1850	733
1849	976
1848	856
1847	1165
1846	1094
1845	1089
1844	1211
1843	967
1842	958
1841	1135
1840	992
1839	744
1838	636
1837	498
1836	804
1835	659
1834	826
1833	899
1832	1055
1831	1089
1830	936
1829	1129
1828	1257
1827	1243
1826	1223
1825	826
1824	1195
1823	1262
1822	785
1821	1040
1820	1139
1819	1280
1818	958
1817	940
1816	1014
1815	801
1814	960
1813	871
1812	695
1811	781
1810	807
1809	900
1808	934
1807	869
1806	757
1805	1307
1804	1186
1803	902
1802	1230
1801	1325
1800	1143
1799	1449
1798	1538
1797	1226
1796	1436
1795	1170
1794	1137
1793	1136
1792	1065
1791	1022
1790	1052
1789	1079
1788	956
1787	1067
1786	744
1785	824
1784	677
1783	769
1782	687
1781	734
1780	1116
1779	1011
1778	1165
1777	1231
1776	1228
1775	1236
1774	1275
1773	1000
1772	759
1771	704
1770	729
1769	662
1768	865
1767	1113
1766	1265
1765	1048
1764	782
1763	910
1762	1183
1761	1078
1760	897
1759	881
1758	1021
1757	897
1756	812
1755	1089
1754	976
1753	1137
1752	1226
1751	1137
1750	1293
1749	1087
1748	1063
1747	788
1746	833
1745	877
1744	993
1743	762
1742	839
1741	542
1740	718
1739	879
1738	901
1737	724
1736	1204
1735	1057
1734	799
1733	952
1732	1049
1731	1014
1730	1248
1729	892
1728	674
1727	780
1726	829
1725	990
1724	972
1723	803
1722	1023
1721	972
1720	779
1719	671
1718	785
1717	864
1716	901
1715	878
1714	667
1713	1101
1712	1189
1711	1247
1710	1187
1709	957
1708	1130
1707	1443
1706	905
1705	881
1704	1511
1703	1417
1702	1264
1701	1061
1700	1221
1699	1132
1698	1171
1697	900
1696	849
1695	875
1694	1066
1693	1150
1692	1148
1691	965
1690	855
1689	1004
1688	812
1687	766
1686	893
1685	1248
1684	1011
1683	995
1682	1015
1681	690
1680	485
1679	789
1678	1055
1677	1098
1676	999
1675	884
1674	988
1673	961
1672	959
1671	1024
1670	994
1669	1044
1668	1375
1667	1114
1666	1115
1665	1112
1664	1087
1663	1081
1662	1078
1661	1090
1660	1340
1659	1221
1658	1486
1657	1171
1656	1374
1655	1375
1654	1131
1653	964
1652	975
1651	1212
1650	1021
1649	1108
1648	1097
1647	954
1646	860
1645	519
1644	587
1643	858
1642	685
1641	671
1640	1241
1639	1251
1638	1019
1637	991
1636	1018
1635	823
1634	1162
1633	819
1632	1165
1631	1114
1630	787
1629	1136
1628	1008
1627	1146
1626	1292
1625	1108
1624	1142
1623	1113
1622	964
1621	987
1620	686
1619	785
1618	890
1617	846
1616	557
1615	552
1614	747
1613	923
1612	910
1611	969
1610	689
1609	567
1608	737
1607	570
1606	790
1605	440
1604	641
1603	883
1602	740
1601	661
1600	1241
1599	1292
1598	1034
1597	1007
1596	1218
1595	1269
1594	1318
1593	891
1592	714
1591	794
1590	801
1589	919
1588	748
1587	964
1586	1199
1585	1184
1584	1333
1583	1490
1582	1298
1581	1076
1580	819
1579	1160
1578	942
1577	941
1576	995
1575	859
1574	836
1573	1048
1572	956
1571	969
1570	1229
1569	1074
1568	726
1567	676
1566	923
1565	978
1564	790
1563	965
1562	1260
1561	1017
1560	1152
1559	1129
1558	1047
1557	900
1556	939
1555	892
1554	989
1553	1052
1552	1040
1551	1092
