# Archive/proxy
#	Ice core
#--------------------
# Contribution Date
#	Date: 2012-03-13 18:09:49
#--------------------
# Title
#	Study Name: Longyearbyen Svalbard Ice core d18O
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Divine, Dmitry and Isaksson, Elisabeth and Martma, Tonu and Meijer, Harro A.J. and Moore, John and Pohjola, Veijo and van de Wal, Roderik S.W. and Godtliebsen, Fred
#	Journal Name: Polar Research
#	Published Title: Thousand years of winter surface air temperature variations in Svalbard and northern Norway reconstructed from ice-core data
#	Published Date: 2011
#	DOI: 10.3402/polar.v30i0.7379
#	Abstract: Two isotopic ice core records from western Svalbard are calibrated to reconstruct more than 1000 years of past winter surface air temperature variations in Longyearbyen, Svalbard, and Vard\o, northern Norway. Analysis of the derived reconstructions suggests that the climate evolution of the last millennium in these study areas comprises three major sub-periods. The cooling stage in Svalbard (ca. 800-1800) is characterized by a progressive winter cooling of approximately 0.9°C century-1 (0.3°C century-1 for Vard\o) and a lack of distinct signs of abrupt climate transitions. This makes it difficult to associate the onset of the Little Ice Age in Svalbard with any particular time period. During the 1800s, which according to our results was the coldest century in Svalbard, the winter cooling associated with the Little Ice Age was on the order of 4°C (1.3°C for Vard\o) compared to the 1900s. The rapid warming that commenced at the beginning of the 20th century was accompanied by a parallel decline in sea-ice extent in the study area. However, both the reconstructed winter temperatures as well as indirect indicators of summer temperatures suggest the Medieval period before the 1200s was at least as warm as at the end of the 1990s in Svalbard.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: North Atlantic
#	Country: Svalbard
#	Northmost Latitude: 78.25
# 	Southmost Latitude: 78.25
# 	Eastmost Longitute: 15.5
# 	Westmost Longitute: 15.5
# 	Elevation: 
#------------------
# Data Collection  
#	Core Name: Longyearbyen
#	First Year: 769
#	Last Year: 1997
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>ice core>reconstruction
#----------------
# Variables 
#	age_AD	Age (years AD)
#	temp	Temperature (C)
# 
age_AD	temp
1997	-23.7938
1996	-10.8787
1995	-10.1687
1994	-19.9422
1993	-14.9119
1992	-15.2181
1991	-13.7183
1990	-16.9614
1989	-12.9846
1988	-13.7709
1987	-10.9121
1986	-11.0541
1985	-14.743
1984	-15.0652
1983	-13.5626
1982	-16.301
1981	-13.6822
1980	-8.10567
1979	-10.8833
1978	-14.2252
1977	-15.491
1976	-12.4848
1975	-14.4353
1974	-14.9086
1973	-12.2883
1972	-12.764
1971	-8.76112
1970	-14.2445
1969	-11.5017
1968	-15.1457
1967	-15.7838
1966	-22.2886
1965	-19.042
1964	-22.7989
1963	-14.4113
1962	-17.9993
1961	-17.9887
1960	-14.0249
1959	-12.9356
1958	-17.8294
1957	-13.6498
1956	-12.3863
1955	-15.8726
1954	-13.1469
1953	-18.2014
1952	-8.50211
1951	-12.1314
1950	-9.59316
1949	-9.04701
1948	-19.6621
1947	-14.2144
1946	-13.4739
1945	-16.2142
1944	-17.0297
1943	-17.5251
1942	-13.5944
1941	-15.0453
1940	-11.8435
1939	-12.4347
1938	-12.9351
1937	-12.1218
1936	-9.38183
1935	-12.286
1934	-13.8511
1933	-14.5446
1932	-8.52099
1931	-7.78928
1930	-11.8828
1929	-8.66598
1928	-12.2521
1927	-11.3049
1926	-12.0603
1925	-12.3011
1924	-9.30934
1923	-6.50707
1922	-12.5511
1921	-14.5492
1920	-18.4796
1919	-18.7499
1918	-21.4835
1917	-12.5585
1916	-15.8774
1915	-17.45
1914	-14.7085
1913	-13.899
1912	-14.5537
1911	-18.8863
1910	-11.5275
1909	-13.5977
1908	-12.5751
1907	-12.2617
1906	-12.5171
1905	-14.1044
1904	-13.9828
1903	-12.6116
1902	-12.243
1901	-14.4993
1900	-15.9106
1899	-15.9288
1898	-16.9761
1897	-13.2749
1896	-14.7462
1895	-13.2984
1894	-13.97
1893	-15.1449
1892	-14.5899
1891	-16.6033
1890	-18.4983
1889	-16.9199
1888	-18.4894
1887	-17.3813
1886	-19.5337
1885	-18.0677
1884	-15.6796
1883	-13.3009
1882	-18.5
1881	-18.8541
1880	-21.5718
1879	-22.1385
1878	-22.0204
1877	-23.5299
1876	-19.7346
1875	-15.7785
1874	-14.0911
1873	-15.7762
1872	-16.5178
1871	-21.6574
1870	-19.0288
1869	-23.8349
1868	-19.4429
1867	-14.7337
1866	-15.4748
1865	-13.4886
1864	-12.6191
1863	-14.8427
1862	-22.3923
1861	-13.7019
1860	-12.8184
1859	-12.8127
1858	-18.9
1857	-21.9683
1856	-14.3792
1855	-14.5917
1854	-25.8919
1853	-23.3592
1852	-22.8971
1851	-23.6791
1850	-16.6303
1849	-28.2977
1848	-19.7006
1847	-15.7176
1846	-19.1592
1845	-15.2836
1844	-14.5537
1843	-13.4748
1842	-15.4961
1841	-13.1276
1840	-16.4558
1839	-18.9999
1838	-19.4705
1837	-16.5619
1836	-15.8971
1835	-13.0246
1834	-12.7051
1833	-14.124
1832	-13.199
1831	-15.5323
1830	-18.398
1829	-15.43
1828	-16.2375
1827	-19.2679
1826	-20.233
1825	-15.4795
1824	-26.721
1823	-20.6438
1822	-20.6686
1821	-14.7299
1820	-22.2061
1819	-17.6255
1818	-15.7294
1817	-11.9225
1816	-15.6824
1815	-17.2807
1814	-18.1126
1813	-15.0873
1812	-17.3801
1811	-14.6401
1810	-15.6578
1809	-15.5739
1808	-15.9318
1807	-16.5955
1806	-16.1712
1805	-19.1275
1804	-17.2718
1803	-20.9579
1802	-17.0968
1801	-16.3803
1800	-16.1123
1799	-17.365
1798	-18.9191
1797	-19.7878
1796	-17.7875
1795	-17.0433
1794	-14.8942
1793	-17.843
1792	-15.8064
1791	-17.5621
1790	-17.7664
1789	-18.7439
1788	-16.7443
1787	-21.1754
1786	-19.8442
1785	-22.4259
1784	-20.8908
1783	-17.5576
1782	-14.3503
1781	-17.1883
1780	-14.7638
1779	-17.6951
1778	-20.8254
1777	-19.5262
1776	-17.8996
1775	-15.5708
1774	-16.0783
1773	-15.2446
1772	-18.318
1771	-15.3216
1770	-14.1369
1769	-16.1831
1768	-19.6757
1767	-17.7773
1766	-23.2701
1765	-15.2374
1764	-11.2375
1763	-11.1624
1762	-13.5569
1761	-16.3803
1760	-16.0488
1759	-18.3674
1758	-18.0061
1757	-14.6813
1756	-10.2366
1755	-9.75185
1754	-15.2763
1753	-17.1747
1752	-19.3404
1751	-14.1958
1750	-14.889
1749	-17.233
1748	-18.0295
1747	-17.9835
1746	-16.1861
1745	-19.9983
1744	-15.8195
1743	-14.3838
1742	-14.0795
1741	-10.7765
1740	-14.4404
1739	-16.1168
1738	-15.1314
1737	-15.9559
1736	-17.9489
1735	-14.99
1734	-14.2297
1733	-11.8164
1732	-14.642
1731	-14.3611
1730	-15.3141
1729	-18.2043
1728	-13.3085
1727	-16.3719
1726	-20.2873
1725	-18.2128
1724	-20.6317
1723	-11.0414
1722	-7.27277
1721	-12.0605
1720	-6.07288
1719	-14.8776
1718	-15.2054
1717	-13.8071
1716	-15.8671
1715	-12.5386
1714	-18.4966
1713	-18.27
1712	-18.0454
1711	-16.8787
1710	-17.2359
1709	-15.8895
1708	-16.5495
1707	-14.365
1706	-12.7837
1705	-15.6964
1704	-14.8973
1703	-12.6764
1702	-13.5124
1701	-20.3077
1700	-16.2756
1699	-15.0462
1698	-14.9516
1697	-14.7058
1696	-17.2728
1695	-14.5961
1694	-18.7051
1693	-16.9731
1692	-12.9083
1691	-11.839
1690	-14.6035
1689	-11.9372
1688	-12.9355
1687	-14.6753
1686	-16.8927
1685	-12.8116
1684	-16.0813
1683	-15.6841
1682	-15.3602
1681	-13.6
1680	-16.3854
1679	-15.2703
1678	-17.513
