# Archive/proxy
#	Ice core
#--------------------
# Contribution Date
#	Date: 2012-03-13 18:09:49
#--------------------
# Title
#	Study Name: Longyearbyen Svalbard Ice core d18O
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Divine, Dmitry and Isaksson, Elisabeth and Martma, Tonu and Meijer, Harro A.J. and Moore, John and Pohjola, Veijo and van de Wal, Roderik S.W. and Godtliebsen, Fred
#	Journal Name: Polar Research
#	Published Title: Thousand years of winter surface air temperature variations in Svalbard and northern Norway reconstructed from ice-core data
#	Published Date: 2011
#	DOI: 10.3402/polar.v30i0.7379
#	Abstract: Two isotopic ice core records from western Svalbard are calibrated to reconstruct more than 1000 years of past winter surface air temperature variations in Longyearbyen, Svalbard, and Vard\o, northern Norway. Analysis of the derived reconstructions suggests that the climate evolution of the last millennium in these study areas comprises three major sub-periods. The cooling stage in Svalbard (ca. 800-1800) is characterized by a progressive winter cooling of approximately 0.9°C century-1 (0.3°C century-1 for Vard\o) and a lack of distinct signs of abrupt climate transitions. This makes it difficult to associate the onset of the Little Ice Age in Svalbard with any particular time period. During the 1800s, which according to our results was the coldest century in Svalbard, the winter cooling associated with the Little Ice Age was on the order of 4°C (1.3°C for Vard\o) compared to the 1900s. The rapid warming that commenced at the beginning of the 20th century was accompanied by a parallel decline in sea-ice extent in the study area. However, both the reconstructed winter temperatures as well as indirect indicators of summer temperatures suggest the Medieval period before the 1200s was at least as warm as at the end of the 1990s in Svalbard.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: North Atlantic
#	Country: Svalbard
#	Northmost Latitude: 78.25
# 	Southmost Latitude: 78.25
# 	Eastmost Longitute: 15.5
# 	Westmost Longitute: 15.5
# 	Elevation: 
#------------------
# Data Collection  
#	Core Name: Longyearbyen
#	First Year: 769
#	Last Year: 1997
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>ice core>reconstruction
#----------------
# Variables 
#	age_AD	Age (years AD)
#	temp	Temperature (C)
# 
age_AD	temp
1677	-17.4035
1676	-20.5486
1675	-17.1682
1674	-15.4814
1673	-13.603
1672	-15.4848
1671	-13.7893
1670	-17.826
1669	-21.5661
1668	-16.2106
1667	-20.1106
1666	-14.9631
1665	-15.0407
1664	-13.7557
1663	-13.9418
1662	-15.5104
1661	-12.0396
1660	-12.8614
1659	-14.0394
1658	-14.5598
1657	-18.6789
1656	-16.3433
1655	-15.3358
1654	-14.3823
1653	-18.3011
1652	-17.9325
1651	-17.3682
1650	-10.5381
1649	-11.2289
1648	-11.1956
1647	-13.2293
1646	-17.1027
1645	-11.5
1644	-12.8246
1643	-16.033
1642	-13.2617
1641	-15.0641
1640	-20.1197
1639	-19.0305
1638	-14.983
1637	-17.5988
1636	-21.2599
1635	-22.5663
1634	-16.9807
1633	-19.9543
1632	-16.0563
1631	-18.7795
1630	-18.0038
1629	-15.9086
1628	-12.5378
1627	-13.9234
1626	-14.6366
1625	-11.9135
1624	-15.1978
1623	-13.765
1622	-14.1799
1621	-11.5928
1620	-11.668
1619	-13.4312
1618	-13.0397
1617	-13.3262
1616	-14.2584
1615	-11.8934
1614	-17.6131
1613	-17.109
1612	-17.5719
1611	-16.6378
1610	-12.2928
1609	-14.9841
1608	-16.7284
1607	-15.7362
1606	-17.0146
1605	-18.3006
1604	-15.0407
1603	-18.1556
1602	-15.6592
1601	-18.978
1600	-19.6191
1599	-17.1543
1598	-14.1527
1597	-15.4259
1596	-20.7155
1595	-14.1074
1594	-13.5161
1593	-15.675
1592	-14.3928
1591	-17.0705
1590	-17.7388
1589	-14.5899
1588	-16.8802
1587	-15.5165
1586	-13.9013
1585	-15.5278
1584	-13.9896
1583	-13.9602
1582	-18.142
1581	-14.8731
1580	-15.1993
1579	-11.978
1578	-13.353
1577	-10.2427
1576	-14.6126
1575	-14.6013
1574	-14.2818
1573	-17.5598
1572	-18.0967
1571	-18.287
1570	-14.4699
1569	-8.44623
1568	-8.23329
1567	-13.532
1566	-8.46436
1565	-13.1816
1564	-14.2705
1563	-11.5815
1562	-9.06695
1561	-12.4265
1560	-17.399
1559	-16.1825
1558	-18.355
1557	-16.3365
1556	-11.176
1555	-14.7689
1554	-15.5165
1553	-10.5568
1552	-14.7326
1551	-13.5003
1550	-7.80513
1549	-13.9398
1548	-12.755
1547	-13.097
1546	-12.0731
1545	-11.9553
1544	-10.9699
1543	-14.744
1542	-16.6627
1541	-9.42714
1540	-13.0744
1539	-12.7867
1538	-13.1831
1537	-13.3349
1536	-15.5323
1535	-15.0317
1534	-14.7644
1533	-14.0304
1532	-8.84041
1531	-11.0265
1530	-11.6495
1529	-13.0155
1528	-15.5006
1527	-12.5715
1526	-14.6284
1525	-13.3806
1524	-11.3255
1523	-9.73976
1522	-9.03976
1521	-12.6009
1520	-12.6394
1519	-10.6935
1518	-11.7333
1517	-13.6815
1516	-11.4705
1515	-11.8602
1514	-14.8595
1513	-11.3391
1512	-13.267
1511	-17.066
1510	-13.9081
1509	-13.5864
1508	-14.2116
1507	-12.2634
1506	-14.4925
1505	-16.7216
1504	-15.9605
1503	-15.589
1502	-14.3951
1501	-12.653
1500	-15.0634
1499	-11.9462
1498	-12.4537
1497	-12.2792
1496	-11.3799
1495	-12.7867
1494	-12.8275
1493	-13.4369
1492	-11.8103
1491	-14.5378
1490	-13.3372
1489	-13.9171
1488	-13.2964
1487	-17.4058
1486	-14.8686
1485	-14.5424
1484	-13.8084
1483	-12.2136
1482	-12.8365
1481	-12.4174
1480	-11.9077
1479	-12.4718
1478	-9.49963
1477	-11.9915
1476	-14.4019
1475	-10.9948
1474	-13.2035
1473	-13.4731
1472	-13.2103
1471	-14.6352
1470	-13.5048
1469	-11.2304
1468	-10.0614
1467	-14.0802
1466	-15.5663
1465	-16.486
1464	-12.9883
1463	-12.2271
1462	-11.6155
1461	-9.8485
1460	-9.72617
1459	-11.7763
1458	-14.4336
1457	-12.064
1456	-12.2249
1455	-13.0835
1454	-18.8602
1453	-14.2207
1452	-13.2194
1451	-9.84397
1450	-11.0537
1449	-12.3495
1448	-12.6213
1447	-12.3359
1446	-12.0504
1445	-12.2186
1444	-12.5579
1443	-13.0321
1442	-13.6498
1441	-14.4351
1440	-12.4106
1439	-12.2815
1438	-10.3499
1437	-13.1514
1436	-15.3466
1435	-12.9944
1434	-11.9553
1433	-11.4796
1432	-12.4152
1431	-10.3061
1430	-9.53367
1429	-9.03523
1428	-8.71581
1427	-8.46919
1426	-8.35335
1425	-10.3152
1424	-10.4307
1423	-13.0291
1422	-13.9579
1421	-10.1294
1420	-8.46209
1419	-10.6187
1418	-10.9631
1417	-11.8919
1416	-13.4958
1415	-10.6142
1414	-12.0233
1413	-13.6906
1412	-9.76695
1411	-11.031
1410	-14.2886
1409	-15.2582
1408	-10.9404
1407	-13.1514
1406	-13.7721
1405	-13.7087
1404	-12.7776
1403	-15.5165
1402	-14.2252
1401	-13.4006
1400	-12.875
1399	-12.8886
1398	-14.2524
1397	-13.2556
1396	-14.8731
1395	-9.9663
1394	-12.798
1393	-13.976
1392	-13.9307
1391	-12.8886
1390	-12.8161
1389	-10.5372
1388	-11.1669
1387	-16.8304
1386	-15.7113
1385	-13.7404
1384	-10.3967
1383	-11.7741
1382	-12.3087
1381	-13.9941
1380	-13.2284
1379	-13.1327
1378	-13.0902
1377	-13.0155
1376	-12.6547
1375	-12.0158
1374	-11.4067
1373	-11.1352
1372	-11.5611
1371	-12.576
1370	-11.543
1369	-9.98895
1368	-10.3701
1367	-10.9676
1366	-11.4571
1365	-11.9128
1364	-12.1139
1363	-12.0509
1362	-11.8898
1361	-11.6719
1360	-11.4388
1359	-11.1443
1358	-12.3359
1357	-13.097
1356	-13.5174
1355	-13.7087
1354	-13.5093
1353	-13.2466
1352	-12.0504
1351	-12.2317
1350	-12.1842
1349	-12.0799
1348	-11.9755
1347	-11.9281
1346	-12.0107
1345	-12.2171
1344	-12.4854
1343	-12.7537
1342	-12.9601
1341	-13.0427
1340	-10.5598
1339	-11.1171
1338	-12.277
1337	-10.886
1336	-12.0084
1335	-13.2964
1334	-13.5846
1333	-13.7728
1332	-13.8401
1331	-13.5931
1330	-12.9756
1329	-12.1728
1328	-11.37
1327	-10.7525
1326	-10.5055
1325	-10.7838
1324	-11.3009
1323	-11.5792
1322	-11.4932
1321	-10.433
1320	-11.6653
1319	-12.8977
1318	-12.8705
1317	-12.7834
1316	-12.632
1315	-12.4643
1314	-12.3284
1313	-12.2725
1312	-12.2838
1311	-12.316
1310	-12.3664
1309	-12.4323
1308	-12.5111
1307	-12.6001
1306	-12.6966
1305	-12.798
1304	-12.9638
1303	-13.2196
1302	-13.5118
1301	-13.7868
1300	-13.9911
1299	-14.0712
1298	-14.0556
1297	-14.0032
1296	-12.7844
1295	-11.5974
1294	-9.84203
1293	-8.72941
1292	-10.1022
1291	-10.1747
1290	-9.38183
1289	-9.45433
1288	-11.16
1287	-12.8025
1286	-12.8019
1285	-12.7998
1284	-12.7961
1283	-12.7909
1282	-12.7839
1281	-12.7751
1280	-12.7644
1279	-12.7517
1278	-12.7369
1277	-12.7199
1276	-12.7006
1275	-12.6788
1274	-12.6547
1273	-12.6279
1272	-12.5984
1271	-12.5662
1270	-12.5311
1269	-12.493
1268	-12.4518
1267	-12.4075
1266	-12.3599
1265	-12.309
1264	-12.2546
1263	-12.1967
1262	-12.1351
1261	-12.0698
1260	-12.0006
1259	-11.6803
1258	-11.068
1257	-10.4734
1256	-10.2064
1255	-11.3301
1254	-11.7197
1253	-11.3301
1252	-10.9404
1251	-10.9699
1250	-10.9993
1249	-10.8271
1248	-11.2213
1247	-11.6155
1246	-9.97989
1245	-11.2508
1244	-12.5216
1243	-11.808
1242	-10.5372
1241	-8.9877
1240	-7.99542
1239	-9.30028
1238	-10.6051
1237	-10.4784
1236	-10.1996
1235	-9.92085
1234	-9.79413
1233	-9.88262
1232	-10.0773
1231	-10.272
1230	-10.3605
1229	-9.44526
1228	-9.46344
1227	-9.5139
1226	-9.59054
1225	-9.68724
1224	-9.79792
1223	-9.91646
1222	-10.1194
1221	-10.429
1220	-10.7582
1219	-11.0196
1218	-11.1262
1217	-11.0775
1216	-10.9495
1215	-10.1237
1214	-9.3773
1213	-9.94484
1212	-11.1497
1211	-12.2453
1210	-12.9535
1209	-13.6226
1208	-14.5418
1207	-15.1042
1206	-15.0891
1205	-15.0453
1204	-14.9746
1203	-14.8791
1202	-14.7608
1201	-14.6217
1200	-14.4636
1199	-14.2887
1198	-14.099
1197	-13.8963
1196	-13.6826
1195	-13.4601
1194	-13.2306
1193	-12.9961
1192	-12.7587
1191	-12.5202
1190	-12.2828
1189	-12.0483
1188	-11.8188
1187	-11.5962
1186	-11.3826
1185	-11.1799
1184	-10.9901
1183	-10.8152
1182	-10.6572
1181	-10.5181
1180	-10.3998
1179	-10.3043
1178	-10.2336
1177	-10.1898
1176	-10.1747
1175	-10.2307
1174	-10.3806
1173	-10.5976
1172	-10.8549
1171	-11.1256
1170	-11.3829
1169	-11.5999
1168	-11.7498
1167	-11.8058
1166	-11.5212
1165	-10.8409
1164	-10.0245
1163	-9.332
1162	-8.85541
1161	-8.33976
1160	-7.35059
1159	-6.67245
1158	-6.99713
1157	-7.84134
1156	-9.01031
1155	-11.2983
1154	-11.0835
1153	-10.5466
1152	-9.8485
1151	-9.15043
1150	-8.61345
1149	-8.39866
1148	-8.45036
1147	-8.5837
1146	-8.76601
1145	-8.96465
1144	-9.14696
1143	-9.2803
1142	-9.332
1141	-9.22275
1140	-9.01988
1139	-8.91064
1138	-9.9731
1137	-11.0356
1136	-9.91193
1135	-8.78831
1134	-8.8629
1133	-9.05359
1132	-9.31074
1131	-9.5847
1130	-9.82585
1129	-10.0321
1128	-10.2358
1127	-10.4385
1126	-10.642
1125	-10.848
1124	-11.0581
1123	-11.2741
1122	-11.4977
1121	-11.7795
1120	-12.1033
1119	-12.37
1118	-12.4809
1117	-11.9281
1116	-10.8206
1115	-9.98442
1114	-9.5735
1113	-9.25566
1112	-9.12811
1111	-9.66274
1110	-10.1974
1109	-9.7839
1108	-9.01602
1107	-8.60255
1106	-9.14422
1105	-10.1853
1104	-10.8498
1103	-10.9749
1102	-11.0718
1101	-11.2483
1100	-11.4425
1099	-11.5339
1098	-11.3663
1097	-11.1987
1096	-11.4569
1095	-11.7152
1094	-11.1941
1093	-10.6731
1092	-11.3321
1091	-12.5559
1090	-13.2148
1089	-12.5534
1088	-12.2282
1087	-11.9409
1086	-11.6881
1085	-11.4663
1084	-11.2721
1083	-11.1021
1082	-10.953
1081	-10.8212
1080	-10.7035
1079	-10.5964
1078	-10.4964
1077	-10.399
1076	-10.3029
1075	-10.2094
1074	-10.1199
1073	-10.0357
1072	-9.95824
1071	-9.88893
1070	-9.82913
1069	-9.78021
1068	-9.74356
1067	-9.72055
1066	-9.71258
1065	-9.8782
1064	-10.1858
1063	-10.3514
1062	-10.2602
1061	-10.0613
1060	-9.86662
1059	-9.7208
1058	-9.57885
1057	-9.41808
1056	-9.1607
1055	-8.99219
1054	-9.1837
1053	-9.56952
1052	-9.86662
1051	-9.98894
1050	-10.0782
1049	-10.1928
1048	-10.3874
1047	-10.635
1046	-10.8725
1045	-11.1202
1044	-11.359
1043	-11.466
1042	-11.4022
1041	-11.2396
1040	-11.0215
1039	-10.7909
1038	-10.5454
1037	-10.2397
1036	-9.85303
1035	-9.10803
1034	-8.1792
1033	-7.72358
1032	-7.79093
1031	-7.97831
1030	-8.26373
1029	-8.6252
1028	-9.7186
1027	-11.349
1026	-12.2181
1025	-12.2664
1024	-12.3003
1023	-12.3203
1022	-12.3268
1021	-11.6712
1020	-10.3199
1019	-9.19607
1018	-8.50456
1017	-7.88218
1016	-7.40024
1015	-7.13005
1014	-7.00181
1013	-6.91088
1012	-6.87633
1011	-6.90642
1010	-6.98903
1009	-7.11271
1008	-7.26597
1007	-7.60026
1006	-8.11602
1005	-8.57536
1004	-8.90165
1003	-9.1903
1002	-9.46145
1001	-9.73523
1000	-10.0651
999	-10.4244
998	-10.7132
997	-10.8317
996	-10.7411
995	-10.5417
994	-10.3424
993	-10.2517
992	-10.2526
991	-10.2552
990	-10.2594
989	-10.2653
988	-10.4613
987	-10.9391
986	-11.5534
985	-12.1592
984	-12.7519
983	-13.4084
982	-14.1052
981	-14.8187
980	-15.7026
979	-16.7185
978	-17.556
977	-17.9042
976	-17.8298
975	-17.6353
974	-17.3634
973	-17.0569
972	-16.5978
971	-15.928
970	-15.1801
969	-14.4868
968	-13.9805
967	-13.6409
966	-13.3539
965	-13.1117
964	-12.9068
963	-12.7352
962	-12.5901
961	-12.4592
960	-12.3302
959	-12.1909
958	-12.011
957	-11.8085
956	-11.6431
955	-11.5747
954	-11.6185
953	-11.723
952	-11.8478
951	-11.9523
950	-11.9961
949	-11.8779
948	-11.5857
947	-11.213
946	-10.8535
945	-10.6006
944	-10.4498
943	-10.3262
942	-10.2177
941	-10.1123
940	-9.99802
939	-9.87777
938	-9.75955
937	-9.63894
936	-9.51149
935	-9.37277
934	-9.21471
933	-9.0386
932	-8.85408
931	-8.67078
930	-8.49834
929	-8.33166
928	-8.16405
927	-8.00276
926	-7.85503
925	-7.72811
924	-7.60796
923	-7.48647
922	-7.37975
921	-7.3039
920	-7.27504
919	-7.30661
918	-7.38189
917	-7.47174
916	-7.54703
915	-7.5786
914	-7.54054
913	-7.44052
912	-7.29972
911	-7.13934
910	-6.98057
909	-6.84461
908	-6.71052
907	-6.56067
906	-6.42123
905	-6.31837
904	-6.27827
903	-6.35688
902	-6.55823
901	-6.83055
900	-7.12211
899	-7.38115
898	-7.55594
897	-7.67174
896	-7.78098
895	-7.87264
894	-7.93571
893	-7.95918
892	-7.95057
891	-7.92762
890	-7.89459
889	-7.85578
888	-7.81547
887	-7.77795
886	-7.73573
885	-7.68367
884	-7.62959
883	-7.5813
882	-7.54659
881	-7.53329
880	-7.62985
879	-7.88235
878	-8.23504
877	-8.63214
876	-9.01789
875	-9.33653
874	-9.62798
873	-9.94577
872	-10.2545
871	-10.5189
870	-10.7034
869	-10.7728
868	-10.6872
867	-10.4666
866	-10.1651
865	-9.83714
864	-9.53682
863	-9.3184
862	-9.1738
861	-9.05293
860	-8.94704
859	-8.84738
858	-8.74521
857	-8.63178
856	-8.49834
855	-8.31145
854	-8.06988
853	-7.81316
852	-7.58083
851	-7.41244
850	-7.34753
849	-7.36597
848	-7.41529
847	-7.48648
846	-7.57052
845	-7.65841
844	-7.74113
843	-7.80966
842	-7.87293
841	-7.94206
840	-8.01136
839	-8.07515
838	-8.12775
837	-8.16348
836	-8.17665
835	-8.13037
834	-8.00499
833	-7.82071
832	-7.59773
831	-7.35625
830	-7.11646
829	-6.81134
828	-6.39807
827	-5.93318
826	-5.47319
825	-5.07465
824	-4.79407
823	-4.68798
822	-4.72095
821	-4.80677
820	-4.92577
819	-5.0583
818	-5.18468
817	-5.28527
816	-5.34041
815	-5.36526
814	-5.38789
813	-5.40797
812	-5.42516
811	-5.43911
810	-5.44949
809	-5.45597
808	-5.45821
807	-5.43687
806	-5.38186
805	-5.30663
804	-5.22467
803	-5.14944
802	-5.09443
801	-5.07309
800	-5.13558
799	-5.30034
798	-5.53326
797	-5.80028
796	-6.06729
795	-6.30022
794	-6.46497
793	-6.52746
792	-6.51335
791	-6.47495
790	-6.41816
789	-6.34891
788	-6.27309
787	-6.19661
786	-6.12539
785	-6.06533
784	-6.00987
783	-5.95054
782	-5.89031
781	-5.83216
780	-5.7791
779	-5.73409
778	-5.70014
777	-5.68021
776	-5.66876
775	-5.65832
774	-5.64905
773	-5.64112
772	-5.63467
771	-5.62987
770	-5.62688
769	-5.62584
