PAGES ID,Arc_1,Arc_2,Arc_3,Arc_4,Arc_5,Arc_6,Arc_7,Arc_8,Arc_9,Arc_10,Arc_11,Arc_12,Arc_13,Arc_14,Arc_15,Arc_16,Arc_17,Arc_18,Arc_19,Arc_20,Arc_21,Arc_22,Arc_23,Arc_24,Arc_25,Arc_26,Arc_27,Arc_28,Arc_29,Arc_30,Arc_31,Arc_32,Arc_33,Arc_34,Arc_35,Arc_36,Arc_37,,Arc_38,,Arc_39,,Arc_40,,Arc_41,,Arc_42,,Arc_43,,Arc_44,,Arc_45,,Arc_46,,Arc_47,,Arc_48,,Arc_49,,Arc_50,,Arc_51,,Arc_52,,Arc_53,,Arc_54,,Arc_55,,Arc_56,,Arc_57,,Arc_58,,Arc_59,
Year C.E.,Bird2009,Briffa2008 Ava,Briffa2008 Yam,Cook2009,Dansgaard1969,DArrigo2005,DArrigo2006 GOA,DArrigo2006 Yuk,DArrigo2009 Cop,Esper2002,Grootes1997,Grudd2008,Gunnarson2011,HaltiaHovi2007,Helama2010,Hughes1999,Isaksson2001 Lom,Isaksson2005 Aus,Kirchhefer2001 For,Lamoureux1996,Lapointe2012,Larsen2011,Loso2006,MacDonald1998,Moore2001,Ojala2005,Schwager2000 B16,Schwager2000 B18,Schwager2000 B21,Thomas2008,Tiljander2003,Vinther2006 NGRIP,Vinther2008 Aga,Vinther2010 Cre,Vinther2010 Dye,Vinther2010 GRI,Bergthorsson1969,Sample support,Berner2011,Sample support,Calvo2002,Sample support,Clegg2010,Sample support,Clegg2011 Hud,Sample support,Clegg2011 Scr,Sample support,DAndrea2011,Sample support,Fisher1983,Sample support,Fisher1998,Sample support,Gonyo2012,Sample support,Jiang2005 Sum,Sample support,Kaufman2012,Sample support,Linge2009,Sample support,Luoto2009,Sample support,Luoto2010,Sample support,Massa2012,Sample support,Okuyama2003,Sample support,Rolland2009,Sample support,Serjup2011,Sample support,Sha2011,Sample support,Sicre2011,Sample support,Spielhagen2011,Sample support,Vinther2008 Ren,Sample support
0,,362,,0.02948,,,,,,,,,,,12.2523,,,,,0.58332523,,0.203,,,,3550,,,,,65.903,-34.16,-27.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,399,886,0.03505,,,,,,,,,,1.3,11.981,,,,,0.78649816,,0.256,,,,3127,,,,,69.16,-33.69,-27.97,,-27.91,-37.72,,,,,,,,,,,,,,,-27.26,5,,,,,,,,,,,,,,,,,,,,,,,,,8.8,5,,,,
2,,693,752,0.03154,,,,,,,,,,0.84,14.4406,,,,,1.54347074,,0.253,,,,4101,,,,,77.826,-36.28,-27.97,,-28.34,-39.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,727,892,0.06077,,,,,,,,,,0.43,14.6223,,,,,1.39605299,,0.226,,,,3366,,,,,72.276,-35.48,-28,,-27.76,-39.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.4,5
4,,1148,977,0.03252,,,,,,,,,,0.69,14.7098,,,,,2.23155505,,0.32,,,,3812,,,,,74.136,-34.06,-28,,-27.77,-39.44,,,10.0681,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,606,1130,0.03689,,,,,,,,,,0.51,13.0285,,,,,0.81602148,,0.353,,,,3337,,,,,76.962,-33.54,-28,,-28.17,-35.93,,,,,,,,,,,,,,,,,-24.4961,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,75,570,0.02868,,,,,,,,,,0.51,13.5503,,,,,1.33371692,,0.238,,,,4240,,,,,83.316,-34.71,-28,,-28.8,-35.93,,,,,,,,,,,15.9322,22.3076923077,,,-26.87,5,,,,,,,,,,,,,,,,,,,,,1.279,15.35,,,8.7,5,,,,
7,,620,811,0.02144,,,,,,,,,,0.56,14.4846,,,,,0.924079,,0.238,,,,3253,,,,,70.087,-36.81,-28,,-29.35,-38.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,597,570,0.01936,,,,,,,,,,1.02,13.0464,,,,,2.0905712,,0.244,,,,4426,,,,,62.571,-36.32,-28.52,,-27.96,-38.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,12.75,-27.77,5
