PAGES ID,Arc_1,Arc_2,Arc_3,Arc_4,Arc_5,Arc_6,Arc_7,Arc_8,Arc_9,Arc_10,Arc_11,Arc_12,Arc_13,Arc_14,Arc_15,Arc_16,Arc_17,Arc_18,Arc_19,Arc_20,Arc_21,Arc_22,Arc_23,Arc_24,Arc_25,Arc_26,Arc_27,Arc_28,Arc_29,Arc_30,Arc_31,Arc_32,Arc_33,Arc_34,Arc_35,Arc_36,Arc_37,,Arc_38,,Arc_39,,Arc_40,,Arc_41,,Arc_42,,Arc_43,,Arc_44,,Arc_45,,Arc_46,,Arc_47,,Arc_48,,Arc_49,,Arc_50,,Arc_51,,Arc_52,,Arc_53,,Arc_54,,Arc_55,,Arc_56,,Arc_57,,Arc_58,,Arc_59,
9,0.149,657,481,0.01325,,,,,,,,,,0.89,11.468,,,,,1.7073046,,0.244,,,,3764,,,,,71.65,-34.07,-29.3,,-27.41,-35.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,25,,,,,,,,,,,,
10,0.159,478,668,0.03245,,,,,,,,,,0.64,12.8218,,,,,1.09126314,,0.206,,,,3863,,,,,94.96,-34.67,-29.3,,-26.22,-36.06,,,,,11.1,17.9166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.159,747,517,0.08282,,,,,,,,,,0.58,12.8428,,,,,0.78324802,,0.218,,,,4373,,,,,69.538,-36.69,-29.3,,-27.52,-36.13,,,,,,,,,,,,,,,-26.6,5,,,,,,,,,,,,,,,,,,,,,,,,,7.8,5,,,,
12,0.169,722,718,0.01608,,,,,,,,,,0.56,12.2888,,,,,1.56650046,,0.235,,,,3694,,,,,65.789,-36.21,-29.3,,-28.45,-38.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.162,1001,638,0.0152,,,,,,,,,,0.46,12.2845,,,,,1.861815,,0.412,,,,3912,,,,,66.867,-36.35,-29.3,,-30.55,-38.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,24.6962915601,,,,,,,,,,,,,-26.14,5
14,0.224,816,1068,0.03259,,,,,,,,,,0.64,12.3975,,,,,0.98964716,,0.303,,,,3758,,,,,65.523,-34.02,-29.27,,-28.46,-37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.334,194,880,0.02561,,,,,,,,,,1.12,11.6729,,,,,0.81291722,,0.388,,,,4001,,,,,65.19,-35.47,-29.21,,-26.96,-35.63,,,,,,,,,,,,,,,,,,,,,7.9264,5.1102,,,,,,,,,,,,,,,,,,,,,,,,
16,0.084,685,300,0.01748,,,,,,,,,,0.74,12.2019,,,,,0.74413641,,0.388,,,,3463,,,,,73.955,-35.47,-29.21,,-28.22,-38.93,,,10.6027,11.1,,,,,,,,,,,-26.94,5,,,,,,,,,,,,,,,,,,,,,,,,,9.5,5.5,,,,
17,0.071,948,1618,0.04237,,,,,,,,,,0.51,12.4297,,,,,0.75043638,,0.212,,,,5943,,,,,69.724,-35.21,-29.21,,-29.17,-35.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.047,602,914,0.02287,,,,,,,,,,0.94,11.9521,,,,,0.99590655,,0.206,,,,2962,,,,,82.65,-36.07,-29.21,,-26.62,-40.21,,,,,,,,,,,,,,,,,,,,,,,31.5655,4.612775,-6.794904385,42.63,,,,,,,,,,,,,,,,,,,-26.52,5
19,0.052,928,1067,0.08562,,,,,,,,,,0.61,12.5126,,,,,0.95680383,,0.173,,,,3387,,,,,66.975,-36.04,-29.21,,-26.51,-36.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.076,795,977,0.03044,,,,,,,,,,0.84,12.7319,,,,,1.74942188,,0.247,,,,3215,,,,,66.914,-36.91,-28.37,,-28.15,-35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.056,82,1007,0.02003,,,,,,,,,,0.79,13.1577,,,,,0.58002131,,0.265,,,,4820,,,,,75.05,-36.75,-26.91,,-30.48,-37.74,,,,,,,14.08,68.22,,,,,,,-28.43,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.056,901,737,0.04977,,,,,,,,,,0.71,11.6777,,,,,1.01936811,,0.259,,,,3580,,,,,70.944,-34.94,-26.91,,-27.38,-36.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5.5,,,,
23,0.061,590,1262,0.01812,,,,,,,,,,0.74,13.1337,,,,,1.29141743,,0.194,,,,5325,,,,,80.756,-36.45,-26.91,,-28.8,-38.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.77,5
24,0.1,480,473,0.1756,,,,,,,,,,0.71,13.3008,,,,,0.65188654,,0.206,,,,3267,,,,,95.6,-36.51,-26.91,,-28.14,-37.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.074,681,1201,0.02369,,,,,,,,,,1.07,12.4894,,,,,0.72681277,,0.206,,,,4773,,,,,68.795,-35.75,-26.91,,-28.44,-37.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.115,432,1070,0.03678,,,,,,,,,,0.86,12.679,,,,,0.69086011,,0.244,,,,4154,,,,,92.667,-35,-26.71,,-29.38,-40.34,,,,,,,,,,,,,,,-28.59,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.381,691,798,0.03696,,,,,,,,,,0.71,13.4793,,,,,1.66514487,,0.268,,,,4067,,,,,87.789,-34.56,-26.44,,-27.43,-37.5,,,10.0339,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,5,,,,
28,0.108,742,1142,0.03281,,,,,,,,,,0.81,13.9866,,,,,0.78939643,,0.206,,,,4233,,,,,107.5,-35.31,-26.44,,-28.3,-35.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,15.35,,,,,,,-27.6,5
29,0.255,1025,499,0.02851,,,,,,,,,,0.84,12.9419,,,,,0.75347272,,0.209,,,,4525,,,,,94.174,-35.66,-26.44,,-26.74,-38.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.159,424,1294,0.0199,,,,,,,,,,0.51,12.9047,,,,,1.20504481,,0.276,,,,3316,,,,,63.435,-34.76,-26.44,,-29.71,-36.92,,,,,,,,,,,,,,,,,-23.7103,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.201,193,1177,0.02324,,,,,,,,,,0.74,14.0581,,,,,0.61591255,,0.235,,,,3702,,,,,75.956,-34.18,-26.44,,-28.77,-36.54,,,,,,,,,,,,,,,-27.55,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.156,1077,1379,0.06899,,,,,,,,,,0.94,13.2504,,,,,0.78632065,,0.156,,,,3390,,,,,72.621,-35.33,-26.96,,-28,-36.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,5,,,,
33,0.153,797,1685,0.02462,,,,,,,,,,0.74,14.345,,,,,0.54713296,,0.147,,,,3986,,,,,110.435,-33.93,-27.52,,-27.53,-35.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.85,5
34,0.146,305,1604,0.01465,,,,,,,,,,0.71,13.4096,,,,,0.77729242,,0.194,,,,4776,,,,,96.821,-34.29,-27.52,,-26.62,-33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.014,25,,,,,,,,,,,,
35,0.084,1089,1935,0.03158,,,,,,,,,,0.53,13.7878,,,,,0.90594042,,0.2,,,,5207,,,,,77.478,-35.02,-27.52,,-28.83,-35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.084,464,393,0.02036,,,,,,,,,,0.74,14.315,,,,,0.92681662,,0.174,,,,4658,,,,,78.033,-34.16,-27.52,,-30.62,-37.48,,,,,,,,,,,,,,,-27.51,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.062,403,1372,0.01938,,,,,,,,,,0.56,14.5935,,,,,0.71753161,,0.251,,,,5097,,,,,63.286,-35.28,-27.52,,-28.41,-38.49,,,,,,,,,,,,,-0.667,62,,,,,,,,,,,,,,,,,,,,,,,1.09,8.75,,,8.3,5,,,,
38,0.052,471,957,0.04106,,,,,,,,,,0.43,14.0996,,,,,0.69058172,,0.154,,,,3382,,,,,66.826,-33.58,-27.78,,-29.43,-35.98,,,10.1536,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.62,5
39,0.055,660,1425,0.06496,,,,,,,,,,0.69,13.6589,,,,,0.79221475,,0.112,,,,3963,,,,,69.091,-34.76,-27.99,,-28.49,-38.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.055,603,1642,0.06775,,,,,,,,,,0.61,10.772,,,,,1.15113651,,0.179,,,,2734,,,,,70.467,-35.77,-27.99,,-27.97,-35.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.123,788,1182,0.02646,,,,,,,,,,0.81,13.5417,,,,,0.54710071,,0.185,,,,3799,,,,,69.833,-35.66,-27.99,,-28.39,-36.46,,,,,,,,,,,,,,,-27.68,5,,,,,8.1268,5.1101,,,,,,,,,,,,,,,,,,,,,,,,
42,0.143,1019,1465,0.0443,,,,,,,,,,0.71,13.1885,,,,,0.68460633,,0.296,,,,4641,,,,,70.5,-35.68,-27.99,,-25.9,-36.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.5,,,,
43,0.091,915,1527,0.05858,,,,,,,,,,0.61,13.6274,,,,,1.33628891,,0.251,,,,3604,,,,,79.556,-35.63,-27.99,,-28.2,-39.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.41,5
44,0.078,620,1357,0.02308,,,,,,,,,,0.61,13.1374,,,,,0.55001442,,0.19,,,,3809,,,,,72.867,-35.53,-28.13,,-27.31,-37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.276,562,844,0.02051,,,,,,,,,,0.61,13.2283,,,,,0.61583524,,0.152,,,,4670,,,,,65.524,-34.87,-28.26,,-28.46,-39.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.127,232,258,0.01683,,,,,,,,,,0.84,14.8803,,,,,0.65747806,,0.119,,,,3629,,,,,61.944,-35.02,-28.26,,-28.14,-41.12,,,,,,,,,,,,,,,-27.31,5,,,,,,,,,,,,,,,,,,,,,0.86,8.75,,,,,,,,
47,0.127,881,915,0.01555,,,,,,,,,,0.71,12.8204,,,,,0.57419705,,0.176,,,,3814,,,,,56.389,-36.1,-28.26,,-29.79,-37.82,,,,,,,,,,,14.8467,25.3076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.107,652,820,0.05204,,,,,,,,,,1.22,11.6674,,,,,1.87459651,,0.256,,,,4125,,,,,59.412,-34.81,-28.26,,-29.45,-36.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.91,5
49,0.123,463,119,0.06413,,,,,,,,,,0.76,14.4036,,,,,1.61116419,,0.309,,,,3351,,,,,58.205,-34.9,-28.26,,-27.59,-38.85,,,10.4125,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.097,466,584,0.02358,,,,,,,,,,0.84,14.5069,,,,,1.96189148,,0.304,,,,3237,,,,,65,-35.4,-29.28,,-28.73,-37.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.081,653,700,0.02107,,,,,,,,,,1.24,12.302,,,,,0.89076867,,0.273,,,,3109,,,,,60.769,-32.6,-29.9,,-27.61,-37.58,,,,,,,,,,,,,,,-26.43,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.091,967,261,0.01189,,,,,,,,,,2.01,12.6914,,,,,2.06219735,,0.17,,,,3561,,,,,54.463,-32.42,-29.9,,-28.8,-36.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,7.5,,,,
53,0.088,966,769,0.01597,,,,,,,,,,1.52,13.1899,,,,,1.30603025,,0.194,,,,3874,,,,,50.241,-35.52,-29.9,,-26.7,-34.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.78,5
54,0.058,826,946,0.04281,,,,,,,,,,2.13,12.9622,,,,,1.5752593,,0.315,,,,4732,,,,,57.458,-33.49,-29.9,,-30.04,-36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.097,1114,832,0.02144,,,,,,,,,,1.91,12.903,,,,,2.12686352,,0.221,,,,4526,,,,,52.217,-34.46,-29.9,,-29.28,-37.78,,,,,,,,,,,,,,,,,-23.8844,25,,,,,,,,,,,,,,,,,,,1.12,8.8,,,,,,,,
56,0.266,1157,601,0.05121,,,,,,,,,,1.52,12.4185,,,,,0.48396742,,0.176,,,,3613,,,,,52.625,-34.03,-29.89,,-28.38,-40.16,,,,,,,,,,,,,,,-25.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0.211,569,655,0.03518,,,,,,,,,,1.19,13.5143,,,,,0.65436981,,0.238,,,,3714,,,,,76.304,-32.77,-29.88,,-27.96,-38.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,5.5,,,,
58,0.097,1066,978,0.08698,,,,,,,,,,1.07,13.4122,,,,,1.7315426,,0.312,,,,3567,,,,,69.625,-34.7,-29.88,,-28.28,-38.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.23,5
59,0.143,865,445,0.01909,,,,,,,,,,0.84,14.8918,,,,,0.48110725,,0.244,,,,4856,,,,,62.679,-34.29,-29.88,,-27.82,-37.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.2,25,,,,,,,,,2.9,12.75,,
60,0.097,862,1224,0.02332,,,,,,,,,,0.86,12.9028,,,,,0.51406244,,0.271,,,,4890,,,,,62.167,-33.9,-29.88,,-27.16,-33.83,,,,,10.9,11.25,,,,,,,,,,,,,,,,,,,-6.562644405,42.63,,,,,,,,,,,,,,,,,,,,
61,0.078,1271,866,0.01786,,,,,,,,,,0.89,13.7613,,,,,0.82472017,,0.203,,,,4632,,,,,74.6,-33.83,-29.88,,-28.85,-37.2,,,10.0252,11.3,,,,,,,,,,,-26.03,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.12,787,672,0.01906,,,,,,,,,,0.89,11.6841,,,,,0.64593646,,0.209,,,,6565,,,,,62.778,-34.25,-28.72,,-27.24,-36.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0.071,885,1135,0.01487,,,,,,,,,,0.86,12.5068,,,,,0.8576604,,0.209,,,,3885,,,,,79.909,-34.58,-28.49,,-27.23,-36.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,8.8,,,8.8,5.5,,,-27.92,5
64,0.24,773,1380,0.05803,,,,,,,,,,0.81,13.9617,,,,,2.127422,,0.235,,,,3694,,,,,66.139,-34.44,-28.49,,-27.17,-36.2,,,,,,,,,,,,,,,,,,,,,,,32.3423,4.54658,,,,,,,,,,,,,,,,,,,,,,
65,0.25,884,1412,0.01472,,,,,,,,,,1.07,13.9547,,,,,2.68817517,,0.297,,,,4831,,,,,58.952,-34.2,-28.49,,-28.94,-38.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0.166,380,1193,0.01465,,,,,,,,,,0.89,14.0409,,,,,2.65530817,,0.161,,,,4812,,,,,58.6,-33.6,-28.49,,-28.07,-36.68,,,,,,,,,,,,,,,-26.15,5,,,,,7.289,5.1101,,,,,,,,,,,,,,,,,,,,,,,,
67,0.179,870,1293,0.05051,,,,,,,,,,1.42,12.2867,,,,,2.02032641,,0.232,,,,3996,,,,,83,-33.81,-28.49,,-27.48,-38.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0.088,207,749,0.02513,,,,,,,,,,0.53,12.788,,,,,9.18321852,,0.276,,,,5320,,,,,96.632,-35.08,-26.72,,-28.7,-37.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,5,,,-26.27,5
69,0.172,746,1358,0.02898,,,,,,,,,,0.61,13.7158,,,,,0.6871505,,0.129,,,,3934,,,,,88.278,-36.17,-26.4,,-27.73,-37.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0.159,925,667,0.05631,,,,,,,,,,0.99,13.5706,,,,,0.71741708,,0.253,,,,3948,,,,,64.154,-35.08,-26.4,,-27.44,-35.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0.351,574,1063,0.04174,,,,,,,,,,0.71,13.7903,,,,,3.94294154,,0.259,,,,4299,,,,,55.19,-33.43,-26.4,,-29.66,-36.44,,,,,,,,,,,,,,,-27.76,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0.068,881,646,0.06223,,,,,,,,,,0.58,12.0897,,,,,2.12792196,,0.223,,,,5580,,,,,56.754,-34.28,-26.4,,-26.19,-35.99,,,10.7858,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,8.75,,,,,,,,
73,0.091,1166,986,0.03876,,,,,,,,,,0.51,13.3749,,,,,0.65139158,,0.229,,,,3242,,,,,62.04,-34.43,-26.4,,-29.21,-37.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,5,,,-26.39,5
74,0.247,1081,582,0.01673,,,,,,,,,,1.12,13.4982,,,,,0.4095619,,0.309,,,,4110,,,,,58.574,-32.71,-26.79,,-26.67,-36.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0.166,1070,536,0.01399,,,,,,,,,,1.17,13.5391,,,,,0.86016865,,0.297,,,,5325,,,,,70.381,-33.79,-26.8,,-27.05,-37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0.11,1487,1156,0.0102,,,,,,,,,,1.68,11.872,,,,,0.85747758,,0.332,,,,3897,,,,,65.192,-35.35,-26.8,,-29.45,-37.37,,,,,,,,,,,,,,,-27.69,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.062,994,895,0.01766,,,,,,,,,,1.14,12.5203,,,,,0.3435177,,0.297,,,,5292,,,,,75.278,-34.65,-26.8,,-27.13,-38.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0.151,665,333,0.03146,,,,,,,,,,1.09,14.9791,,,,,1.96317667,,0.291,,,,4673,,,,,97.563,-34.26,-26.8,,-29.85,-35.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,5,,,-26.68,5
79,0.195,922,1134,0.05244,,,,,,,,,,0.61,14.8433,,,,,0.44523187,,0.359,,,,3888,,,,,66.05,-35.04,-26.81,,-27.2,-35.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.273,1308,1238,0.03477,,,,,,,,,,0.61,13.4288,,,,,1.16788735,,0.297,,,,3370,,,,,67.08,-36.1,-26.87,,-27.09,-39.03,,,,,,,,,,,,,,,,,-23.8177,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0.302,1390,294,0.06309,,,,,,,,,,0.84,14.7648,,,,,0.65394396,,0.183,,,,3862,,,,,64.8,-34.82,-26.87,,-27.07,-35.62,,,,,,,,,12.4,9.2,,,,,-27.21,5,,,,,,,,,,,,,,,,,,,,,1.21,8.75,,,,,,,,
82,0.253,1116,1008,0.02708,,,,,,,,,,0.89,13.4267,,,,,0.7556605,,0.157,,,,4332,,,,,98.387,-35.36,-26.87,,-27.77,-36.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0.614,1218,908,0.02693,,,,,,,,,,0.48,13.2546,,,,,0.7886858,,0.438,,,,3778,,,,,117.103,-33.49,-26.87,,-29.71,-37.05,,,10.5912,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,5,,,-27.9,5
84,0.156,885,811,0.08035,,,,,,,,,,0.69,12.5,,,,,0.48085499,,0.209,,,,4834,,,,,109.793,-34.88,-26.87,,-29.08,-36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.718,25,,,,,,,,,,,,
85,0.224,786,1056,0.04836,,,,,,,,,,0.36,11.2994,,,,,1.05823553,,0.188,,,,4982,,,,,85.409,-36.17,-27.32,,-28.82,-35.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0.081,1237,879,0.03175,,,,,,,,,,0.64,12.091,,,,,1.68421765,,0.163,,,,4939,,,,,69.826,-34.13,-28.55,,-28.03,-35.92,,,,,,,,,,,,,,,-27.09,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0.286,1026,984,0.01825,,,,,,,,,,1.19,12.7729,,,,,1.86443559,,0.159,,,,4434,,,,,70.278,-34.01,-28.55,,-29.34,-38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0.292,1254,609,0.10591,,,,,,,,,,0.86,12.4508,,,,,1.23895559,,0.185,,,,5167,,,,,63.125,-33.54,-28.55,,-28.09,-36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,5,,,-28.29,5
89,0.5,1392,472,0.04137,,,,,,,,,,0.89,12.2545,,,,,0.57998757,,0.256,,,,3919,,,,,61.909,-33.59,-28.55,,-26.74,-36.78,,,,,,,13.81,67.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0.214,580,960,0.04469,,,,,,,,,,0.61,14.1313,,,,,1.47545101,,0.221,,,,3165,,,,,72.182,-34.59,-28.55,,-27.52,-38.32,,,,,11.3,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,8.8,,,,,,,,
91,0.166,826,834,0.0304,,,,,,,,,,0.74,12.8562,,,,,0.48078584,,0.244,,,,3667,,,,,75.5,-34.87,-29.08,,-27.96,-36.34,,,,,,,,,,,,,,,-27.23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,0.12,986,1043,0.02099,,,,,,,,,,1.37,13.217,,,,,1.53391625,,0.185,,,,5420,,,,,76.7,-35.78,-29.78,,-30.01,-40.01,,,,,,,,,,,,,,,,,,,,,7.021,5.1102,,,,,,,,,,,,,,,,,,,,,,,,
